District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,14238,9.4,64.2,47,N/A,N/A,N/A,144,22.8,12,75980,N/A,25,42,9581,632,11098,0,6318,0,605,728
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9523,14,22.3,38,N/A,N/A,N/A,290,23,14,92791,N/A,77,77,9446,295,11102,71,6544,10,691,638
Aromas/San Juan Unified (San Benito),San Benito,Unified School District,1150,24.4,63.7,31,N/A,N/A,N/A,3,21.5,11,67900,N/A,28,44,9853,412,11504,72,5946,0,1023,724
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,4701,7.8,35,34,N/A,N/A,N/A,54,21.2,14,67147,N/A,39,52,9630,351,10612,147,5778,24,542,1394
Azusa Unified (Los Angeles),Los Angeles,Unified School District,8900,29.4,79.1,9,N/A,N/A,N/A,56,19.3,15,79903,N/A,21,34,11893,799,13227,56,7642,0,592,890
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,125,64,97.6,11,N/A,N/A,N/A,N/A,7.9,4,N/A,N/A,20,34,21382,1473,28910,23,12906,5,3276,2073
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,18407,22.3,86.6,16,N/A,N/A,N/A,258,21,5,89169,N/A,24,38,11123,696,12681,0,7255,0,433,618
Banning Unified (Riverside),Riverside,Unified School District,4527,19.7,88,37,N/A,N/A,N/A,44,23.4,10,68472,N/A,18,28,11294,1033,12579,45,7057,124,956,1164
Barstow Unified (San Bernardino),San Bernardino,Unified School District,6024,12.1,77.9,48,N/A,N/A,N/A,36,23.5,9,67244,N/A,22,32,9500,512,11264,0,5983,0,577,829
Bassett Unified (Los Angeles),Los Angeles,Unified School District,3789,31,89.7,7,N/A,N/A,N/A,40,21.4,14,80858,N/A,28,41,12658,800,13780,166,6792,0,1614,910
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,2296,16.7,67.5,37,N/A,N/A,N/A,13,20.3,14,77210,N/A,25,40,10841,531,12262,100,6648,0,909,988
Beaumont Unified (Riverside),Riverside,Unified School District,9627,13.3,57.3,46,N/A,N/A,N/A,81,25,8,72984,N/A,33,49,8919,466,10158,88,5461,4,745,724
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,12678,21.5,69.1,40,N/A,N/A,N/A,66,21.1,13,75922,N/A,29,48,10335,403,11396,64,6617,1,877,721
Benicia Unified (Solano),Solano,Unified School District,4947,3.3,21,57,N/A,N/A,N/A,120,21.8,13,75196,N/A,50,55,9135,458,9815,62,5992,0,675,532
Berkeley Unified (Alameda),Alameda,Unified School District,10462,11.5,37.3,62,N/A,N/A,N/A,246,16,9,73395,N/A,58,62,14367,404,15412,29,8794,17,1235,1137
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,4144,4.8,8.1,30,N/A,N/A,N/A,109,15,11,72423,N/A,65,77,15353,426,16021,222,9482,19,1333,710
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,305,1.6,52.5,19,N/A,N/A,N/A,1,15,11,61282,N/A,15,28,16766,1017,19196,461,9695,0,1396,1677
Big Pine Unified (Inyo),Inyo,Unified School District,172,1.2,81.4,53,N/A,N/A,N/A,N/A,10.6,5,65811,N/A,22,18,21046,750,24252,0,11783,0,3910,1376
Big Sur Unified (Monterey),Monterey,Unified School District,92,5.4,51.1,37,N/A,N/A,N/A,1,9.8,6,47359,N/A,redacted,redacted,44474,3166,48972,0,27516,0,3204,1438
Big Valley Joint Unified (Lassen),Lassen,Unified School District,164,6.1,59.1,20,N/A,N/A,N/A,0,14.3,5,47864,N/A,10,17,15334,930,17921,342,6993,0,1604,1103
Biggs Unified (Butte),Butte,Unified School District,602,12,70.1,40,N/A,N/A,N/A,1,18.1,11,54290,N/A,16,20,10878,1064,12583,95,6887,69,1229,619
Bishop Unified (Inyo),Inyo,Unified School District,1932,15.1,54.3,52,N/A,N/A,N/A,21,20.4,12,72531,N/A,34,39,11498,527,11713,50,7528,0,888,897
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1317,0.7,44.7,16,N/A,N/A,N/A,14,20.8,9,61648,N/A,28,40,10902,469,11619,185,6021,22,815,1553
Bonita Unified (Los Angeles),Los Angeles,Unified School District,10269,6,35.5,47,N/A,N/A,N/A,296,23.9,11,79310,N/A,48,62,9248,466,10505,134,5781,7,703,795
Bonsall Unified (San Diego),San Diego,Unified School District,2959,14,34.2,51,N/A,N/A,N/A,N/A,20.3,6,67768,N/A,61,64,9883,407,10757,39,6373,0,922,712
Borrego Springs Unified (San Diego),San Diego,Unified School District,772,36.8,84.8,21,N/A,N/A,N/A,0,17.9,4,N/A,N/A,26,46,14578,654,15456,149,9252,0,1174,932
Brea-Olinda Unified (Orange),Orange,Unified School District,5856,12.6,26.4,56,N/A,N/A,N/A,142,25.5,13,77297,N/A,59,66,8847,504,10052,61,5560,0,596,882
Burbank Unified (Los Angeles),Los Angeles,Unified School District,16081,10.4,34.3,48,N/A,N/A,N/A,284,22,12,76014,N/A,46,61,9454,476,10269,81,6113,9,772,618
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,299,22.4,73.2,39,N/A,N/A,N/A,2,18.2,7,50352,N/A,33,29,12009,853,14495,567,6542,0,1281,1489
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3334,28.1,41.8,40,N/A,N/A,N/A,73,22.6,11,68763,N/A,35,48,10330,419,11211,134,6102,21,746,855
Calaveras Unified (Calaveras),Calaveras,Unified School District,2996,1.5,65.5,27,N/A,N/A,N/A,47,21.1,14,66326,N/A,28,41,9650,410,10837,67,5898,17,545,1355
Calexico Unified (Imperial),Imperial,Unified School District,9266,65.9,83.1,1,N/A,N/A,N/A,127,23,10,76397,N/A,18,27,11628,783,13343,163,6830,0,754,1059
Calipatria Unified (Imperial),Imperial,Unified School District,1144,36.6,82.1,14,N/A,N/A,N/A,12,17.1,11,70196,N/A,24,37,11705,944,12887,96,6926,1,1161,1078
Calistoga Joint Unified (Napa),Napa,Unified School District,866,48,55.8,17,N/A,N/A,N/A,28,18.5,12,96155,N/A,32,40,16509,943,17700,567,10069,0,1876,878
Capistrano Unified (Orange),Orange,Unified School District,53878,9.7,21.6,43,N/A,N/A,N/A,1653,25.7,14,86146,N/A,59,69,9309,379,10216,65,6315,0,377,804
Carlsbad Unified (San Diego),San Diego,Unified School District,11077,7.7,19.7,44,N/A,N/A,N/A,300,24.6,13,79795,N/A,64,74,9321,416,10005,123,6033,11,614,764
Carmel Unified (Monterey),Monterey,Unified School District,2510,5.6,12.9,35,N/A,N/A,N/A,122,15.9,11,102324,N/A,72,82,19695,998,21903,0,11676,34,1774,1734
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2227,36.4,62.9,28,N/A,N/A,N/A,63,20.8,13,65603,N/A,39,54,11803,607,12795,466,6652,249,854,1070
Caruthers Unified (Fresno),Fresno,Unified School District,1424,30.6,89.2,19,N/A,N/A,N/A,16,18.8,11,62745,N/A,30,34,10461,777,12638,268,6313,0,823,1028
Castro Valley Unified (Alameda),Alameda,Unified School District,9366,10.5,21.3,66,N/A,N/A,N/A,225,22.1,11,78965,N/A,59,68,9612,604,10574,91,6182,43,643,761
Center Joint Unified (Sacramento),Sacramento,Unified School District,4523,14.5,60.3,55,N/A,N/A,N/A,31,22.7,13,74900,N/A,34,44,9545,633,10675,67,6173,0,611,633
Central Unified (Fresno),Fresno,Unified School District,15717,14,70.8,45,N/A,N/A,N/A,81,23,10,69635,N/A,26,39,8993,466,10973,113,5337,22,584,1049
Ceres Unified (Stanislaus),Stanislaus,Unified School District,14269,29.5,80,27,N/A,N/A,N/A,102,22.9,7,76619,N/A,20,39,9929,642,11886,36,6284,0,470,822
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,4954,9.5,56.5,37,N/A,N/A,N/A,90,23.6,14,80390,N/A,41,50,9604,239,11245,21,5910,54,717,880
Chawanakee Unified (Madera),Madera,Unified School District,1075,1.1,48.4,36,N/A,N/A,N/A,36,20.6,7,55096,N/A,28,42,11004,880,14184,21,6341,(1),1157,939
Chico Unified (Butte),Butte,Unified School District,13849,8.6,42.7,39,N/A,N/A,N/A,207,20.9,13,67547,N/A,45,52,10116,479,11313,54,6863,2,610,1050
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,29314,12.9,45.6,45,N/A,N/A,N/A,430,22.2,13,79870,N/A,46,58,9158,361,10647,133,6038,41,375,721
Claremont Unified (Los Angeles),Los Angeles,Unified School District,6973,5.6,37.3,53,N/A,N/A,N/A,199,23.4,13,81763,N/A,49,63,10470,416,11207,97,6212,0,768,1503
Cloverdale Unified (Sonoma),Sonoma,Unified School District,1396,35.5,56.1,39,N/A,N/A,N/A,13,19.5,12,66283,N/A,29,35,11058,913,11095,119,7641,0,926,557
Clovis Unified (Fresno),Fresno,Unified School District,41883,5.8,43.6,52,N/A,N/A,N/A,846,22.8,12,68733,N/A,55,66,9228,489,10558,206,5698,0,438,930
Coachella Valley Unified (Riverside),Riverside,Unified School District,18861,53.6,92.3,2,N/A,N/A,N/A,320,21.7,12,76496,N/A,14,23,11326,465,12840,0,7325,0,761,1173
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,4447,43.2,79.9,16,N/A,N/A,N/A,1,20.9,11,68280,N/A,14,26,11275,1190,11950,74,6672,0,579,1207
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,694,40.9,63.1,35,N/A,N/A,N/A,11,15.8,13,74752,N/A,42,59,17082,1264,18382,95,9235,38,2177,1639
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,23288,24.7,80.7,19,N/A,N/A,N/A,217,21.4,14,80230,N/A,21,36,10690,597,11825,87,6651,7,704,1030
Colusa Unified (Colusa),Colusa,Unified School District,1462,33.1,65.8,31,N/A,N/A,N/A,22,19.8,11,70412,N/A,31,38,9878,789,11039,139,6684,1,696,679
Compton Unified (Los Angeles),Los Angeles,Unified School District,21835,35.2,84.5,22,N/A,N/A,N/A,278,21.6,13,77054,N/A,20,29,11645,743,13647,54,7433,0,954,859
Conejo Valley Unified (Ventura),Ventura,Unified School District,19365,8.9,21.5,43,N/A,N/A,N/A,642,22.8,14,78911,N/A,59,67,9366,394,10317,148,6343,80,441,575
Corcoran Joint Unified (Kings),Kings,Unified School District,3300,29.9,79.1,11,N/A,N/A,N/A,44,19.5,8,67363,N/A,14,29,10150,714,11894,174,6410,0,721,587
Corona-Norco Unified (Riverside),Riverside,Unified School District,53354,13.6,44.7,48,N/A,N/A,N/A,1017,24.2,13,95613,N/A,43,59,9901,329,10426,69,6500,0,373,889
Coronado Unified (San Diego),San Diego,Unified School District,3150,2.6,7.4,33,N/A,N/A,N/A,192,21.7,11,69792,N/A,64,73,10878,402,11399,137,6862,100,668,852
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,6372,17.7,40.6,46,N/A,N/A,N/A,97,22.4,10,61467,N/A,30,43,10496,298,11176,72,6811,5,658,1091
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,11906,10.4,70.3,25,N/A,N/A,N/A,138,21.9,12,82231,N/A,34,51,11074,505,12347,0,7131,0,859,708
Culver City Unified (Los Angeles),Los Angeles,Unified School District,6763,11.5,31.9,61,N/A,N/A,N/A,183,21.8,11,74671,N/A,51,66,11060,775,10735,0,6957,0,656,978
Cutler-Orosi Joint Unified (Tulare),Tulare,Unified School District,4095,47.6,93.2,6,N/A,N/A,N/A,60,20.2,12,69781,N/A,27,29,10440,736,14176,123,6457,416,697,1076
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,234,45.3,80.8,19,N/A,N/A,N/A,0,13.4,12,58335,N/A,10,23,13270,769,15608,75,8610,0,1370,669
Davis Joint Unified (Yolo),Yolo,Unified School District,8562,11.1,19.2,48,N/A,N/A,N/A,274,19.7,11,67085,N/A,65,71,10616,565,11301,154,6746,30,706,830
Death Valley Unified (Inyo),Inyo,Unified School District,29,6.9,65.5,26,N/A,N/A,N/A,N/A,6.4,8,N/A,N/A,15,38,46296,3526,55379,0,20123,0,8546,7611
Del Norte County Unified (Del Norte),Del Norte,Unified School District,3572,9.1,63.7,49,N/A,N/A,N/A,5,20.7,13,64793,N/A,23,35,10942,638,12389,22,7018,4,620,981
Delhi Unified (Merced),Merced,Unified School District,2669,44.4,79.4,12,N/A,N/A,N/A,67,17.3,11,75376,N/A,24,41,11733,754,12360,120,7005,4,767,668
Denair Unified (Stanislaus),Stanislaus,Unified School District,1276,16.2,57.7,39,N/A,N/A,N/A,7,24.1,13,60943,N/A,17,32,9047,486,11931,124,5112,1,339,452
Desert Center Unified (Riverside),Riverside,Unified School District,24,12.5,79.2,32,N/A,N/A,N/A,N/A,12,4,72840,N/A,14,57,58543,5110,103788,0,22233,0,8556,8835
Desert Sands Unified (Riverside),Riverside,Unified School District,28719,24.2,65.6,28,N/A,N/A,N/A,446,22.8,12,83664,N/A,33,50,11166,558,12450,166,7025,1,548,971
Dinuba Unified (Tulare),Tulare,Unified School District,6638,31.4,79.1,9,N/A,N/A,N/A,114,24.2,12,71560,N/A,24,36,10077,668,12002,142,6428,3,515,803
Dixon Unified (Solano),Solano,Unified School District,3746,22.7,54.1,40,N/A,N/A,N/A,59,21.3,11,68111,N/A,31,41,9777,439,10636,75,6319,0,707,678
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,2293,26.9,89.2,24,N/A,N/A,N/A,10,21.6,13,N/A,N/A,15,24,10111,814,12467,153,5902,9,844,1169
Downey Unified (Los Angeles),Los Angeles,Unified School District,22649,15.9,67.3,13,N/A,N/A,N/A,340,23.2,15,92172,N/A,36,52,11065,792,11213,45,7943,0,741,799
Duarte Unified (Los Angeles),Los Angeles,Unified School District,3853,26.7,73.2,27,N/A,N/A,N/A,29,20.3,11,74968,N/A,35,48,11584,739,12696,120,7354,7,1092,785
Dublin Unified (Alameda),Alameda,Unified School District,9965,9.3,7.8,58,N/A,N/A,N/A,240,21,8,82061,N/A,73,78,9325,307,10137,44,6241,0,579,544
Durham Unified (Butte),Butte,Unified School District,983,10.9,37,27,N/A,N/A,N/A,10,18.6,16,63348,N/A,41,51,9618,508,10674,155,6213,0,753,819
Eastern Sierra Unified (Mono),Mono,Unified School District,377,15.6,48.3,44,N/A,N/A,N/A,3,10.5,11,64497,N/A,33,54,24792,1234,26712,36,12892,0,3069,2676
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,8866,22.6,75.5,2,N/A,N/A,N/A,215,23.1,17,76336,N/A,26,40,10826,456,12561,27,6893,0,679,1018
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3471,5,12.8,48,N/A,N/A,N/A,148,22.3,8,77859,N/A,62,72,9699,380,10611,24,6005,220,956,565
El Tejon Unified (Kern),Kern,Unified School District,764,14,61.8,40,N/A,N/A,N/A,3,22.4,12,65661,N/A,29,40,10164,494,12290,500,5871,517,1016,1205
Elk Grove Unified (Sacramento),Sacramento,Unified School District,62767,17.5,54.4,72,N/A,N/A,N/A,1388,20.4,14,76341,N/A,43,53,9970,499,10865,0,6870,0,506,834
Emery Unified (Alameda),Alameda,Unified School District,698,17,74.1,49,N/A,N/A,N/A,20,15.6,7,N/A,N/A,25,30,14713,546,16593,129,9188,0,1973,1030
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2835,22.2,50.1,39,N/A,N/A,N/A,24,21.4,10,69833,N/A,31,38,9222,550,10426,0,6054,0,544,720
Esparto Unified (Yolo),Yolo,Unified School District,971,29.6,70.2,27,N/A,N/A,N/A,11,22.1,8,68842,N/A,15,25,11042,869,12476,0,6686,216,1364,969
Eureka City Schools (Humboldt),Humboldt,Unified School District,3734,15.9,63.7,53,N/A,N/A,N/A,35,20,13,60674,N/A,28,37,10558,613,11953,100,5928,189,860,1224
Exeter Unified (Tulare),Tulare,Unified School District,2886,19.7,66.9,36,N/A,N/A,N/A,29,21.8,9,69151,N/A,28,41,10565,1135,11882,236,6325,0,876,1062
Fairfield-Suisun Unified (Solano),Solano,Unified School District,21554,17.2,56.5,63,N/A,N/A,N/A,170,23.1,11,68405,N/A,30,45,9561,590,10332,56,6010,3,598,768
Fall River Joint Unified (Shasta),Shasta,Unified School District,1184,7.7,59.7,39,N/A,N/A,N/A,20,17.2,9,54024,N/A,34,43,11729,861,13229,61,6486,0,982,1169
Farmersville Unified (Tulare),Tulare,Unified School District,2580,41.4,89.6,6,N/A,N/A,N/A,92,21.7,12,70971,N/A,10,21,11038,1224,13093,146,6541,34,903,715
Ferndale Unified (Humboldt),Humboldt,Unified School District,525,8.6,46.3,27,N/A,N/A,N/A,6,19.9,9,54763,N/A,26,35,9587,497,11662,152,6538,0,668,555
Fillmore Unified (Ventura),Ventura,Unified School District,3757,30.7,74,10,N/A,N/A,N/A,30,21.8,12,70458,N/A,15,28,10781,537,12254,102,6607,134,845,963
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,2266,38.3,90.9,6,N/A,N/A,N/A,66,19,10,62270,N/A,18,37,11606,1227,12983,152,6670,12,938,1074
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,19865,11.7,33.6,51,N/A,N/A,N/A,375,21.7,12,74930,N/A,50,59,9670,505,10436,186,6137,0,525,782
Fontana Unified (San Bernardino),San Bernardino,Unified School District,38742,32.8,85.3,15,N/A,N/A,N/A,820,23,14,80904,N/A,19,33,10597,626,12492,1,6989,26,563,795
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,1934,19.2,66.5,41,N/A,N/A,N/A,17,17,8,54083,N/A,25,40,11761,438,12420,428,6974,81,805,958
Fort Sage Unified (Lassen),Lassen,Unified School District,309,2.6,60.5,29,N/A,N/A,N/A,0,14.9,5,N/A,N/A,14,29,14394,719,18380,564,7724,0,1716,871
Fowler Unified (Fresno),Fresno,Unified School District,2531,23.3,76.1,23,N/A,N/A,N/A,13,19.9,11,N/A,N/A,28,45,10129,766,11662,65,6879,4,548,849
Fremont Unified (Alameda),Alameda,Unified School District,34852,16.9,20.5,44,N/A,N/A,N/A,753,21.9,11,87642,N/A,71,74,9337,385,10073,44,6477,19,460,513
Fresno Unified (Fresno),Fresno,Unified School District,73460,22.4,85.8,36,N/A,N/A,N/A,1377,20.6,14,75170,N/A,22,31,11599,1040,12891,253,7400,29,500,1031
Garden Grove Unified (Orange),Orange,Unified School District,45252,39.2,68.4,42,N/A,N/A,N/A,802,23.7,13,95426,N/A,45,55,10719,783,12196,241,7260,7,358,916
Gateway Unified (Shasta),Shasta,Unified School District,3429,2.3,62.2,32,N/A,N/A,N/A,20,19.7,7,63960,N/A,23,32,12521,723,14362,241,8533,0,1187,1062
Geyserville Unified (Sonoma),Sonoma,Unified School District,242,35.1,64.9,31,N/A,N/A,N/A,0,12.5,8,58689,N/A,27,37,15688,801,16321,217,9204,0,1231,1001
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11852,23.8,57.1,30,N/A,N/A,N/A,201,21.9,10,75150,N/A,39,48,9614,405,11103,95,6226,15,573,743
Glendale Unified (Los Angeles),Los Angeles,Unified School District,26117,27.5,47.5,46,N/A,N/A,N/A,376,22.5,15,80853,N/A,52,62,10417,351,11179,66,7238,20,418,644
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7607,6.3,26.5,48,N/A,N/A,N/A,131,23.1,15,84139,N/A,57,69,9416,358,10501,27,6728,13,468,639
Golden Plains Unified (Fresno),Fresno,Unified School District,1778,61.7,92.4,3,N/A,N/A,N/A,42,20.4,11,62315,N/A,13,18,11581,996,15057,78,6652,0,1132,924
Golden Valley Unified (Madera),Madera,Unified School District,1880,4.7,35.9,39,N/A,N/A,N/A,29,19.9,8,61727,N/A,42,58,9420,491,10425,137,5523,0,741,703
Gonzales Unified (Monterey),Monterey,Unified School District,2423,48.9,79.2,4,N/A,N/A,N/A,76,20.3,9,70595,N/A,16,30,10488,610,12927,95,6368,0,934,1023
Gridley Unified (Butte),Butte,Unified School District,2068,18.6,61.8,36,N/A,N/A,N/A,22,21.2,13,70966,N/A,34,48,10024,938,11372,173,6536,1,632,803
Gustine Unified (Merced),Merced,Unified School District,1888,34.6,77.2,21,N/A,N/A,N/A,30,22.5,11,66787,N/A,14,29,9513,709,11286,110,5814,0,1047,818
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,19367,19.9,75,22,N/A,N/A,N/A,322,21.9,13,78798,N/A,37,52,10377,1204,13234,68,6983,5,577,684
Hamilton Unified (Glenn),Glenn,Unified School District,738,28.6,81.7,13,N/A,N/A,N/A,22,19.6,8,60974,N/A,15,35,9344,503,11836,0,5938,0,871,346
Hayward Unified (Alameda),Alameda,Unified School District,22846,31.9,75.4,41,N/A,N/A,N/A,289,20.1,11,84645,N/A,23,36,11834,413,12795,35,7462,3,607,1023
Healdsburg Unified (Sonoma),Sonoma,Unified School District,1674,30.7,50.5,34,N/A,N/A,N/A,37,18.9,11,66895,N/A,32,46,13396,863,14192,56,8787,0,1193,912
Hemet Unified (Riverside),Riverside,Unified School District,21480,14.1,80.1,44,N/A,N/A,N/A,229,21.2,11,79813,N/A,25,37,11110,663,12268,98,7127,7,699,1053
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,23988,18.3,72.5,37,N/A,N/A,N/A,376,25.7,10,75337,N/A,21,34,9816,434,11097,16,6316,0,714,743
Hilmar Unified (Merced),Merced,Unified School District,2291,24.5,58,36,N/A,N/A,N/A,31,20.4,14,70268,N/A,21,40,9923,561,10895,162,6277,14,672,992
Holtville Unified (Imperial),Imperial,Unified School District,1585,43.2,67.1,14,N/A,N/A,N/A,29,21.5,11,72674,N/A,35,46,10328,583,12134,187,6439,0,846,965
Hughson Unified (Stanislaus),Stanislaus,Unified School District,2121,23.7,54.3,36,N/A,N/A,N/A,33,21.9,12,77777,N/A,30,48,10292,673,11202,270,6881,0,874,588
Imperial Unified (Imperial),Imperial,Unified School District,4036,23,48.4,19,N/A,N/A,N/A,59,24,11,85175,N/A,38,54,9270,424,10027,97,6097,0,553,1018
Inglewood Unified (Los Angeles),Los Angeles,Unified School District,13162,28.4,70.7,35,N/A,N/A,N/A,197,22.2,12,73263,N/A,16,29,11869,443,13418,2,7598,10,763,793
Irvine Unified (Orange),Orange,Unified School District,32319,17.6,14.7,52,N/A,N/A,N/A,948,24.3,11,79635,N/A,76,79,9488,507,10482,47,6067,22,308,902
John Swett Unified (Contra Costa),Contra Costa,Unified School District,1754,16.4,68.1,70,N/A,N/A,N/A,6,20.6,9,62498,N/A,26,38,10719,383,11418,76,7054,0,1072,641
Jurupa Unified (Riverside),Riverside,Unified School District,19282,36.3,74.7,16,N/A,N/A,N/A,206,22.4,15,86129,N/A,23,36,10785,653,11883,65,7427,1,375,861
Kelseyville Unified (Lake),Lake,Unified School District,1694,15.9,79.3,42,N/A,N/A,N/A,19,21.1,13,59950,N/A,21,29,11805,876,12253,174,6974,0,922,1509
Kerman Unified (Fresno),Fresno,Unified School District,5064,35.2,87.7,18,N/A,N/A,N/A,55,25.3,9,66335,N/A,26,45,9058,723,11907,102,5559,0,763,787
Kings Canyon Joint Unified (Fresno),Fresno,Unified School District,9717,30.8,85.2,14,N/A,N/A,N/A,161,22.2,13,69005,N/A,28,45,10635,750,13002,191,6070,32,617,1283
Klamath-Trinity Joint Unified (Humboldt),Humboldt,Unified School District,1073,0.5,83.3,21,N/A,N/A,N/A,1,16.2,9,56652,N/A,11,16,16795,794,19104,221,9600,0,1660,1529
Konocti Unified (Lake),Lake,Unified School District,3244,18,82.9,46,N/A,N/A,N/A,16,21.8,9,56590,N/A,9,20,11377,854,12617,112,6979,4,676,1448
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4093,6.3,1.7,49,N/A,N/A,N/A,175,22.1,11,79872,N/A,84,89,10576,457,11187,14,6659,15,813,687
