District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
ABC Unified (Los Angeles),Los Angeles,Unified School District,20863,21,50.3,56,N/A,N/A,N/A,332,23.5,14,81550,N/A,53,64,10054,634,11121,0,6763,0,544,788
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,7475,7.5,35.2,51,N/A,N/A,N/A,12,16.6,2,N/A,N/A,32,47,11742,744,15597,121,6042,0,1757,1183
Alameda Unified (Alameda),Alameda,Unified School District,11101,17.6,26.8,69,N/A,N/A,N/A,227,19.2,9,70250,N/A,58,67,11179,434,12150,175,7284,16,729,830
Albany City Unified (Alameda),Alameda,Unified School District,3822,15.9,17.8,60,N/A,N/A,N/A,103,18.5,7,70558,N/A,73,77,11998,404,12733,129,7901,90,1005,508
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,17301,23.1,67.2,40,N/A,N/A,N/A,571,23.7,15,81234,N/A,52,60,10711,505,12500,63,6808,62,700,1219
Alpaugh Unified (Tulare),Tulare,Unified School District,740,26.4,68.4,34,N/A,N/A,N/A,3,22.5,3,56357,N/A,8,24,13559,958,14439,202,7975,0,1458,769
Alpine County Unified (Alpine),Alpine,Unified School District,80,N/A,62.5,43,N/A,N/A,N/A,N/A,8.9,11,62728,N/A,51,64,32361,1339,36518,128,13738,0,7252,3111
Alvord Unified (Riverside),Riverside,Unified School District,19466,38.2,76.8,24,N/A,N/A,N/A,241,23,12,91071,N/A,28,40,10649,373,11305,83,6968,0,591,802
Amador County Unified (Amador),Amador,Unified School District,3829,1.7,48.6,32,N/A,N/A,N/A,56,22.6,12,66716,N/A,27,41,8259,546,10169,127,4781,6,692,553
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,522,42.9,82,25,N/A,N/A,N/A,19,14.5,11,52575,N/A,26,39,13775,756,15531,130,8803,0,1278,888
Antioch Unified (Contra Costa),Contra Costa,Unified School District,17874,18.8,68.2,59,N/A,N/A,N/A,235,23.1,12,75768,N/A,19,33,10378,368,11695,30,7133,0,510,667
