District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Garden Grove Unified (Orange),Orange,Unified School District,46177,42.3,75.3,42,91.78,53.8,1860,N/A,25.4,12,89105,N/A,39,49,9537,433,10195,218,6415,7,361,808
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,12274,11.3,68.7,25,96.96,53.4,579,N/A,22.9,12,79494,N/A,29,47,9784,584,10186,0,6228,0,671,648
Saint Helena Unified (Napa),Napa,Unified School District,1269,22,36.6,37,92.86,53.4,63,N/A,15,10,106540,N/A,39,61,19618,1253,22027,384,12251,95,1488,1283
Templeton Unified (San Luis Obispo),San Luis Obispo,Unified School District,2487,5.5,16.9,30,99.18,53.4,127,N/A,22.7,12,63812,N/A,44,60,8093,313,8791,136,5218,11,667,557
Torrance Unified (Los Angeles),Los Angeles,Unified School District,23947,15.1,28.8,64,96.31,53.3,1135,N/A,22.6,12,76851,N/A,55,63,9018,494,9000,101,5921,0,466,640
Mammoth Unified (Mono),Mono,Unified School District,1193,26.8,57.2,36,82.67,53.2,33,N/A,18.7,8,69821,N/A,39,43,10901,486,10995,131,7526,0,700,564
San Diego Unified (San Diego),San Diego,Unified School District,129779,25,60.7,56,89.43,53,4285,N/A,20.2,13,73582,N/A,41,51,11329,402,11683,34,7223,8,510,1320
Morgan Hill Unified (Santa Clara),Santa Clara,Unified School District,9000,19.6,36.3,46,88.8,52.8,296,N/A,22.1,9,69092,N/A,40,50,8592,526,9375,56,5490,1,528,750
Aromas/San Juan Unified (San Benito),San Benito,Unified School District,1164,26.9,64,31,94.87,52.7,39,N/A,20.9,12,66116,N/A,26,44,9386,300,9797,63,5640,0,869,903
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,17617,27.7,67.9,40,94.06,52.4,973,N/A,23.9,15,73025,N/A,50,58,9353,359,10716,66,6079,60,582,1052
Placentia-Yorba Linda Unified (Orange),Orange,Unified School District,25595,13.8,36.5,50,95.04,52.4,1068,N/A,24.8,14,80592,N/A,55,62,8672,505,8889,23,5847,6,286,555
Los Angeles Unified (Los Angeles),Los Angeles,Unified School District,646683,25.4,75.6,29,72.23,51.7,19252,N/A,20.5,15,72495,N/A,25,33,11750,534,12431,199,7481,27,508,959
Alameda Unified (Alameda),Alameda,Unified School District,11020,18.3,30.8,69,89.83,51.2,427,N/A,20,9,67845,N/A,55,63,10197,341,10755,145,6495,12,838,640
San Luis Coastal Unified (San Luis Obispo),San Luis Obispo,Unified School District,7636,14.5,37.8,39,94.86,51.2,310,N/A,20,11,73247,N/A,50,60,11653,619,11494,196,6940,0,755,1224
Holtville Unified (Imperial),Imperial,Unified School District,1597,41.2,65.8,14,97.12,51.1,70,N/A,19.8,9,69856,N/A,29,40,9463,552,10205,171,5897,0,766,892
Tahoe-Truckee Unified (Placer),Placer,Unified School District,3978,21.6,38.5,35,91.06,51.1,120,N/A,17.6,14,75263,N/A,44,53,14341,915,14904,186,8614,8,894,1631
Saddleback Valley Unified (Orange),Orange,Unified School District,29028,16,25.3,48,95.03,50.9,1198,N/A,25.2,15,80136,N/A,48,61,8687,320,8814,47,6328,0,352,580
Corona-Norco Unified (Riverside),Riverside,Unified School District,53739,13.5,45,47,92.38,50.6,2048,N/A,25.7,13,89308,N/A,36,54,8666,285,8642,56,5719,0,394,751
Natomas Unified (Sacramento),Sacramento,Unified School District,13630,15.7,51.1,70,91.57,50.5,420,N/A,22.1,9,68832,N/A,33,42,11325,487,10943,74,7605,2,773,784
Glendale Unified (Los Angeles),Los Angeles,Unified School District,26168,24,48.9,47,91.48,50.4,1041,N/A,23.3,15,74441,N/A,49,58,9500,370,9623,60,6596,18,402,598
Riverdale Joint Unified (Fresno),Fresno,Unified School District,1620,32,85.1,18,98.37,50.4,61,N/A,20.3,11,62923,N/A,24,28,8962,692,9840,125,5730,0,631,617
Surprise Valley Joint Unified (Modoc),Modoc,Unified School District,114,8.8,66.7,38,75,50,3,N/A,10.1,8,45421,N/A,28,35,17053,1078,17535,161,9278,0,2483,904
Milpitas Unified (Santa Clara),Santa Clara,Unified School District,10281,27.5,32.9,56,94.77,49.9,382,N/A,24.8,12,80570,N/A,57,64,8567,371,9139,37,5965,0,487,421
Val Verde Unified (Riverside),Riverside,Unified School District,19841,22.9,79.7,28,92.33,49.1,719,N/A,24.4,9,75804,N/A,23,38,9037,619,10344,70,6128,0,509,829
Hayward Unified (Alameda),Alameda,Unified School District,22555,30.9,73.8,42,82.38,48.7,633,N/A,20.4,11,80220,N/A,21,32,10733,336,10696,28,7218,4,519,849
Valley Center-Pauma Unified (San Diego),San Diego,Unified School District,4155,24.7,49.7,46,96.86,48.7,136,N/A,21.6,15,77735,N/A,25,39,10077,412,10084,223,5915,47,552,941
Monrovia Unified (Los Angeles),Los Angeles,Unified School District,5903,14.1,59.3,40,85.92,48.6,207,N/A,22.6,12,75316,N/A,37,51,9468,376,9880,97,6107,0,673,860
Fowler Unified (Fresno),Fresno,Unified School District,2477,23.3,74.4,23,94.54,48.5,82,N/A,20.7,12,63425,N/A,23,43,9995,909,10110,73,6536,8,556,853
Ferndale Unified (Humboldt),Humboldt,Unified School District,494,8.1,43.7,26,96.55,48.3,14,N/A,19.8,11,N/A,N/A,25,35,9616,633,10635,143,6610,0,697,353
Sanger Unified (Fresno),Fresno,Unified School District,11204,19.9,76.2,32,95.47,48.2,321,N/A,20.5,10,63249,N/A,35,44,9947,1100,10372,116,6023,3,540,1009
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7733,6.4,26.6,47,97.98,48,307,N/A,24.7,15,80179,N/A,53,63,8203,514,8543,24,5948,12,422,502
Monterey Peninsula Unified (Monterey),Monterey,Unified School District,10653,30.6,63.9,48,92.84,48,320,N/A,18.9,9,62369,N/A,23,35,10344,550,11470,55,6206,31,654,1015
Livermore Valley Joint Unified (Alameda),Alameda,Unified School District,13653,13.6,24.9,48,91.42,47.8,441,N/A,20.6,11,72049,N/A,44,58,9303,369,9354,76,6206,20,451,674
Dinuba Unified (Tulare),Tulare,Unified School District,6580,32,92,9,96.78,47.6,237,N/A,22.4,11,68132,N/A,18,30,9171,735,9970,117,5799,11,459,750
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,19527,12.6,33.5,49,92.72,47.2,610,N/A,23.1,13,73348,N/A,46,55,8592,415,8846,166,5453,0,466,668
Santa Ana Unified (Orange),Orange,Unified School District,56815,46.4,86.1,7,88.88,47.1,1765,N/A,22.8,14,82966,N/A,21,25,10052,533,10578,87,6617,2,563,684
San Jose Unified (Santa Clara),Santa Clara,Unified School District,32938,23,43.2,47,85.41,46.6,1118,N/A,20.8,10,70979,N/A,40,51,10076,389,10416,135,5912,0,517,861
Redlands Unified (San Bernardino),San Bernardino,Unified School District,21326,8.9,58,52,90.7,46.2,798,N/A,23,14,80558,N/A,40,53,8774,274,9445,82,5695,11,371,746
Novato Unified (Marin),Marin,Unified School District,8029,17.6,34.1,45,95.48,46.1,273,N/A,20.5,10,66698,N/A,48,56,9719,496,9960,64,6394,0,696,723
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,29937,12.9,46.1,45,89.65,46,1123,N/A,22.9,14,81554,N/A,43,55,8839,407,8793,120,5891,29,350,641
Martinez Unified (Contra Costa),Contra Costa,Unified School District,4221,7.8,30.1,49,88.76,46,144,N/A,20.9,10,68298,N/A,40,53,9337,316,9066,38,6283,1,688,554
Laton Joint Unified (Fresno),Fresno,Unified School District,704,45.7,86.2,19,73.47,45.9,17,N/A,16.6,10,55107,N/A,17,24,10102,1149,10903,95,6881,0,988,329
Sacramento City Unified (Sacramento),Sacramento,Unified School District,46868,21.5,64.2,63,80.32,45.8,1169,N/A,23.7,13,67009,N/A,28,35,10371,385,11184,50,7156,4,427,914
Bonita Unified (Los Angeles),Los Angeles,Unified School District,10146,5.8,36,47,92.25,45.4,348,N/A,23.7,11,N/A,N/A,45,56,8710,349,9041,123,5492,6,673,761
Bassett Unified (Los Angeles),Los Angeles,Unified School District,3959,35.4,92.6,7,93.21,45.3,120,N/A,22.7,15,77455,N/A,25,39,10945,648,11705,106,6320,0,1244,825
Hamilton Unified (Glenn),Glenn,Unified School District,719,30.3,80.5,14,100,45.3,29,N/A,19.9,12,63495,N/A,8,25,9311,491,10096,0,5863,0,959,316
Sonoma Valley Unified (Sonoma),Sonoma,Unified School District,4635,33.5,57.6,37,89.03,45.2,127,N/A,19.6,11,62225,N/A,21,35,11215,598,10958,53,7874,0,527,851
South San Francisco Unified (San Mateo),San Mateo,Unified School District,9111,24.1,38.6,53,94.87,45.2,289,N/A,22.3,7,65722,N/A,42,50,8088,334,9522,0,5010,3,497,939
Dixon Unified (Solano),Solano,Unified School District,3808,25,52.5,40,82.72,44.9,123,N/A,22.3,11,65325,N/A,30,32,8604,332,8593,62,5602,0,638,553
Napa Valley Unified (Napa),Napa,Unified School District,18610,22.2,44.9,46,91.96,44.9,564,N/A,21.6,11,72801,N/A,31,42,9366,441,9281,61,5879,3,574,706
Shoreline Unified (Marin),Marin,Unified School District,519,33.3,60.9,37,92.45,44.9,22,N/A,10.9,12,N/A,N/A,39,46,25320,1604,25514,323,15413,353,1704,3280
Caruthers Unified (Fresno),Fresno,Unified School District,1428,37.5,88.8,20,97.22,44.1,64,N/A,19.1,11,59122,N/A,24,29,9980,769,11098,247,6050,0,828,749
Washington Unified (Yolo),Yolo,Unified School District,7978,21.1,65.4,54,89.25,44.1,226,N/A,21,10,63198,N/A,27,36,8596,451,9275,37,5423,0,781,683
Fresno Unified (Fresno),Fresno,Unified School District,73543,24.6,84.9,37,83.84,43.7,1832,N/A,21,14,69938,N/A,18,27,10033,596,10824,205,6451,16,437,922
Moorpark Unified (Ventura),Ventura,Unified School District,6703,19.3,30.4,45,93.12,43.6,248,N/A,22.1,15,70024,N/A,46,61,8951,331,8850,19,5866,0,523,635
Riverside Unified (Riverside),Riverside,Unified School District,42339,17.2,63.6,40,89.39,43.5,1320,N/A,23.4,13,81908,N/A,33,44,8973,489,9394,91,5934,1,430,633
Woodland Joint Unified (Yolo),Yolo,Unified School District,10055,27.8,66.9,33,90.42,43.4,268,N/A,20.7,12,63604,N/A,24,35,8614,445,9308,56,5268,9,666,804
Rowland Unified (Los Angeles),Los Angeles,Unified School District,15055,26.7,66.3,40,86.02,43.1,453,N/A,22.6,14,77333,N/A,37,46,10215,700,10453,0,6664,22,535,753
Vacaville Unified (Solano),Solano,Unified School District,12837,9.6,37.1,50,87.79,43,442,N/A,22.1,13,64610,N/A,36,45,8079,279,8407,50,4993,0,317,1009
Hughson Unified (Stanislaus),Stanislaus,Unified School District,2146,25.9,52.4,36,97.3,42.9,76,N/A,22.3,12,73996,N/A,24,39,9216,622,9716,218,6240,0,793,461
Long Beach Unified (Los Angeles),Los Angeles,Unified School District,79709,23.2,66.1,47,84.04,42.3,2467,N/A,24.6,16,85062,N/A,30,42,9890,390,10220,14,6601,93,388,660
Yuba City Unified (Sutter),Sutter,Unified School District,13366,21.6,68.3,53,87.94,42.3,340,N/A,20,12,64165,N/A,27,39,9118,612,9458,76,5906,0,444,760
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2239,35.1,63.9,27,95.38,42.1,69,N/A,20.4,12,N/A,N/A,34,41,11005,636,11131,445,6015,302,810,826
Live Oak Unified (Sutter),Sutter,Unified School District,1757,21.3,79.4,40,95.73,42,47,N/A,21.2,13,65672,N/A,26,35,8706,653,9219,79,5420,62,747,851
ABC Unified (Los Angeles),Los Angeles,Unified School District,20998,21.4,48.9,57,94.43,41.8,688,N/A,24,14,78191,N/A,48,59,8925,495,9402,0,5809,0,484,660
West Contra Costa Unified (Contra Costa),Contra Costa,Unified School District,30596,35.1,70.2,50,84.74,41.8,772,N/A,21.2,11,59503,N/A,23,32,10059,503,10818,211,5953,11,731,1129
Benicia Unified (Solano),Solano,Unified School District,4924,3.9,20.1,56,94.13,41.6,176,N/A,21.8,13,72453,N/A,47,59,8099,343,8315,56,5374,0,676,426
Muroc Joint Unified (Kern),Kern,Unified School District,1936,3.4,26.9,49,96.35,41.5,56,N/A,20.7,11,61799,N/A,30,41,9291,715,10488,89,6058,7,794,649
Lynwood Unified (Los Angeles),Los Angeles,Unified School District,14776,36,96.3,7,80.97,41.4,384,N/A,24.6,13,73242,N/A,19,27,9671,430,10411,31,5589,52,793,699
Tracy Joint Unified (San Joaquin),San Joaquin,Unified School District,16935,24.7,44.4,53,91.79,41.4,596,N/A,22.5,12,68082,N/A,27,40,8165,329,8944,71,5354,10,353,624
Oak Park Unified (Ventura),Ventura,Unified School District,4693,3.1,5.9,34,98.37,41.3,176,N/A,23.7,11,77089,N/A,69,78,8176,286,8425,53,5650,13,622,607
Rim of the World Unified (San Bernardino),San Bernardino,Unified School District,3695,12,54.9,37,86.87,41.3,117,N/A,22.8,15,68258,N/A,21,36,9606,483,10096,57,6155,30,714,1095
Downey Unified (Los Angeles),Los Angeles,Unified School District,22698,16.2,65.9,13,95.98,41.2,883,N/A,24.3,15,88103,N/A,31,46,9469,551,9225,44,6602,0,558,676
Pasadena Unified (Los Angeles),Los Angeles,Unified School District,18586,20.2,66.1,44,81.46,40.9,499,N/A,19.7,12,69578,N/A,29,37,11102,306,11281,44,6483,14,628,1267
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,5158,8.7,55.3,39,96.44,40.8,191,N/A,24.8,15,79525,N/A,39,43,9175,294,9775,24,5659,53,665,867
San Lorenzo Unified (Alameda),Alameda,Unified School District,12070,26.3,66.3,50,89.32,40.6,423,N/A,20.6,11,74930,N/A,21,27,9956,404,9990,35,6550,4,591,681
Borrego Springs Unified (San Diego),San Diego,Unified School District,864,24,62,35,92.86,40.5,15,N/A,19.4,5,N/A,N/A,19,38,14630,594,14307,117,9362,0,1474,887
Scott Valley Unified (Siskiyou),Siskiyou,Unified School District,658,1.7,67.9,38,89.13,40.5,17,N/A,16.5,9,54148,N/A,42,49,11855,1398,12889,614,6907,0,974,1023
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,4722,7.7,35.6,34,95.71,40.4,150,N/A,22.1,13,64846,N/A,37,51,8859,499,9383,129,5396,25,483,1145
Durham Unified (Butte),Butte,Unified School District,960,11.1,40.3,27,93.42,40.3,29,N/A,18.9,15,65490,N/A,37,48,8908,506,9683,126,5628,0,657,805
Beaumont Unified (Riverside),Riverside,Unified School District,9256,13.3,56.3,46,87.4,40,235,N/A,25.3,9,69861,N/A,29,42,7872,588,8443,69,4823,4,608,664
Woodlake Unified (Tulare),Tulare,Unified School District,2291,33.9,81.7,12,85.9,40,62,N/A,21.5,10,60702,N/A,15,29,9749,697,10778,174,5847,2,535,1282
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,9129,22.8,82.6,2,87.81,39.7,288,N/A,23.7,17,71564,N/A,22,35,9171,379,9770,36,5944,0,590,813
Pomona Unified (Los Angeles),Los Angeles,Unified School District,25311,35.9,82.7,17,78.04,39.7,643,N/A,15,15,78415,N/A,20,35,10452,400,10687,30,6591,22,606,795
Bishop Unified (Inyo),Inyo,Unified School District,1939,12.4,51.3,52,84.02,39.5,70,N/A,19.7,11,70744,N/A,28,33,10732,471,10931,53,6949,0,889,815
