District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,162,64.8,77.8,15,71.43,100,10,N/A,10.8,4,N/A,N/A,15,30,20412,2425,30593,80,11989,0,2952,1649
Big Pine Unified (Inyo),Inyo,Unified School District,189,3.2,77.8,49,88.89,100,9,N/A,11.7,7,62696,N/A,21,23,15966,585,18996,0,9546,0,1914,1202
Fort Sage Unified (Lassen),Lassen,Unified School District,313,1.9,59.4,24,77.14,100,29,N/A,13.6,6,47051,N/A,12,27,16126,831,16944,462,8820,0,1768,1199
Warner Unified (San Diego),San Diego,Unified School District,297,10.4,86.2,53,92.86,100,17,N/A,13.6,4,N/A,N/A,25,34,17309,1258,18143,56,11232,0,2576,1661
Manhattan Beach Unified (Los Angeles),Los Angeles,Unified School District,6890,1.1,1.9,40,94.19,99.8,625,N/A,23.1,9,79005,N/A,71,81,9851,607,9861,54,6503,0,730,667
Wiseburn Unified (Los Angeles),Los Angeles,Unified School District,4065,9,40.7,47,N/A,97.7,214,N/A,20.8,8,77823,N/A,37,60,8874,556,10163,6,5705,4,697,885
Piedmont City Unified (Alameda),Alameda,Unified School District,2706,1.8,0.8,36,97.84,91.2,207,N/A,17.1,11,75836,N/A,82,85,13330,783,13088,172,8957,0,831,664
Palo Alto Unified (Santa Clara),Santa Clara,Unified School District,12527,11,8.7,53,95.42,82.1,736,N/A,16.6,11,95811,N/A,83,82,16067,662,16369,102,10687,13,926,1091
Santa Monica-Malibu Unified (Los Angeles),Los Angeles,Unified School District,11289,9,26.4,48,91.68,79.2,685,N/A,20.7,12,75968,N/A,57,68,11932,488,13104,73,7527,165,751,1106
Palos Verdes Peninsula Unified (Los Angeles),Los Angeles,Unified School District,11632,7.5,2.7,49,98.72,78.4,845,N/A,23.5,12,76242,N/A,73,77,9228,421,9047,172,6315,8,507,580
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4058,5.9,1.2,47,98.6,77.4,274,N/A,21.5,10,75116,N/A,82,85,10054,495,10111,14,6213,14,885,635
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,4767,8.4,15.1,59,97.87,77.1,283,N/A,22.7,12,77330,N/A,75,77,9068,468,9080,94,6012,6,550,539
Davis Joint Unified (Yolo),Yolo,Unified School District,8626,10.5,21.7,47,94.37,76.7,559,N/A,20.4,11,64865,N/A,65,69,10053,573,9991,151,6461,27,679,790
San Marino Unified (Los Angeles),Los Angeles,Unified School District,3143,12.4,3.6,44,98.1,76.1,197,N/A,20.4,11,78057,N/A,85,84,12152,730,12177,204,7536,73,1244,1011
Laguna Beach Unified (Orange),Orange,Unified School District,3074,4.3,7.1,22,95.65,72.4,160,N/A,21.6,10,96878,N/A,66,76,15823,869,17034,379,9628,0,1458,1511
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,31954,5,3.5,51,98.25,72.4,1751,N/A,23.2,10,71080,N/A,73,81,8548,364,8889,108,5570,15,431,620
Coronado Unified (San Diego),San Diego,Unified School District,3169,2.3,7,32,98.03,70.2,219,N/A,22,11,67131,N/A,60,75,9609,290,9871,122,5987,79,591,741
Poway Unified (San Diego),San Diego,Unified School District,35629,11.6,16.1,53,95.78,70,1803,N/A,25.8,13,77791,N/A,65,72,8929,511,8693,120,5932,11,455,720
Irvine Unified (Orange),Orange,Unified School District,31392,17,14.1,52,94.75,69.4,1558,N/A,25.9,12,77121,N/A,74,77,8522,448,8580,51,5445,21,264,819
Carlsbad Unified (San Diego),San Diego,Unified School District,11049,8.2,21,42,91.63,68.9,484,N/A,25.6,13,76146,N/A,60,69,8514,264,8521,96,5368,10,581,752
Los Alamitos Unified (Orange),Orange,Unified School District,9914,2.6,13.5,50,98.18,68.8,484,N/A,26.1,13,89667,N/A,65,74,8410,430,8697,47,5832,2,585,477
Rocklin Unified (Placer),Placer,Unified School District,12738,3.7,18.5,36,94.4,68,692,N/A,22.6,10,71152,N/A,57,70,8296,439,8427,95,5563,12,450,543
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3477,5.2,10.8,37,94.54,67.8,225,N/A,24,10,75767,N/A,56,65,8695,377,9268,27,5435,209,750,509
Carmel Unified (Monterey),Monterey,Unified School District,2492,6,15.4,35,96.06,67.2,133,N/A,16.1,11,98620,N/A,69,80,17842,981,19535,0,10738,6,1474,1474
Temecula Valley Unified (Riverside),Riverside,Unified School District,30016,5.5,20.8,52,93.78,67.1,1538,N/A,24.7,13,82811,N/A,48,61,8441,304,8580,7,5747,12,434,650
Southern Trinity Joint Unified (Trinity),Trinity,Unified School District,101,N/A,80.2,10,100,66.7,2,N/A,10.9,14,54985,N/A,41,39,21812,1656,24722,766,11246,0,1773,3312
Fremont Unified (Alameda),Alameda,Unified School District,34208,20.1,17.4,46,93.03,66.5,1566,N/A,22.5,11,83968,N/A,69,71,8483,375,8687,42,5904,16,419,456
Claremont Unified (Los Angeles),Los Angeles,Unified School District,7046,5.6,36.1,53,97.03,66.3,391,N/A,23.9,12,73435,N/A,46,61,8914,384,9388,89,5316,0,671,1207
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9582,13.7,19.5,38,97.42,64.7,572,N/A,23.4,14,90034,N/A,75,76,8784,244,9521,65,6032,6,630,610
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,4212,4.6,6.7,30,92.53,63.9,267,N/A,16,12,81020,N/A,59,70,14333,411,14811,0,8969,18,986,734
Walnut Valley Unified (Los Angeles),Los Angeles,Unified School District,14532,11.3,13.5,45,98.47,63.9,944,N/A,24.6,16,79035,N/A,68,72,8313,441,8656,66,5440,25,443,738
Pleasanton Unified (Alameda),Alameda,Unified School District,14768,7.5,6.7,49,96.6,63.1,763,N/A,23.3,12,89522,N/A,73,80,8795,483,9056,0,6180,0,538,428
Clovis Unified (Fresno),Fresno,Unified School District,41169,5.9,36.4,52,94.59,62.9,1753,N/A,23.6,13,67972,N/A,50,60,8494,436,8926,192,5214,0,450,838
Berkeley Unified (Alameda),Alameda,Unified School District,10442,11.3,39.1,63,84.63,62.7,515,N/A,16.4,7,71133,N/A,54,58,13400,417,14433,26,8237,23,1107,1051
Dublin Unified (Alameda),Alameda,Unified School District,9151,8.4,8.1,60,96.18,62.3,304,N/A,21.9,8,80132,N/A,69,77,8606,348,8916,42,5724,0,519,536
Las Virgenes Unified (Los Angeles),Los Angeles,Unified School District,11259,5.2,7.9,26,90.77,62.1,577,N/A,25.3,12,72364,N/A,59,70,9052,511,9079,76,6057,0,380,748
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,2482,3,10,30,98.8,62.1,105,N/A,22.1,10,N/A,N/A,62,67,8664,421,8576,95,5515,1,585,629
Temple City Unified (Los Angeles),Los Angeles,Unified School District,5953,21.9,42,38,97.81,61.4,332,N/A,23.9,13,77825,N/A,64,67,8269,393,8963,8,5562,0,532,568
San Francisco Unified (San Francisco),San Francisco,Unified School District,58414,27.8,62.3,62,84.87,59.8,2503,N/A,17.5,13,65238,N/A,48,52,10288,565,12965,47,5410,0,585,858
San Lorenzo Valley Unified (Santa Cruz),Santa Cruz,Unified School District,4613,2,16.6,31,96.77,59.8,156,N/A,23,9,65676,N/A,45,56,9639,480,9792,108,5610,0,884,911
Santa Barbara Unified (Santa Barbara),Santa Barbara,Unified School District,15593,30.9,45.7,37,89.68,59.3,865,N/A,21.8,11,71865,N/A,38,50,9428,407,10008,118,5611,164,495,862
Albany City Unified (Alameda),Alameda,Unified School District,3881,18.3,21.4,60,93.45,58.7,158,N/A,18.4,8,69286,N/A,68,72,10529,442,10592,127,7098,94,880,415
Conejo Valley Unified (Ventura),Ventura,Unified School District,19727,10.6,20.8,42,97.36,58.6,1066,N/A,22.8,14,76224,N/A,57,64,8672,333,8822,134,5857,63,436,526
Eastern Sierra Unified (Mono),Mono,Unified School District,399,17.3,7,43,88.57,58.1,18,N/A,11.2,11,62357,N/A,39,57,23684,1594,23160,29,12362,0,3072,2761
Pacific Grove Unified (Monterey),Monterey,Unified School District,2012,7.2,20.2,40,96.58,58,83,N/A,19.6,11,88874,N/A,54,67,12671,461,13310,149,7698,0,988,1052
Tustin Unified (Orange),Orange,Unified School District,24059,21.9,40.2,51,98.06,58,1032,N/A,27.1,11,79250,N/A,49,57,7951,268,8565,46,5192,15,354,640
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3373,28.8,37,40,89.32,57.9,125,N/A,22.4,10,67851,N/A,33,46,9026,314,9346,133,5370,18,632,753
San Marcos Unified (San Diego),San Diego,Unified School District,20452,19.8,41.4,45,93.63,57.7,721,N/A,24.5,11,68936,N/A,46,60,8247,405,8862,79,5482,209,391,621
Newport-Mesa Unified (Orange),Orange,Unified School District,21905,24.4,45.1,43,93.51,57.1,937,N/A,23.3,13,88376,N/A,47,54,11492,517,12383,148,6894,0,718,854
Oakland Unified (Alameda),Alameda,Unified School District,48077,32.3,74.5,55,63.39,56.5,1265,N/A,18.6,8,58033,N/A,23,29,11854,471,12636,333,6982,16,794,750
Culver City Unified (Los Angeles),Los Angeles,Unified School District,6757,12.5,34.4,60,95.37,56.4,285,N/A,22.1,12,71491,N/A,48,63,9731,632,9662,1,6264,0,589,764
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,9364,6.6,18.4,52,93.65,56,360,N/A,23.6,10,75718,N/A,56,68,8232,210,9121,0,5716,22,386,631
Pajaro Valley Unified (Santa Cruz),Santa Cruz,Unified School District,20438,47.3,75.1,19,93.62,55.8,645,N/A,24.6,11,60690,N/A,20,30,11436,534,11224,90,7073,1,480,1159
Castro Valley Unified (Alameda),Alameda,Unified School District,9361,9.9,18.7,66,95.06,55.6,397,N/A,22.6,11,75647,N/A,53,64,8540,424,8815,81,5483,31,577,660
Murrieta Valley Unified (Riverside),Riverside,Unified School District,22698,5.7,30.7,51,92.49,55.5,1007,N/A,25.3,10,82264,N/A,42,57,8584,301,8655,102,5801,12,442,657
New Haven Unified (Alameda),Alameda,Unified School District,12459,24.3,43,64,85.12,54.9,508,N/A,23.1,13,88820,N/A,35,44,9518,286,10149,97,6049,7,442,620
Brea-Olinda Unified (Orange),Orange,Unified School District,5977,12,27.9,55,96.56,54.4,274,N/A,26.7,14,75618,N/A,58,67,8082,347,8445,46,5026,0,569,817
Capistrano Unified (Orange),Orange,Unified School District,54036,9.8,21.2,42,96.64,54.4,2299,N/A,26.2,14,83235,N/A,56,68,8041,231,8429,55,5497,0,322,669
Elk Grove Unified (Sacramento),Sacramento,Unified School District,62888,17.2,54.8,72,89.87,54.4,2447,N/A,20.9,14,73322,N/A,41,50,9188,366,9275,0,6144,0,603,836
