District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Oakdale Joint Unified (Stanislaus),Stanislaus,Unified School District,5295,9.9,43.3,35,86.71,31.8,126,0,22.5,13,66829,N/A,N/A,N/A,7613,324,8220,0,5043,0,396,726
Yosemite Unified (Madera),Madera,Unified School District,2123,0.2,38.7,30,83.33,31.7,60,0,22.3,13,66548,N/A,N/A,N/A,9820,416,9650,0,5472,40,853,816
Antioch Unified (Contra Costa),Contra Costa,Unified School District,18852,17.3,61.5,61,77.79,31.6,390,0,23.1,12,69325,N/A,N/A,N/A,7826,241,7610,29,5440,0,386,390
Burbank Unified (Los Angeles),Los Angeles,Unified School District,16546,10.6,41.1,48,91.68,31.5,505,0,22.5,13,69395,N/A,N/A,N/A,7426,189,7723,62,4795,6,534,450
Linden Unified (San Joaquin),San Joaquin,Unified School District,2321,26.9,59.7,39,91.54,31.5,58,0,23,10,N/A,N/A,N/A,N/A,7580,583,7910,33,4777,9,537,744
River Delta Joint Unified (Sacramento),Sacramento,Unified School District,2323,24.8,49.8,40,86.06,31.5,46,0,19.1,7,51001,N/A,N/A,N/A,9240,583,9396,71,5524,0,584,1142
San Gabriel Unified (Los Angeles),Los Angeles,Unified School District,6573,27.6,57.5,46,88.98,31.5,257,0,21.4,9,67591,N/A,N/A,N/A,7878,202,8150,41,5018,0,539,686
Calipatria Unified (Imperial),Imperial,Unified School District,1191,34.5,81.4,14,90.32,31.4,27,0,19.1,10,59320,N/A,N/A,N/A,8584,802,8835,96,5005,1,869,915
Lodi Unified (San Joaquin),San Joaquin,Unified School District,30222,23.8,67.9,57,82.81,31.4,604,0,21.9,13,61234,N/A,N/A,N/A,7917,351,8182,35,5372,0,582,594
Patterson Joint Unified (Stanislaus),Stanislaus,Unified School District,5888,29.8,71.6,32,87.73,31.4,122,0,25.2,9,60179,N/A,N/A,N/A,7102,443,7881,36,4719,13,534,530
Yuba City Unified (Sutter),Sutter,Unified School District,13298,18.8,66.8,54,83.94,31.4,255,0,20.8,11,58325,N/A,N/A,N/A,7653,322,7705,63,4987,0,426,616
