District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,352,1.7,63.9,24,75,100,18,N/A,14.8,14,63428,N/A,N/A,N/A,14201,957,15972,320,8135,0,1179,1774
Southern Trinity Joint Unified (Trinity),Trinity,Unified School District,84,N/A,77.4,13,66.67,redacted,redacted,N/A,9.1,12,54671,N/A,N/A,N/A,25285,1958,26804,824,12714,0,2171,3624
Warner Unified (San Diego),San Diego,Unified School District,305,9.2,85.9,52,86.67,100,18,N/A,13.5,3,52554,N/A,N/A,N/A,15606,1514,15580,76,9370,0,2341,1795
Aromas/San Juan Unified (San Benito),San Benito,Unified School District,1149,27.2,62.1,33,88.73,95.2,59,N/A,23.3,12,67955,N/A,N/A,N/A,10179,386,11029,64,6378,0,739,852
El Tejon Unified (Kern),Kern,Unified School District,776,13.1,59.4,36,83.33,94.5,69,N/A,23.2,14,65087,N/A,N/A,N/A,9504,603,10872,465,5397,474,1058,1104
Borrego Springs Unified (San Diego),San Diego,Unified School District,521,38.8,85.6,32,72.22,90,27,N/A,16.8,6,N/A,N/A,N/A,N/A,13425,342,13006,67,8703,0,1213,877
Piedmont City Unified (Alameda),Alameda,Unified School District,2644,2.2,0.7,34,100,86.4,165,N/A,17.1,12,73211,N/A,N/A,N/A,12466,629,12691,124,9118,0,755,502
Palo Alto Unified (Santa Clara),Santa Clara,Unified School District,12466,11.4,8.5,52,95.71,86.2,808,N/A,17.7,9,91841,N/A,N/A,N/A,14954,623,15217,110,9898,12,882,1039
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4043,5.7,1.4,46,97.59,80.1,293,N/A,22.6,11,73551,N/A,N/A,N/A,9139,399,9318,21,5727,14,730,597
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,4741,8,16.9,59,96.74,79.2,286,N/A,23,12,76740,N/A,N/A,N/A,8495,485,8622,86,5781,16,520,496
Coronado Unified (San Diego),San Diego,Unified School District,3120,2.3,6.9,30,97.94,78.7,225,N/A,19.8,10,65417,N/A,N/A,N/A,9765,355,9102,118,6193,110,649,663
Big Valley Joint Unified (Lassen),Lassen,Unified School District,184,6,66.3,20,85.71,77.8,14,N/A,19,4,44147,N/A,N/A,N/A,10968,1169,13640,272,4711,0,1200,840
Palos Verdes Peninsula Unified (Los Angeles),Los Angeles,Unified School District,11700,7,3.1,47,98.77,77.4,878,N/A,24.2,11,72674,N/A,N/A,N/A,8399,366,8563,185,5794,0,447,525
Davis Joint Unified (Yolo),Yolo,Unified School District,8539,10,22.5,46,95.14,75.7,494,N/A,20.9,12,67244,N/A,N/A,N/A,9372,458,9170,142,5945,26,698,751
San Marino Unified (Los Angeles),Los Angeles,Unified School District,3132,7.3,3.7,45,96.47,75.6,208,N/A,21.5,12,75187,N/A,N/A,N/A,10824,568,11415,148,6655,77,1210,786
Santa Monica-Malibu Unified (Los Angeles),Los Angeles,Unified School District,11341,8.6,25.2,48,92.41,72.4,637,N/A,21.6,13,76471,N/A,N/A,N/A,11033,364,11297,77,6931,146,711,1000
Laguna Beach Unified (Orange),Orange,Unified School District,3005,3.8,9.5,22,97.7,71.7,182,N/A,20.7,10,94725,N/A,N/A,N/A,14580,790,16237,379,9050,0,1590,1373
San Lorenzo Valley Unified (Santa Cruz),Santa Cruz,Unified School District,4514,1.7,23.3,30,96.76,70.9,175,N/A,23.2,9,63744,N/A,N/A,N/A,9265,483,9524,103,5323,0,890,852
Carmel Unified (Monterey),Monterey,Unified School District,2468,5.6,14.9,36,95.77,70.7,145,N/A,16.2,10,93279,N/A,N/A,N/A,17427,1002,19072,0,10320,6,1420,1513
Poway Unified (San Diego),San Diego,Unified School District,35498,12.1,16.2,52,95.57,69.8,1865,N/A,27,13,72715,N/A,N/A,N/A,7974,367,8028,112,5301,10,401,613
Klamath-Trinity Joint Unified (Humboldt),Humboldt,Unified School District,1042,0.1,88.9,19,88.33,69.4,34,N/A,17.1,12,59365,N/A,N/A,N/A,15227,614,15981,155,8002,0,1462,2095
Pajaro Valley Unified (Santa Cruz),Santa Cruz,Unified School District,20362,46.5,76.6,20,89.69,67.8,767,N/A,23.8,10,60890,N/A,N/A,N/A,10417,581,10435,80,6455,1,419,1025
Los Alamitos Unified (Orange),Orange,Unified School District,9922,2.4,13.6,49,97.89,67.4,498,N/A,26.9,14,86659,N/A,N/A,N/A,7769,325,8218,51,5391,3,533,464
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,2474,2.3,11.4,29,97.74,67.3,113,N/A,22.6,10,59810,N/A,N/A,N/A,7786,295,7848,95,5055,2,586,475
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9701,12.5,20.1,38,97.19,67.1,611,N/A,23.9,14,86343,N/A,N/A,N/A,7893,268,8623,60,5464,4,532,526
Rocklin Unified (Placer),Placer,Unified School District,12162,4.5,19.1,35,94.98,67.1,633,N/A,23.5,10,67442,N/A,N/A,N/A,7271,296,7580,87,4813,9,424,427
Dublin Unified (Alameda),Alameda,Unified School District,8270,7,9.4,59,92.86,67,294,N/A,22.2,8,76471,N/A,N/A,N/A,7945,254,8271,39,5294,0,514,468
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,31398,5.4,4.2,50,98.31,67,1522,N/A,23.3,11,70168,N/A,N/A,N/A,7866,333,8314,100,5183,15,363,564
Claremont Unified (Los Angeles),Los Angeles,Unified School District,6987,5.6,39.8,53,95.55,66.5,413,N/A,23.9,13,73826,N/A,N/A,N/A,8350,333,8769,91,5039,0,634,1029
Carlsbad Unified (San Diego),San Diego,Unified School District,10993,8.3,17.5,43,93.71,66.3,517,N/A,26.1,13,74077,N/A,N/A,N/A,7703,267,7923,71,4840,11,509,676
Pleasanton Unified (Alameda),Alameda,Unified School District,14786,6.7,5.7,48,95.65,65.6,805,N/A,23,12,85593,N/A,N/A,N/A,8329,352,8753,0,5874,0,505,413
