District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Walnut Valley Unified (Los Angeles),Los Angeles,Unified School District,14575,10.3,15.3,45,98.09,65.6,981,N/A,25,15,75800,N/A,N/A,N/A,7642,250,7931,67,4889,22,375,680
Fremont Unified (Alameda),Alameda,Unified School District,33887,19.8,18.2,48,92.74,65.4,1576,N/A,23.3,13,78936,N/A,N/A,N/A,7997,408,8266,36,5506,15,370,456
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3431,5.4,13.2,48,97.41,65.2,197,N/A,23.4,9,71399,N/A,N/A,N/A,8425,489,9026,25,5209,197,796,483
Riverdale Joint Unified (Fresno),Fresno,Unified School District,1601,31.6,85.9,18,93.22,63.3,69,N/A,20.4,11,59362,N/A,N/A,N/A,8542,706,9049,163,5565,0,635,593
Temple City Unified (Los Angeles),Los Angeles,Unified School District,5920,21.2,42.6,38,94.91,63.1,330,N/A,24.1,13,73975,N/A,N/A,N/A,7577,287,7938,8,5045,0,581,555
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,4276,5.7,4.8,29,92.6,62.9,278,N/A,15.7,13,77311,N/A,N/A,N/A,13268,516,13867,210,8253,17,1161,699
Temecula Valley Unified (Riverside),Riverside,Unified School District,30065,5.1,20.8,52,94.3,62.1,1401,N/A,25.1,13,79039,N/A,N/A,N/A,7749,347,7825,52,5252,8,393,571
Irvine Unified (Orange),Orange,Unified School District,30123,15.7,13.6,53,95.78,61.9,1266,N/A,26.4,13,74022,N/A,N/A,N/A,7845,342,8280,50,5048,19,263,782
Mammoth Unified (Mono),Mono,Unified School District,1189,30.4,59,36,89.47,60.6,43,N/A,19.2,7,66662,N/A,N/A,N/A,10724,495,11501,128,7542,0,716,521
Saint Helena Unified (Napa),Napa,Unified School District,1255,21,37.4,37,94.96,59.3,67,N/A,15.5,10,102749,N/A,N/A,N/A,18720,1377,20765,263,11475,84,2026,1143
San Luis Coastal Unified (San Luis Obispo),San Luis Obispo,Unified School District,7509,14.1,37,39,96.79,58.9,305,N/A,20.2,12,71525,N/A,N/A,N/A,10445,503,11046,159,6136,0,698,1111
Las Virgenes Unified (Los Angeles),Los Angeles,Unified School District,11137,5.9,6.5,26,94.38,57.5,538,N/A,23.9,12,69512,N/A,N/A,N/A,8479,237,8827,52,5557,0,386,741
Holtville Unified (Imperial),Imperial,Unified School District,1550,40.3,71.7,14,90.68,57.3,63,N/A,19.7,10,67441,N/A,N/A,N/A,9505,651,9535,135,5606,0,767,837
New Haven Unified (Alameda),Alameda,Unified School District,12601,24.2,48.2,65,85.17,57.2,544,N/A,23,13,85169,N/A,N/A,N/A,8614,300,9171,99,5529,7,433,511
San Francisco Unified (San Francisco),San Francisco,Unified School District,57620,28,61.1,61,83.89,56.9,2167,N/A,17.7,13,64434,N/A,N/A,N/A,9780,473,12242,45,5039,0,564,916
Chawanakee Unified (Madera),Madera,Unified School District,1139,0.9,46.7,37,91.23,56,79,N/A,20.3,6,53642,N/A,N/A,N/A,9291,643,10759,6,5370,0,983,776
Clovis Unified (Fresno),Fresno,Unified School District,40783,6.2,42,52,92.11,55.9,1501,N/A,24.5,13,64825,N/A,N/A,N/A,7821,527,8204,163,4602,0,413,738
Newport-Mesa Unified (Orange),Orange,Unified School District,22018,24.7,44.2,42,93.05,55.2,853,N/A,23.5,13,83555,N/A,N/A,N/A,10689,440,11816,141,6451,0,636,831
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,9126,6.4,20.7,51,94.05,55.2,355,N/A,24.3,11,72814,N/A,N/A,N/A,7764,210,8445,0,5335,12,403,609
Tustin Unified (Orange),Orange,Unified School District,23949,21.8,40.7,51,96.97,54.9,935,N/A,28.2,11,76953,N/A,N/A,N/A,7452,264,7880,50,4862,16,354,574
Bassett Unified (Los Angeles),Los Angeles,Unified School District,4138,33.8,90.5,6,94.52,54.8,164,N/A,23.1,14,73767,N/A,N/A,N/A,9901,718,10918,109,5881,0,1060,668
Brea-Olinda Unified (Orange),Orange,Unified School District,5973,10.7,27.8,55,96.62,54.7,268,N/A,27.7,14,71519,N/A,N/A,N/A,7343,315,7758,45,4511,0,520,734
Garden Grove Unified (Orange),Orange,Unified School District,46936,40.9,77.2,43,89.7,54.4,1821,N/A,26.2,13,84242,N/A,N/A,N/A,8572,319,8830,188,5746,6,302,733
Morgan Hill Unified (Santa Clara),Santa Clara,Unified School District,9130,18.8,37.8,46,89.24,54.3,318,N/A,23.8,11,67099,N/A,N/A,N/A,7349,372,8550,55,4692,1,450,709
Alameda Unified (Alameda),Alameda,Unified School District,10947,19.4,33.1,69,86.03,53.5,431,N/A,20.9,10,68089,N/A,N/A,N/A,9689,486,10049,213,6070,9,702,567
Elk Grove Unified (Sacramento),Sacramento,Unified School District,62499,16.8,50.6,71,89.7,53.1,2286,N/A,20.7,13,71340,N/A,N/A,N/A,8416,324,8384,0,5778,0,499,623
Torrance Unified (Los Angeles),Los Angeles,Unified School District,24213,15.2,27.4,63,95.49,53.1,1098,N/A,24.3,13,73119,N/A,N/A,N/A,8271,251,8424,104,5653,0,430,591
Castro Valley Unified (Alameda),Alameda,Unified School District,9317,9.8,21.1,66,95.2,53,418,N/A,22.9,11,71745,N/A,N/A,N/A,8005,343,8250,85,5027,28,566,714
Berkeley Unified (Alameda),Alameda,Unified School District,10181,12.5,41.2,63,89.03,52.6,400,N/A,17.9,8,70036,N/A,N/A,N/A,12801,437,13650,25,7987,19,1056,980
Dixon Unified (Solano),Solano,Unified School District,3406,26.8,53.6,38,77.78,52.6,133,N/A,23.3,13,62463,N/A,N/A,N/A,8199,378,8022,51,5275,0,634,536
Tulelake Basin Joint Unified (Modoc),Modoc,Unified School District,488,44.9,80.1,29,88.64,52.6,20,N/A,15.2,10,67413,N/A,N/A,N/A,11580,885,12187,620,6785,0,1276,717
Capistrano Unified (Orange),Orange,Unified School District,53833,10,22.3,41,96.81,52.5,2130,N/A,27.1,15,81876,N/A,N/A,N/A,7419,214,7941,47,5036,1,289,589
Conejo Valley Unified (Ventura),Ventura,Unified School District,20142,10.9,23.2,41,97,52.4,955,N/A,24,14,72230,N/A,N/A,N/A,8178,307,8319,126,5554,67,429,505
San Marcos Unified (San Diego),San Diego,Unified School District,20107,20.5,45.6,45,94.01,51.8,634,N/A,26.4,11,68567,N/A,N/A,N/A,7579,347,7971,64,5053,215,338,563
Murrieta Valley Unified (Riverside),Riverside,Unified School District,23023,4.6,33.8,51,94.03,51.7,986,N/A,26.7,11,82681,N/A,N/A,N/A,7611,295,7689,81,5079,13,376,613
Moorpark Unified (Ventura),Ventura,Unified School District,6812,19.2,33.7,45,90.17,51.5,301,N/A,22.1,15,67759,N/A,N/A,N/A,8569,260,8448,18,5480,0,654,591
Santa Barbara Unified (Santa Barbara),Santa Barbara,Unified School District,15518,31,48.1,37,86.62,51.3,718,N/A,22.3,12,69726,N/A,N/A,N/A,8886,387,8984,119,5131,123,614,862
Livermore Valley Joint Unified (Alameda),Alameda,Unified School District,13634,14.3,23.1,47,90.03,51,493,N/A,20.9,11,70541,N/A,N/A,N/A,8906,487,8719,89,5931,9,439,638
Calistoga Joint Unified (Napa),Napa,Unified School District,822,47.2,73.2,19,89.39,50.8,30,N/A,17.3,11,N/A,N/A,N/A,N/A,15454,1580,15801,322,9654,0,1738,899
Milpitas Unified (Santa Clara),Santa Clara,Unified School District,10156,28.9,35.6,57,91.82,50.7,389,N/A,24.5,11,77522,N/A,N/A,N/A,7953,332,9309,33,5517,0,398,370
Oak Park Unified (Ventura),Ventura,Unified School District,4669,3.3,6.2,31,96.92,50,193,N/A,24.9,11,73629,N/A,N/A,N/A,7467,242,7856,56,5133,3,583,537
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3357,28.3,38.3,40,87.75,49.8,113,N/A,23.5,12,N/A,N/A,N/A,N/A,8675,257,8729,123,5289,12,667,713
Novato Unified (Marin),Marin,Unified School District,8078,18,35.5,45,92.78,49.8,297,N/A,20.5,10,66164,N/A,N/A,N/A,8557,415,9075,60,5559,0,487,621
Templeton Unified (San Luis Obispo),San Luis Obispo,Unified School District,2480,5.9,20.6,30,98.01,49.5,100,N/A,24.3,12,62507,N/A,N/A,N/A,7234,345,8010,119,4648,14,667,499
Placentia-Yorba Linda Unified (Orange),Orange,Unified School District,25843,13.9,35,49,93.93,49.3,1005,N/A,25.6,15,77275,N/A,N/A,N/A,7925,314,8225,22,5305,6,298,512
Corona-Norco Unified (Riverside),Riverside,Unified School District,53782,13.1,42.8,47,92.41,49.1,1967,N/A,25.3,13,82178,N/A,N/A,N/A,7694,311,7867,52,5156,0,346,634
Oakland Unified (Alameda),Alameda,Unified School District,47194,30.7,75.3,56,60.5,49.1,1080,N/A,19.2,9,55670,N/A,N/A,N/A,11213,716,11767,352,6676,10,702,712
Saddleback Valley Unified (Orange),Orange,Unified School District,29731,15.4,29.3,48,94.7,48.6,1202,N/A,26.7,16,78959,N/A,N/A,N/A,7409,235,8227,45,5258,0,336,493
Sierra-Plumas Joint Unified (Sierra),Sierra,Unified School District,377,5,48.3,21,94.44,48.6,17,N/A,15.4,13,56544,N/A,N/A,N/A,13391,485,13963,142,6718,0,1919,1936
Pacific Grove Unified (Monterey),Monterey,Unified School District,2055,8,20,40,98.03,48.3,72,N/A,18,11,79702,N/A,N/A,N/A,12002,465,12401,120,7072,0,1035,1112
Glendale Unified (Los Angeles),Los Angeles,Unified School District,26070,24.5,49.1,47,91.68,48.2,960,N/A,23.9,13,73818,N/A,N/A,N/A,8797,305,8724,58,6132,18,359,535
San Diego Unified (San Diego),San Diego,Unified School District,130303,26,59,56,89.66,47.9,3848,N/A,20.2,14,69748,N/A,N/A,N/A,10293,353,10086,31,6656,9,476,1251
San Jose Unified (Santa Clara),Santa Clara,Unified School District,33152,24.6,44.6,47,85.92,47.8,1116,N/A,21.1,10,67386,N/A,N/A,N/A,9400,401,9500,129,5516,0,518,836
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,23528,17.7,71.1,38,87.07,47.5,895,N/A,24.9,10,67156,N/A,N/A,N/A,7535,298,8018,16,4794,3,398,621
Valley Center-Pauma Unified (San Diego),San Diego,Unified School District,4162,24,53.2,46,97.7,47.5,142,N/A,22.2,14,78583,N/A,N/A,N/A,9083,515,9285,186,5345,40,536,870
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,19356,11.7,35.9,47,91.81,47.4,601,N/A,24.1,13,70192,N/A,N/A,N/A,8039,472,8055,164,5186,0,450,587
Corcoran Joint Unified (Kings),Kings,Unified School District,3358,28.5,92,12,73.06,47.3,80,N/A,21.1,10,64174,N/A,N/A,N/A,8634,708,8548,132,5492,0,572,434
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,12558,11.4,72.4,26,95.94,46.7,554,N/A,23.4,11,78739,N/A,N/A,N/A,8906,339,9436,0,5662,0,555,570
ABC Unified (Los Angeles),Los Angeles,Unified School District,20846,22.1,50.2,57,93.5,46.5,716,N/A,24.6,14,76197,N/A,N/A,N/A,8409,384,8938,0,5505,0,469,597
Bonita Unified (Los Angeles),Los Angeles,Unified School District,9968,5.6,33.8,47,95.48,46.5,383,N/A,23.8,12,73404,N/A,N/A,N/A,8086,439,8327,111,5205,8,565,641
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7632,6.7,29,47,97,46.5,289,N/A,25.4,15,78139,N/A,N/A,N/A,7514,312,8050,23,5333,7,426,421
Mendocino Unified (Mendocino),Mendocino,Unified School District,540,1.7,36.3,23,86.27,46.5,20,N/A,14.1,11,55412,N/A,N/A,N/A,12840,767,15780,232,7625,0,1396,1053
Natomas Unified (Sacramento),Sacramento,Unified School District,13164,15.2,50,70,87.5,46.5,368,N/A,22.4,9,66720,N/A,N/A,N/A,8336,484,8242,52,5377,1,591,566
Monterey Peninsula Unified (Monterey),Monterey,Unified School District,10768,30.5,62.9,49,88.72,46.3,311,N/A,18.4,10,61189,N/A,N/A,N/A,10288,371,9746,52,6158,31,643,962
Redlands Unified (San Bernardino),San Bernardino,Unified School District,21233,9.3,55.3,52,90.55,46.3,795,N/A,23.4,14,76518,N/A,N/A,N/A,8164,359,8365,76,5234,12,401,706
Travis Unified (Solano),Solano,Unified School District,5503,3.2,28.6,62,97.29,46.3,200,N/A,22.7,12,66104,N/A,N/A,N/A,7616,529,8019,48,4799,0,501,657
Los Angeles Unified (Los Angeles),Los Angeles,Unified School District,653826,27.4,76.6,29,70.2,46.1,17577,N/A,20.8,15,68881,N/A,N/A,N/A,10441,346,11110,205,6642,26,486,849
Hayward Unified (Alameda),Alameda,Unified School District,22272,30.9,70.5,43,80.14,45.9,558,N/A,20.9,11,78802,N/A,N/A,N/A,9617,294,9790,25,6449,2,470,718
Ferndale Unified (Humboldt),Humboldt,Unified School District,508,8.5,39.8,25,97.22,45.7,16,N/A,19.2,13,55806,N/A,N/A,N/A,8249,425,9106,142,5475,0,484,376
Fresno Unified (Fresno),Fresno,Unified School District,73353,24,83.8,38,79.31,45.3,1856,N/A,21.5,14,67859,N/A,N/A,N/A,9187,572,9771,192,5889,15,424,834
Dinuba Unified (Tulare),Tulare,Unified School District,6450,32.8,81.2,9,94.49,45.2,211,N/A,21.3,12,65331,N/A,N/A,N/A,8073,441,9059,102,5242,93,431,676
Tahoe-Truckee Unified (Placer),Placer,Unified School District,3950,22.3,44.5,35,93.06,45.2,94,N/A,18.6,13,74284,N/A,N/A,N/A,13082,783,13905,160,7829,10,775,1506
Durham Unified (Butte),Butte,Unified School District,974,10.4,39.1,29,94.12,44.9,35,N/A,19.3,16,64486,N/A,N/A,N/A,8092,330,8356,152,5129,0,626,765
Culver City Unified (Los Angeles),Los Angeles,Unified School District,6691,12,38.5,60,89.52,44.8,219,N/A,22.7,12,68710,N/A,N/A,N/A,8744,403,8948,0,5575,0,571,666
Sacramento City Unified (Sacramento),Sacramento,Unified School District,47031,21.7,73.2,64,85.01,44.6,1213,N/A,25,13,65695,N/A,N/A,N/A,9077,317,10183,46,6228,4,422,802
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,30206,13.5,45.3,45,89.43,44.5,1072,N/A,25.5,15,78442,N/A,N/A,N/A,7484,240,7980,110,4844,30,377,554
Santa Ana Unified (Orange),Orange,Unified School District,57499,47.8,88.1,8,87.37,44.5,1694,N/A,23.9,14,81556,N/A,N/A,N/A,9171,369,9259,83,5884,2,459,637
Martinez Unified (Contra Costa),Contra Costa,Unified School District,4133,8.8,26.1,49,91.22,44.1,141,N/A,22.1,10,66259,N/A,N/A,N/A,8281,269,8529,32,5661,0,602,503
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,17826,28,64.8,40,94.03,44,827,N/A,24.9,15,72586,N/A,N/A,N/A,8927,301,10117,56,5886,54,563,968
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2286,37.2,64.1,28,89.63,43.9,65,N/A,21.3,12,59935,N/A,N/A,N/A,9976,548,10839,359,5503,262,649,682
Woodland Joint Unified (Yolo),Yolo,Unified School District,9991,27.7,68.5,34,88.86,43.9,297,N/A,20.9,12,60968,N/A,N/A,N/A,8030,495,8494,28,4812,7,601,794
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,5306,7.8,55.8,40,94.88,43.7,213,N/A,26.7,14,78072,N/A,N/A,N/A,8355,290,9005,25,5233,52,608,686
Pasadena Unified (Los Angeles),Los Angeles,Unified School District,19102,20,68.8,43,81.44,43.5,539,N/A,20.3,12,70542,N/A,N/A,N/A,10353,340,10486,42,6225,13,550,1105
Fowler Unified (Fresno),Fresno,Unified School District,2425,23.1,77.4,23,95.57,43.4,66,N/A,21.8,12,60802,N/A,N/A,N/A,8382,864,8633,60,5575,7,413,722
Lake Tahoe Unified (El Dorado),El Dorado,Unified School District,3855,29.9,61.2,42,84.03,43.1,116,N/A,21.2,14,68166,N/A,N/A,N/A,9357,400,9574,114,5686,0,737,669
Caruthers Unified (Fresno),Fresno,Unified School District,1391,35.3,88.4,22,96.8,43,52,N/A,19,10,58273,N/A,N/A,N/A,9139,743,9982,243,5597,0,757,707
Napa Valley Unified (Napa),Napa,Unified School District,18497,21.7,45.3,46,87.25,43,529,N/A,22.5,12,71415,N/A,N/A,N/A,8537,535,8597,59,5460,2,422,732
Vacaville Unified (Solano),Solano,Unified School District,12459,10,40.5,49,83.32,43,407,N/A,22.5,14,63420,N/A,N/A,N/A,7599,274,7859,47,4827,0,298,897
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,9376,22.9,82.7,3,90.16,42.6,302,N/A,23.5,17,69720,N/A,N/A,N/A,8667,327,8876,35,5537,0,542,783
San Lorenzo Unified (Alameda),Alameda,Unified School District,12288,28,68,50,85.42,42.6,399,N/A,22.7,11,73499,N/A,N/A,N/A,8426,365,8732,33,5588,3,516,546
Mendota Unified (Fresno),Fresno,Unified School District,3025,71.5,99,2,82.04,42.3,58,N/A,24.1,10,59105,N/A,N/A,N/A,8181,700,9800,0,5321,0,699,524
West Contra Costa Unified (Contra Costa),Contra Costa,Unified School District,30720,34.7,70.9,51,77.68,42.1,760,N/A,22.1,11,58595,N/A,N/A,N/A,9119,388,9954,207,5496,7,615,1033
Chico Unified (Butte),Butte,Unified School District,13817,8.8,48.4,39,88.08,41.9,434,N/A,21.1,13,62700,N/A,N/A,N/A,8897,330,8788,45,6143,2,561,905
Long Beach Unified (Los Angeles),Los Angeles,Unified School District,81155,23.8,67.9,48,80.94,41.9,2331,N/A,25.4,16,81046,N/A,N/A,N/A,8601,307,8875,13,5833,82,364,568
Sonoma Valley Unified (Sonoma),Sonoma,Unified School District,4659,32.5,54.3,38,85.03,41.9,121,N/A,20,11,61060,N/A,N/A,N/A,10231,509,10407,50,7284,0,495,886
Trinity Alps Unified (Trinity),Trinity,Unified School District,706,1.1,57.8,28,96.58,41.2,47,N/A,16.7,12,64518,N/A,N/A,N/A,11969,835,11989,242,7773,5,847,880
Val Verde Unified (Riverside),Riverside,Unified School District,19796,23.4,82.5,29,91.18,41.2,599,N/A,24.7,9,71561,N/A,N/A,N/A,8377,426,8991,51,5648,0,493,743
Riverside Unified (Riverside),Riverside,Unified School District,42587,17.3,64.7,40,87.15,41,1261,N/A,24.7,14,79035,N/A,N/A,N/A,8071,432,8494,57,5327,2,373,582
McFarland Unified (Kern),Kern,Unified School District,3370,44.7,83,2,79.9,40.9,74,N/A,19.3,8,61782,N/A,N/A,N/A,9715,577,10215,138,6094,94,564,681
Muroc Joint Unified (Kern),Kern,Unified School District,2023,2.7,28.1,49,95.45,40.9,52,N/A,22.3,11,60903,N/A,N/A,N/A,7968,473,10091,81,5120,6,779,622
Golden Valley Unified (Madera),Madera,Unified School District,1960,5.7,37.5,38,91.14,40.7,59,N/A,21.4,8,58373,N/A,N/A,N/A,8358,590,8389,116,4895,0,611,662
Sanger Unified (Fresno),Fresno,Unified School District,11140,20.4,75.8,32,92.17,40.3,289,N/A,20.7,11,61118,N/A,N/A,N/A,8692,919,9198,102,5029,2,431,899
Winters Joint Unified (Yolo),Yolo,Unified School District,1537,33.3,67.8,33,82.81,40.2,47,N/A,22.2,12,64551,N/A,N/A,N/A,8211,378,8522,13,5022,17,624,617
Rowland Unified (Los Angeles),Los Angeles,Unified School District,15209,27.4,70.1,39,87.59,39.6,456,N/A,22.1,13,71696,N/A,N/A,N/A,8887,414,9377,0,5673,22,538,665
Orange Unified (Orange),Orange,Unified School District,29750,24.2,45.8,45,92.71,39.3,853,N/A,23.1,12,73765,N/A,N/A,N/A,7648,324,8548,56,5066,4,308,694
Lucia Mar Unified (San Luis Obispo),San Luis Obispo,Unified School District,10634,15.3,52.4,40,90.63,39.2,297,N/A,21.1,12,62800,N/A,N/A,N/A,7855,475,8603,92,5477,11,448,571
Hughson Unified (Stanislaus),Stanislaus,Unified School District,2150,24.2,53.7,37,93.82,39.1,66,N/A,22.5,12,70424,N/A,N/A,N/A,8671,504,9157,222,5814,0,804,440
