District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
ABC Unified (Los Angeles),Los Angeles,Unified School District,20550,19.2,51.5,56,91.3,55.7,890,295,23,14,82836,6.9,54.22,66.23,10831,479,11567,0,7167,1,597,885
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,14855,6.6,47.9,50,26.4,20.1,111,16,20,3,N/A,15.5,37.22,49.57,14173,952,17392,137,7591,0,1903,1389
Alameda Unified (Alameda),Alameda,Unified School District,11299,15.3,31.3,69,91.4,63.3,526,222,19,9,73425,9.5,60.3,68.11,11946,458,12314,190,7945,11,798,782
Albany City Unified (Alameda),Alameda,Unified School District,3658,15.7,20.2,61,92.4,65.3,175,91,18,8,75487,6.1,69.69,75.99,12914,407,13123,149,8319,119,1142,633
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,16855,24,67.2,41,94.6,57.3,1051,391,23,14,85364,3.9,55.43,63.32,12226,424,13208,75,7561,1,877,1460
Alpaugh Unified (Tulare),Tulare,Unified School District,754,23.7,71.8,39,56.1,10.9,5,3,21,3,60491,27.7,10.11,23.4,14118,753,14715,167,9004,0,1374,448
Alpine County Unified (Alpine),Alpine,Unified School District,80,N/A,72.5,41,N/A,N/A,N/A,N/A,10,9,62478,11.5,66.07,55.36,34681,1465,39735,196,14613,1,7701,2634
Alvord Unified (Riverside),Riverside,Unified School District,19005,36.4,78.3,23,89.8,41.1,573,194,22,12,92673,13.5,27.24,40.29,12355,492,12511,130,8058,0,649,958
Amador County Unified (Amador),Amador,Unified School District,3926,2.5,46.8,33,89.9,24.6,74,56,23,12,71860,14.9,29.17,44.78,9058,573,10393,118,5162,6,780,704
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,488,45.3,80.5,25,85.7,43.3,13,2,13,10,55948,23.7,29.48,52.27,17124,729,16446,121,10298,0,2120,1130
Antioch Unified (Contra Costa),Contra Costa,Unified School District,17233,20,66.8,57,80.1,27.4,303,169,22,12,79380,18.4,18.18,31.12,12077,354,12277,41,8149,0,763,853
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,14415,10,64.5,33,87.9,41.3,357,74,22,11,79336,13.6,25.2,40.23,11654,757,11877,0,7612,0,760,809
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9460,13,26.4,37,98.1,74.8,652,240,22,13,96806,4.2,75.27,76.2,11009,335,11584,77,7508,9,803,748
Aromas - San Juan Unified (San Benito),San Benito,Unified School District,1101,24.4,64.8,32,95.5,54.8,46,1,23,10,68914,8.9,28.77,40.67,10419,274,12398,69,6093,0,1064,847
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,4683,7.5,39.3,35,94.3,34.8,121,56,21,13,67640,11.5,39.6,51.51,10175,449,10653,164,6338,23,561,1219
Azusa Unified (Los Angeles),Los Angeles,Unified School District,8270,25.9,82.5,8,89.7,36,213,46,18,15,84887,9,28.28,39.33,13470,736,14247,67,8639,0,744,1061
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,139,52.5,61.2,16,redacted,0,0,N/A,12,6,N/A,21.2,18.99,29.11,19250,1613,25072,0,10115,3,3417,1782
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,16695,19.1,86.5,21,45.9,36.8,462,221,20,7,93995,11.7,28.2,42.82,12995,501,14188,0,8443,0,581,828
Banning Unified (Riverside),Riverside,Unified School District,4526,16.9,85.6,36,68.6,25.6,61,58,0,N/A,74832,17.8,14.78,26.32,12932,601,13707,70,7712,130,1094,1339
Barstow Unified (San Bernardino),San Bernardino,Unified School District,6226,9.7,79.3,50,80.5,19,61,26,23,8,75005,23.3,20.02,30.73,11224,598,12066,0,6987,0,747,1030
Bassett Unified (Los Angeles),Los Angeles,Unified School District,3611,27.7,88.6,8,93.9,39.4,110,18,21,16,81404,10,32.44,44.16,13887,796,13695,126,7138,0,2148,962
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,2489,13.9,71.3,36,85.9,0,0,22,20,10,77713,16.8,29.07,44.12,11783,510,12336,146,7269,0,979,984
Beaumont Unified (Riverside),Riverside,Unified School District,10337,10.8,56.8,46,92.5,49.4,309,56,24,9,78487,11.5,34.18,48.37,10602,711,11327,95,6587,4,776,950
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,11946,18.6,68.6,39,90,30.4,255,32,20,14,82468,10.6,31.13,49.69,11674,722,12314,48,7761,0,592,807
Benicia Unified (Solano),Solano,Unified School District,4787,2.8,24.5,58,96.3,40.6,167,87,23,11,77173,8.2,52.21,53.09,9862,239,10195,64,6377,0,706,725
Berkeley Unified (Alameda),Alameda,Unified School District,10340,9.5,34.9,61,86.1,65.9,522,290,17,8,75962,9.6,59.54,65.58,15476,474,16775,31,9712,19,1121,1256
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,3933,6.3,16.9,31,95.5,63.9,243,83,15,12,91600,9.1,63.37,76.88,17371,437,18343,218,10396,19,1236,958
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,287,1.7,55.7,23,85.7,16.7,3,N/A,13,10,62508,30.1,18.01,35.44,19419,1102,22455,550,10301,0,1769,1954
Big Pine Unified (Inyo),Inyo,Unified School District,151,1.3,75.5,55,100,100,11,N/A,9,5,66680,17.4,24.36,28.21,25101,1429,26704,0,14567,0,3294,2446
Big Sur Unified (Monterey),Monterey,Unified School District,114,4.4,30.7,43,redacted,0,0,1,11,8,46308,3.1,redacted,redacted,81325,4054,76820,0,49683,0,6290,2812
Big Valley Joint Unified (Lassen),Lassen,Unified School District,135,5.9,64.4,22,100,20,3,1,15,6,51480,18.8,7.35,22.06,17349,1000,18333,359,7821,0,2392,1250
Biggs Unified (Butte),Butte,Unified School District,629,12.9,62.5,39,100,22.2,10,1,17,10,57808,18.6,18.33,29.67,11485,782,12785,90,7338,75,1387,813
Bishop Unified (Inyo),Inyo,Unified School District,1951,8.1,54.7,53,89.3,43.3,58,31,20,11,73467,15.2,34.98,37.64,11497,273,11525,57,7208,0,940,844
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1242,0.8,46.2,17,92.9,35.9,33,9,21,10,61857,12.7,30.11,37.76,10687,645,11918,189,5801,192,752,1730
Bonita Unified (Los Angeles),Los Angeles,Unified School District,10088,5.9,38.4,46,93.1,57.9,452,198,23,11,83872,7.7,56.19,70.99,10534,413,11339,151,6303,8,881,903
