District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Bonsall Unified (San Diego),San Diego,Unified School District,2930,12.7,37.2,49,79.6,20.5,16,8,20,6,69214,9.1,54.57,62.77,10568,434,11216,32,6820,0,972,1056
Borrego Springs Unified (San Diego),San Diego,Unified School District,2443,18.8,77,35,23.4,6.3,13,1,23,2,N/A,44,25.59,41.35,16116,1101,17847,65,8986,0,1798,1341
Brea-Olinda Unified (Orange),Orange,Unified School District,5951,9.6,30.3,57,96.5,53.6,252,131,25,13,80973,6.3,63.16,67.15,9886,562,10096,65,6261,0,656,975
Burbank Unified (Los Angeles),Los Angeles,Unified School District,15173,10.8,37,48,87.9,51.8,661,210,21,12,78896,8.4,50.41,63.42,10762,228,10768,94,6831,10,794,731
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,316,26.3,71.8,39,81,17.6,3,N/A,20,10,N/A,17.3,23.49,38.93,13872,1105,16589,568,7230,0,1257,1049
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3207,24.6,39.6,40,92.9,51.4,128,90,22,11,N/A,9.4,37.35,49.73,11951,422,11695,164,6983,4,1038,1002
Calaveras Unified (Calaveras),Calaveras,Unified School District,2870,2.8,55.7,30,90,39.6,89,36,21,14,70387,18.5,28.64,34.28,11454,597,11448,81,7407,12,879,1149
Calexico Unified (Imperial),Imperial,Unified School District,9200,65.7,85.2,1,83.9,29.7,198,92,21,14,80422,18.8,21.95,30,11816,611,13169,161,7211,0,771,1114
Calipatria Unified (Imperial),Imperial,Unified School District,1168,35.1,83.6,13,94.8,38.5,35,20,17,12,N/A,11.6,24.8,43.39,13134,1059,13475,99,7966,2,1246,1271
Calistoga Joint Unified (Napa),Napa,Unified School District,849,45.7,73.4,16,96,39.6,19,20,17,9,N/A,6.5,31.26,45.88,17972,669,20013,422,11116,0,2239,983
Capistrano Unified (Orange),Orange,Unified School District,53622,9.4,26,44,90.5,58.4,2491,1659,25,15,89014,10.3,60.2,70.32,10287,478,10645,86,6969,0,424,884
Carlsbad Unified (San Diego),San Diego,Unified School District,11326,6.9,23.7,44,94.5,72.5,647,345,23,13,81643,7.7,66.31,74.25,10106,384,10324,141,6700,9,599,843
Carmel Unified (Monterey),Monterey,Unified School District,2490,5.4,17.3,37,96.4,70.8,150,149,15,12,110289,11.1,67.89,80.91,22504,1089,24139,312,12986,21,1837,1997
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2205,33.7,61.5,27,94.4,38.6,59,47,20,12,N/A,9.4,39.46,44.58,14094,553,14032,538,7688,2,1257,1274
Caruthers Unified (Fresno),Fresno,Unified School District,1450,26.1,90.1,18,92.2,43.1,56,5,18,10,68011,8.1,37.24,44.06,12130,829,14346,302,7264,0,980,1266
Castro Valley Unified (Alameda),Alameda,Unified School District,9312,10.2,24.2,66,95,34.9,260,173,22,10,82309,7.4,61.67,66.86,10354,347,10828,124,6337,48,759,981
Center Joint Unified (Sacramento),Sacramento,Unified School District,4332,14.2,65.9,57,88.6,19.2,55,12,20,12,76717,15.9,31.33,45.27,11786,638,12036,120,7774,0,690,1018
Central Unified (Fresno),Fresno,Unified School District,15893,11.5,68.6,44,86,40.9,355,58,22,10,72134,13.5,30.85,43.92,10778,625,11648,189,6584,26,603,1417
Ceres Unified (Stanislaus),Stanislaus,Unified School District,14714,28.3,82.3,26,85.2,45.5,401,62,22,7,78954,11.3,24.44,42.32,11133,556,12557,38,6735,0,500,1023
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,4765,9.6,57.1,35,95.9,48.1,204,75,23,16,86798,8.8,43.36,51.49,11067,381,11570,56,6602,1,826,1043
Chawanakee Unified (Madera),Madera,Unified School District,1086,1.4,54.2,38,91.3,20,23,18,19,6,N/A,7.2,24.2,46.87,11822,809,13591,31,6973,0,994,1165
Chico Unified (Butte),Butte,Unified School District,14228,5.9,46.8,41,88.7,43.6,426,140,20,12,68670,10.8,43.76,53.37,11262,672,11494,71,7666,3,630,1251
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,28141,10.7,47,46,92.3,51.4,1149,297,22,13,83150,7.2,45.73,57.78,10133,363,10740,136,6611,39,469,850
Claremont Unified (Los Angeles),Los Angeles,Unified School District,7075,5.7,38.2,53,93.9,50.6,321,206,23,13,83381,7.7,51.45,64.21,10798,420,11266,99,6570,0,785,1489
Cloverdale Unified (Sonoma),Sonoma,Unified School District,1440,29.4,60.1,39,86.7,29.7,27,9,18,12,68470,13.8,27.69,33.84,12593,889,12093,128,8567,0,946,847
Clovis Unified (Fresno),Fresno,Unified School District,43106,6.1,42.2,53,92.9,51.6,1575,613,22,12,70643,7.4,57.86,70.89,10402,619,10940,214,6322,0,509,1109
Coachella Valley Unified (Riverside),Riverside,Unified School District,18372,45.9,88.6,2,81,39.5,432,256,20,13,92713,15.5,19.06,28.21,14015,383,14190,0,9308,0,778,1575
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,4450,42.5,81.3,16,79.4,23.4,56,9,20,11,72738,13.6,13.67,26.1,12327,600,13077,93,7396,0,839,1172
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,606,42.4,71.9,31,87.5,50,28,12,14,12,77006,9.7,40.51,50,20446,1259,21821,152,11258,43,2625,2035
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,22561,22.3,83,17,86.3,26,355,161,20,13,82085,12.1,24.53,39.59,11812,487,12582,94,7277,7,744,1169
Colusa Unified (Colusa),Colusa,Unified School District,1450,31.9,71.5,31,80.7,2.1,2,20,19,9,70849,11.7,30.18,42.05,10271,705,11332,144,6651,2,1085,459
Compton Unified (Los Angeles),Los Angeles,Unified School District,23665,33.7,86.3,21,82.6,38.8,447,775,22,12,82586,15.2,26.47,34.85,13157,915,13332,72,8232,0,1066,1177
Conejo Valley Unified (Ventura),Ventura,Unified School District,18733,10,24.8,45,95.5,59.5,1054,541,22,14,83936,6.6,57.13,63.28,10126,505,10400,144,6775,4,478,653
Corcoran Joint Unified (Kings),Kings,Unified School District,3320,22,86.5,11,88.8,34.7,58,48,19,8,72191,13,19.2,33.26,11586,877,12649,228,7160,0,757,675
Corona-Norco Unified (Riverside),Riverside,Unified School District,53294,13.9,45.6,48,93.8,51.2,2083,928,23,14,97905,7.6,45.69,61.39,10934,358,10903,77,7205,0,456,1047
Coronado Unified (San Diego),San Diego,Unified School District,2946,3.4,9.5,36,92.1,73.4,213,166,21,9,73871,6.3,67.02,76.03,12333,300,12105,155,7948,120,704,1042
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,6198,18.9,44.8,46,75.3,45.3,210,104,20,10,62696,10.6,30.96,47.68,11551,299,11790,79,7430,6,659,1181
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,11862,8.5,68.2,24,96.3,62,705,126,21,14,86785,9.1,36.57,52.72,12135,463,12804,0,8222,0,681,754
Culver City Unified (Los Angeles),Los Angeles,Unified School District,7048,11,33.8,62,93,67.7,331,165,22,11,82239,8,55.64,69.12,11784,544,10947,0,7490,0,698,1062
Cutler-Orosi Joint Unified (Tulare),Tulare,Unified School District,4125,43.6,95.4,6,85.4,49.6,137,62,19,11,74019,8.5,33.85,38.75,11699,654,14457,135,7167,508,826,1186
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,761,12.6,43.9,39,18.5,33.3,10,N/A,35,9,N/A,1.5,16.67,34.38,15485,1132,17218,71,9334,0,1576,1068
Davis Joint Unified (Yolo),Yolo,Unified School District,8630,11.7,21.9,50,93.1,74,497,201,19,12,72256,7.7,65.84,70.44,12060,641,11731,164,7564,23,826,992
Death Valley Unified (Inyo),Inyo,Unified School District,26,3.8,80.8,40,redacted,0,0,N/A,4,6,62014,41.7,6.67,20,46831,2312,49097,49,19927,0,8197,8183
Del Norte County Unified (Del Norte),Del Norte,Unified School District,3628,7.7,66,51,91.4,23.1,49,4,20,13,66169,20.9,24.74,34.85,11993,854,12668,21,7725,4,555,1138
Delhi Unified (Merced),Merced,Unified School District,2561,33,84.3,10,97.4,37.7,72,80,20,12,81733,11,23.77,36.33,12585,721,13167,108,7801,7,894,880
Denair Unified (Stanislaus),Stanislaus,Unified School District,1273,16.3,64.9,38,79.3,17.4,24,4,30,11,60128,15.3,12.56,26.44,12621,927,11981,133,7368,0,649,638
Desert Center Unified (Riverside),Riverside,Unified School District,15,6.7,66.7,33,N/A,N/A,N/A,N/A,7,7,78204,3.7,35.71,57.14,59544,6207,84646,0,22060,0,9580,9757
Desert Sands Unified (Riverside),Riverside,Unified School District,28708,23.1,68.2,27,89.6,51.4,1023,335,22,13,89889,14.9,34.75,48.48,12513,522,13412,183,7896,1,647,1174
Dinuba Unified (Tulare),Tulare,Unified School District,6579,32.9,81.7,9,89.5,38.9,179,81,23,12,77881,8.1,31.28,43.12,11423,547,12540,179,7176,3,512,1015
Dixon Unified (Solano),Solano,Unified School District,3652,22.4,55.8,39,80.5,38.3,95,70,20,10,68436,11.6,33.53,40.6,10790,269,11141,97,6557,0,865,879
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,2404,23.6,84.7,21,94.2,25.1,45,11,20,12,71218,18.2,12.43,24.05,11779,880,13294,165,6931,7,877,1244
Downey Unified (Los Angeles),Los Angeles,Unified School District,21962,14.9,68.6,12,94.9,49.1,959,291,22,15,94444,10.9,38.57,52.2,12089,576,12189,53,8596,0,529,882
Duarte Unified (Los Angeles),Los Angeles,Unified School District,4318,17.9,66.9,33,59.3,40.2,99,22,19,10,75872,8.9,37.2,53.3,13129,799,13549,114,8500,5,1173,947
Dublin Unified (Alameda),Alameda,Unified School District,11294,8.4,10,53,95.1,68,379,209,22,8,85965,4.3,73.59,78.47,9749,347,10144,43,6503,0,691,632
Durham Unified (Butte),Butte,Unified School District,1018,8.9,39.1,28,96.6,50.9,29,3,19,13,67400,8.8,48.11,53.88,10443,526,10780,169,6707,0,700,1101
Eastern Sierra Unified (Mono),Mono,Unified School District,417,19.9,55.9,41,90,44.4,8,N/A,12,10,67253,14.4,26.58,46.15,24299,1194,26170,25,13176,0,3001,2238
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,8674,19.1,71.7,3,92.6,49.8,331,257,22,18,80688,10.3,26.35,42.4,11402,530,12169,43,7165,0,818,1064
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3474,3.9,16.6,51,96.5,66.2,180,122,23,10,82856,5.3,63.42,74.97,10850,436,11403,19,6872,241,1001,642
El Tejon Unified (Kern),Kern,Unified School District,754,10.1,63.8,40,89.9,0,0,2,20,11,N/A,20.7,27.95,43.39,12330,945,14420,469,7044,505,1218,1617
Elk Grove Unified (Sacramento),Sacramento,Unified School District,63297,15.8,53.9,72,90.5,55,2412,1179,20,14,80261,9.9,44.68,55.15,11072,418,11347,0,7421,0,566,1020
Emery Unified (Alameda),Alameda,Unified School District,690,21.7,75.9,57,94.6,28.6,10,9,15,6,71102,19.5,20.59,28.24,17754,589,18472,162,10903,0,2291,1108
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2935,21.5,50.7,39,93.4,12.1,24,24,21,9,73837,5.5,32.66,45.07,10034,489,10752,0,6441,0,607,769
Esparto Unified (Yolo),Yolo,Unified School District,950,27.3,81.9,25,96.7,46.1,41,5,21,7,69721,13.5,19.83,27.12,12208,641,13072,0,6953,26,1578,1053
Eureka City Schools (Humboldt),Humboldt,Unified School District,3929,16.9,70.2,55,87.8,0.4,1,28,19,11,60210,17.8,24.67,34.4,11591,555,12945,87,6248,203,936,1629
Exeter Unified (Tulare),Tulare,Unified School District,2834,14.4,68.7,34,90,36.4,92,21,22,10,71290,10.4,32.37,44.65,10910,879,11792,294,6378,0,872,1036
Fairfield-Suisun Unified (Solano),Solano,Unified School District,21539,14.3,58.3,62,80.1,42.3,547,154,20,10,68925,12.6,31.73,44.29,10129,357,10466,66,6231,4,651,981
Fall River Joint Unified (Shasta),Shasta,Unified School District,1209,8.8,57.7,42,87.1,18.5,15,25,17,9,61718,22,35.28,37.5,13078,587,13861,59,7527,0,1008,1660
Farmersville Unified (Tulare),Tulare,Unified School District,2532,39.5,80,6,86.1,37.9,66,59,20,11,73395,14,12.44,23.07,12649,1203,13519,170,7147,70,1032,1060
Ferndale Unified (Humboldt),Humboldt,Unified School District,499,6.2,53.9,28,94.1,31.3,10,1,18,7,N/A,11.4,32.93,42.8,12999,710,13413,168,8419,0,1371,750
Fillmore Unified (Ventura),Ventura,Unified School District,3751,29.2,74.6,9,91.5,39.7,98,33,21,11,71712,8.2,19.49,27.38,12146,566,12737,173,7327,119,915,1107
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,2260,38.7,89.8,5,94.1,28.1,45,54,17,10,69691,4.8,27.41,45.77,12705,919,13734,178,7192,15,1029,1117
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,20353,12.7,37.3,54,90.6,50.3,694,281,21,12,76858,9.2,52.58,63.61,10765,403,10782,196,6777,0,533,1069
Fontana Unified (San Bernardino),San Bernardino,Unified School District,37176,28,84.2,14,90,45.5,1239,2744,21,14,84509,9.9,23.22,38.44,12024,567,13388,2,7674,1,576,969
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,1920,19.1,71.7,41,79.8,38.1,51,26,16,8,56284,16.9,27.65,41.76,12741,499,12703,411,7436,16,732,1036
Fort Sage Unified (Lassen),Lassen,Unified School District,254,1.2,58.7,33,91.4,9.4,3,N/A,14,6,N/A,18.3,19.71,35.97,19708,1858,18810,803,10181,0,2529,1039
Fowler Unified (Fresno),Fresno,Unified School District,2609,22.3,75.7,22,97.9,56.8,105,14,20,11,70587,7.3,33.93,50.5,11463,1106,12144,80,7719,4,605,1018
Fremont Unified (Alameda),Alameda,Unified School District,35777,15.1,18.7,40,93.5,65.3,1614,683,20,10,89130,5.4,73.07,76.87,10558,377,10727,47,7298,18,458,798
Fresno Unified (Fresno),Fresno,Unified School District,73455,20.5,87.6,35,84.3,54.3,2135,783,20,13,78444,17.1,26.89,36.76,13034,850,13803,319,8202,26,559,1375
Garden Grove Unified (Orange),Orange,Unified School District,43163,36.5,71.2,42,90.4,59.7,1994,772,22,14,96657,7.4,50.88,60,12022,370,12985,247,7819,7,545,1073
Gateway Unified (Shasta),Shasta,Unified School District,2502,2.7,73.3,37,80.4,28.3,43,15,18,9,67051,19.2,32.98,36.42,13401,598,14581,235,9447,59,975,1215
Geyserville Unified (Sonoma),Sonoma,Unified School District,237,24.1,58.2,34,100,21.1,4,9,12,6,60691,13.1,33.33,46.51,17757,982,16999,211,10630,0,1288,1454
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11834,22.7,55.3,30,89.5,45.2,369,164,22,10,76424,12.5,40.47,47.33,11492,682,11776,110,7187,7,597,992
Glendale Unified (Los Angeles),Los Angeles,Unified School District,26071,22,50.2,45,89.8,54.5,1008,292,23,15,84419,6.5,53.03,63.46,11704,581,11563,68,8126,20,543,680
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7444,6.1,29.9,48,97.2,60.3,426,142,22,15,88137,6.2,56.36,66.68,10607,300,10714,31,7544,11,495,798
Golden Plains Unified (Fresno),Fresno,Unified School District,1698,54.9,96.7,3,93.6,31.8,28,40,19,9,64007,16.4,12.23,19.51,14258,1350,14370,106,7896,0,1167,1660
Golden Valley Unified (Madera),Madera,Unified School District,1940,5.6,44.5,41,89.6,55,71,34,19,8,63333,6.1,47.61,59.64,10279,570,10418,145,6002,0,869,692
Gonzales Unified (Monterey),Monterey,Unified School District,2371,42.6,85.7,3,94.4,36.5,74,85,20,8,76161,11.6,14.95,27.78,12826,994,13488,94,7710,0,1150,1303
Gridley Unified (Butte),Butte,Unified School District,2059,16.2,72.6,36,85.4,33.3,39,30,21,13,75807,12.4,36.28,50.19,10603,513,11529,208,6928,0,649,1000
Gustine Unified (Merced),Merced,Unified School District,1861,32,79.3,19,98.2,36.6,59,40,21,10,70765,13,17.03,28.86,10998,608,12584,103,6596,0,1166,1045
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,18438,19.7,73,22,93.1,30.6,440,183,21,13,85985,8,39.62,52.57,11375,421,13210,83,6862,7,685,843
Hamilton Unified (Glenn),Glenn,Unified School District,690,22.9,79.6,9,93,34.8,23,17,16,9,64281,7.4,20.33,41.69,11028,670,11874,0,6941,0,1012,433
Hayward Unified (Alameda),Alameda,Unified School District,22734,29.3,67.4,40,82.4,44.9,618,367,20,11,90195,14.1,25.87,37.08,12916,356,13359,40,8264,1,605,1243
Healdsburg Unified (Sonoma),Sonoma,Unified School District,1531,25.3,53.8,35,92.1,42.9,60,28,17,9,66270,11,30.9,49.16,15156,549,16881,200,9649,0,1370,1283
Hemet Unified (Riverside),Riverside,Unified School District,21797,12.5,81,42,87.2,43.3,659,157,20,11,82190,17.9,22.36,36.03,13254,1024,13187,107,8344,6,807,1355
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,24144,19,77.1,28,89.3,37.5,663,260,22,9,81656,15.2,21.76,33.21,11284,550,11877,20,7385,0,815,887
Hilmar Unified (Merced),Merced,Unified School District,2387,21.7,57.9,36,95.5,39.6,59,42,19,14,74626,7.4,19.16,34.9,10892,533,11137,189,6956,16,664,1107
Holtville Unified (Imperial),Imperial,Unified School District,1554,44.2,71.7,12,92.3,42.4,56,22,18,11,75166,7.6,42.2,53.86,12287,786,13157,189,7988,0,1002,1265
Hughson Unified (Stanislaus),Stanislaus,Unified School District,2052,22,56.5,35,95.4,39,57,20,21,12,81076,7.9,31.31,48.33,11353,377,11651,307,7388,0,865,725
Imperial Unified (Imperial),Imperial,Unified School District,4149,23.4,48.9,17,95.1,38.5,104,48,23,12,90551,4,44,58.84,10110,485,10716,100,6756,0,526,1015
Inglewood Unified (Los Angeles),Los Angeles,Unified School District,12086,27.4,82.1,35,88.3,37.7,249,210,21,13,74195,14.3,18.9,30.01,13391,519,14090,3,8049,13,936,862
Irvine Unified (Orange),Orange,Unified School District,34617,19.9,18.9,52,95.7,71.6,1722,1065,24,11,81988,5.2,74.09,77.29,10504,455,10987,49,6582,23,332,1001
John Swett Unified (Contra Costa),Contra Costa,Unified School District,1536,17.9,67.8,70,89,30.8,40,18,19,8,67428,18.6,26.4,36.92,12546,227,13679,71,8104,35,1207,833
Jurupa Unified (Riverside),Riverside,Unified School District,19112,31.4,76.3,15,90.7,38.3,489,233,21,14,89656,11.3,23.54,36.02,11767,421,12648,73,8085,0,415,956
Kelseyville Unified (Lake),Lake,Unified School District,1702,15.6,79,43,86.9,31.7,40,57,21,13,N/A,19.4,19.79,29.48,12572,622,13390,195,7332,0,1023,1643
Kerman Unified (Fresno),Fresno,Unified School District,5148,34.1,83.1,17,89.4,35.8,118,42,24,9,72326,7.7,30.47,45.12,10417,731,12536,117,6580,0,779,943
Kings Canyon Joint Unified (Fresno),Fresno,Unified School District,9792,28.5,81.7,13,78.7,41.9,227,157,22,13,72534,6.9,36.01,49.47,11963,887,13348,236,6972,29,584,1402
Klamath-Trinity Joint Unified (Humboldt),Humboldt,Unified School District,1001,0.2,81.5,19,91.5,0,0,3,15,9,62139,3.2,9.74,15.32,19559,708,21131,188,10740,0,1836,2158
Konocti Unified (Lake),Lake,Unified School District,3489,22.8,84.4,46,58.3,25.5,35,19,24,9,59310,28.2,12.43,26.97,12906,809,13387,128,7729,2,627,1735
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4167,5,4.9,50,97,80,280,191,22,11,85538,3.3,85.12,87.75,11046,577,11475,17,7040,18,824,706
