District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,8472,17.7,71.7,3,91.4,42.3,269,218,21.7,17,81373,10.5,28.79,43.34,12467,692,12874,45,7846,0,944,1088
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3453,3.3,15.1,51,99.1,72.2,228,109,21.8,10,84830,4.8,70.11,78.39,11609,479,12161,20,7502,260,961,731
El Tejon Unified (Kern),Kern,Unified School District,748,6.8,65.8,39,96.4,13.2,7,0,21.6,14,N/A,20.8,25.36,47.84,12603,648,14922,441,6966,487,1467,1670
Elk Grove Unified (Sacramento),Sacramento,Unified School District,63917,14.1,53.6,71,90.3,49.2,2121,919,20.7,14,81565,10.4,45.09,55.75,12222,396,12539,0,8212,0,613,1168
Emery Unified (Alameda),Alameda,Unified School District,743,21.5,80.2,58,100,40,16,0,16.5,6,N/A,20.5,23.34,37.07,18339,370,19519,163,11033,0,2299,1259
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2992,15.7,47.8,38,92.6,38.3,72,16,21.8,10,73832,6.1,35.97,48.23,10436,521,11869,0,6750,0,625,872
Esparto Unified (Yolo),Yolo,Unified School District,941,27.8,82.5,25,94.1,39.6,19,0,21.3,7,72172,13.8,19.61,31.9,14150,916,16351,0,7860,29,1464,1470
Eureka City Schools (Humboldt),Humboldt,Unified School District,3836,17.2,67.8,56,92.2,25.3,75,23,18.9,11,61076,18.3,25.05,33.82,12578,583,14419,105,6935,211,921,1647
Exeter Unified (Tulare),Tulare,Unified School District,2730,14.7,67.4,34,92.4,41.7,91,18,21.9,10,74322,8.5,30.43,44.06,12341,725,13452,329,7125,0,999,1226
Fairfield-Suisun Unified (Solano),Solano,Unified School District,21405,13.3,59.3,61,87.1,39.5,529,94,22.3,11,70587,12.7,33.18,44.83,10780,327,11898,68,6632,4,682,994
Fall River Joint Unified (Shasta),Shasta,Unified School District,1200,9.1,60.6,41,85.4,27.6,21,21,18.3,8,63568,22.6,37.85,37.85,14525,1109,14423,59,8480,0,1142,1374
Farmersville Unified (Tulare),Tulare,Unified School District,2559,37,93.1,6,85.9,46.3,82,46,19.7,11,75113,13.6,15.46,26.72,13708,1116,14930,193,7852,82,1154,1076
Ferndale Unified (Humboldt),Humboldt,Unified School District,475,6.7,53.3,29,100,31.3,10,2,15.3,6,59168,8.1,34.78,38.74,14632,607,14783,199,9630,0,1265,859
Fillmore Unified (Ventura),Ventura,Unified School District,3785,25.2,75.8,9,94.1,34.6,93,29,21.2,11,72705,9.2,18.35,25.44,12867,907,13945,162,7656,131,936,1272
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,2240,39.3,90.8,4,96.5,43.6,72,31,17,11,70504,7.2,33.3,52,13946,1065,14759,191,7910,13,1020,1252
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,20605,11.1,34.8,56,90.2,51,703,259,21.2,12,77434,9.3,52.04,63.21,11461,529,12113,194,7251,0,543,1083
Fontana Unified (San Bernardino),San Bernardino,Unified School District,36335,27.7,84.5,14,91.5,49.4,1291,2562,21.4,14,88170,11,25.55,41.1,14069,654,14924,5,9082,1,649,984
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,1883,18.9,72.3,41,86,35.7,35,24,17.1,8,57388,15.6,27.25,41.89,13973,662,14260,423,8159,22,821,1180
Fort Sage Unified (Lassen),Lassen,Unified School District,271,0.7,54.5,36,76.9,0,0,0,18.4,6,N/A,21.8,14.84,36.51,18632,1483,18642,1051,9795,0,2520,625
Fowler Unified (Fresno),Fresno,Unified School District,2608,21.7,77.3,22,97.1,63.2,129,10,19.8,11,72939,8,37.28,50.26,12663,1118,13151,88,8284,7,678,1086
Fremont Unified (Alameda),Alameda,Unified School District,35544,13.1,19.8,39,93.2,56.8,1277,511,19.5,10,92747,5.5,73.88,78.43,11251,384,11519,39,7739,19,517,927
Fresno Unified (Fresno),Fresno,Unified School District,73249,18.5,86.9,35,85.8,50.2,1877,574,20.3,13,79907,17.1,29.85,38,13641,832,14754,353,8562,33,597,1417
Garden Grove Unified (Orange),Orange,Unified School District,42301,33.9,68.6,42,92.7,60.4,1957,615,23.2,14,100324,8.1,52.18,61,12964,518,13758,256,8559,7,554,1151
Gateway Unified (Shasta),Shasta,Unified School District,2460,2.2,72.8,36,87.5,35.4,52,3,18.6,9,66373,19.5,30.38,33.78,14067,589,16603,240,9856,10,1097,1723
Geyserville Unified (Sonoma),Sonoma,Unified School District,232,21.6,64.7,35,93.8,20,3,1,12.1,7,60871,14.3,37.4,46.28,19081,636,18908,91,11733,0,1300,1183
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11652,22.8,54.9,30,90.3,51.4,440,147,22.1,9,80655,12.4,41.14,48.19,12260,554,13072,116,7542,7,635,1109
Glendale Unified (Los Angeles),Los Angeles,Unified School District,25789,23,51.6,44,88.3,57.1,970,221,23,15,84524,6.9,54.6,64.14,12300,519,12896,75,8702,23,438,736
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7198,6.3,28.8,49,98,55.3,330,79,22.1,15,88602,6.6,58.67,67.25,11470,441,12016,34,8257,15,544,688
Golden Plains Unified (Fresno),Fresno,Unified School District,1649,54,93.5,3,95.2,26.1,31,19,18.8,11,N/A,17.7,12.06,19.79,15467,952,15778,98,8711,0,1373,1764
Golden Valley Unified (Madera),Madera,Unified School District,2007,4.8,43,41,85.6,52.4,75,17,20.7,8,65410,7.9,46.51,59.74,10959,692,11723,162,6308,0,829,842
Gonzales Unified (Monterey),Monterey,Unified School District,2369,39.5,77.1,3,94.9,30.1,56,63,21.3,9,77698,9.9,16.74,28.77,13450,855,14260,0,8005,0,1562,1422
Gridley Unified (Butte),Butte,Unified School District,2083,17.6,73.6,36,89.8,32.9,52,15,24.7,14,77020,11.6,34.84,43.37,11797,754,13168,191,7556,1,761,1121
Gustine Unified (Merced),Merced,Unified School District,1846,31.3,80.4,17,93.6,27.2,44,28,22.1,11,N/A,11,17.5,31.7,12444,778,14040,91,7704,0,1114,1202
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,18097,19.4,73.9,23,93.2,48.5,639,113,21.6,14,89841,7.7,41.54,55.19,12276,657,13883,87,7569,7,754,921
Hamilton Unified (Glenn),Glenn,Unified School District,714,24.9,77.9,9,92.1,47.6,39,30,17,11,65707,7.4,16.14,40.13,11460,591,12277,0,7126,0,1011,706
Hayward Unified (Alameda),Alameda,Unified School District,22376,27.9,69.8,40,81,40.7,426,256,20.7,12,93878,14.9,25.37,36.87,14234,365,14743,39,9019,1,655,1530
Healdsburg Unified (Sonoma),Sonoma,Unified School District,1440,21.1,54,34,88.9,48.5,66,36,17.9,10,70503,11.5,34.82,47.92,16819,599,19390,220,10430,0,1452,1568
Hemet Unified (Riverside),Riverside,Unified School District,22025,11.3,82.6,41,86.2,46.4,682,142,20.7,12,85496,18.6,22.25,36.96,13595,636,14282,112,8365,5,843,1514
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,24132,19.1,69.1,33,93.2,36,596,255,22.1,9,85362,15.3,23.85,34.78,12267,363,13289,21,8158,0,851,922
Hilmar Unified (Merced),Merced,Unified School District,2388,21.9,55.9,36,96.5,33.3,55,26,19.5,14,77734,8.6,25.68,42.17,12197,640,12429,234,7743,17,726,1265
Holtville Unified (Imperial),Imperial,Unified School District,1578,43.7,72.2,14,96,87.4,125,29,18.2,11,78977,6.1,45.49,55.61,12918,545,14499,194,8297,0,1113,1503
Hughson Unified (Stanislaus),Stanislaus,Unified School District,2058,21,55.2,36,94.2,33.5,54,12,23.2,12,81070,8.5,31.45,49.42,11179,352,12283,384,7297,0,859,655
Imperial Unified (Imperial),Imperial,Unified School District,4270,25.6,49.7,17,94.4,41.9,119,65,23.6,13,96226,4.4,41.74,59.65,11205,420,11501,115,7545,0,570,1169
Inglewood Unified (Los Angeles),Los Angeles,Unified School District,11542,24.2,86.3,36,87.2,33.5,171,227,21.1,12,73123,20.2,18.54,30.01,14649,505,15334,0,8405,13,998,924
Irvine Unified (Orange),Orange,Unified School District,35291,19.7,18.7,52,95.6,69.8,1684,780,24.1,11,84323,5.4,73.63,77.59,10999,579,11847,60,6962,30,335,1011
John Swett Unified (Contra Costa),Contra Costa,Unified School District,1439,17.2,59.2,69,92.6,42.5,48,13,19.9,9,69861,19,26.2,38.45,12691,195,13854,104,8149,31,1273,780
Jurupa Unified (Riverside),Riverside,Unified School District,19344,30.7,73,15,90.1,39.9,525,210,21.9,14,91907,12.7,24.68,37.68,12379,398,13593,72,8463,0,428,1004
Kelseyville Unified (Lake),Lake,Unified School District,1705,14.8,80.2,43,86.7,26.6,33,18,18.5,8,61193,14.9,18.2,32.91,13772,758,14666,182,7709,0,1130,1842
Kerman Unified (Fresno),Fresno,Unified School District,5215,32.6,81,16,92.9,33.6,132,38,24.3,9,74628,8.2,34.04,45.54,11062,761,13238,78,6977,0,782,956
Kings Canyon Joint Unified (Fresno),Fresno,Unified School District,9865,28.7,84.7,13,83.7,49.9,256,169,23.5,13,73751,6.6,40.42,52.16,12916,868,14732,265,7490,35,640,1627
