District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
ABC Unified (Los Angeles),Los Angeles,Unified School District,20465,18.5,50,56,93.3,61.4,876,216,23.5,14,84747,7,54.9,65.84,11678,591,12359,0,7558,1,671,1043
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,15819,6.2,51.2,51,96.5,26.5,22,11,19.8,3,N/A,17.5,36.43,53.53,14260,568,19827,102,7536,0,1977,1506
Alameda Unified (Alameda),Alameda,Unified School District,11260,14.2,30.3,69,91.9,59.8,418,155,20.3,9,77156,9.4,59.74,69.43,13070,442,13654,192,8650,14,918,868
Albany City Unified (Alameda),Alameda,Unified School District,3682,15.8,20.6,62,94.7,63.9,182,58,19.7,9,76931,6.4,72.02,79.22,13150,358,13519,152,8619,109,987,645
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,16531,24.4,62.3,41,93.5,57.5,989,238,22.1,14,87578,5,56.38,63.62,13209,510,13881,77,8127,2,885,1579
Alpaugh Unified (Tulare),Tulare,Unified School District,817,22.8,72.7,37,87.5,9.5,2,1,24.8,3,59898,29.9,11.86,27.27,14208,1075,16581,137,8832,0,1485,642
Alpine County Unified (Alpine),Alpine,Unified School District,79,N/A,73.4,39,N/A,N/A,N/A,N/A,7.2,7,61368,20.7,44.23,51.92,43009,2384,45078,300,19765,0,9245,4350
Alvord Unified (Riverside),Riverside,Unified School District,18504,34.7,76.7,23,91.7,37,518,141,21.5,12,97548,13,27.76,42.19,13328,460,13731,143,8734,0,658,1068
Amador County Unified (Amador),Amador,Unified School District,3962,3,41.7,34,89.8,26.2,69,37,21.9,11,68318,14.6,31.58,47.2,9560,491,11764,123,5546,3,753,769
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,490,39.4,83.1,25,89.4,40.5,17,2,14.1,10,55948,21.7,28.57,47.62,17472,1002,18393,126,10852,132,1722,1393
Antioch Unified (Contra Costa),Contra Costa,Unified School District,17183,19.9,69.2,56,80.6,26.3,292,117,22.1,13,82914,20.4,16.86,29.38,13563,378,13876,48,9080,0,747,947
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,14643,9.5,68,46,89.9,40.6,352,82,22.4,11,83395,14.3,24.75,40.31,12697,669,13033,0,8429,0,874,940
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9357,11.7,26,37,98.8,94.5,785,192,21.9,13,100048,3.8,75.81,77.59,11638,371,12319,108,7825,10,825,872
Aromas - San Juan Unified (San Benito),San Benito,Unified School District,1087,23.2,55.7,33,86.1,100,62,5,23.4,11,71039,10.2,30.02,39.05,12262,444,14265,81,7343,0,1219,903
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,4738,8.2,38.4,35,93.3,5.1,17,35,21.5,11,67286,11.9,40.3,51.75,11088,501,11658,194,7034,22,646,1291
Azusa Unified (Los Angeles),Los Angeles,Unified School District,8010,27,82.1,9,90.6,32.7,186,49,18.7,16,87388,9.1,30.73,39.51,14218,851,14804,67,9056,0,835,1097
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,134,47,91,15,85.7,100,12,N/A,12.5,5,N/A,6.9,15.07,20.55,21883,2470,20769,1,11398,0,3867,1324
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,15949,19.1,90,17,93.1,33.5,324,222,21.2,7,93976,10.7,29.25,43.78,13847,569,14861,0,8857,0,731,850
Banning Unified (Riverside),Riverside,Unified School District,4617,19.4,86.1,34,67.3,41.9,101,51,20.8,10,74527,22.1,15.02,25.03,13656,837,14436,114,8134,128,1111,1511
Barstow Unified (San Bernardino),San Bernardino,Unified School District,6344,10.1,78.9,49,88.9,18.8,65,26,23.1,11,77485,22.3,17.67,29.13,12803,533,13448,0,7870,0,860,1163
Bassett Unified (Los Angeles),Los Angeles,Unified School District,3520,27.5,93.1,8,96,34.1,91,21,21.9,17,82204,11,32.81,47.33,13004,494,14469,130,7330,0,1638,993
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,2456,14.3,70.8,37,88.1,32.9,56,9,21.5,14,81529,16.9,30.6,46.66,12016,435,13349,151,7429,0,1006,1028
Beaumont Unified (Riverside),Riverside,Unified School District,10762,10.3,57.2,45,91.6,49.9,344,48,23.2,9,79525,10.8,36.63,49.24,11384,659,12346,97,6991,5,926,1071
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,11671,18.4,69.3,39,92.2,24.5,215,31,21.2,14,82831,11.4,32.2,50.28,12912,446,13515,91,8540,0,606,882
Benicia Unified (Solano),Solano,Unified School District,4662,4.1,23.9,58,96.1,46.5,182,67,21.4,12,78947,8.6,54.06,57.69,10755,349,11719,60,6981,0,809,787
Berkeley Unified (Alameda),Alameda,Unified School District,10194,9.3,31.4,61,87.7,86.5,597,227,17.4,8,76974,9.7,61.67,66.72,17043,436,17756,39,10738,21,1192,1369
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,3773,6.5,16.5,32,92.2,64.9,262,91,15.3,12,96651,9.5,64.75,74.61,19759,528,20355,180,11514,30,1298,1351
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,304,3.3,56.3,25,72.7,8.3,2,0,15.6,9,64430,31.6,17.5,40.63,18813,1118,22503,482,9884,0,1886,1961
Big Pine Unified (Inyo),Inyo,Unified School District,136,3.7,78.7,55,redacted,0,0,N/A,7.6,6,64713,13.9,21.21,27.27,28506,1805,30517,0,15993,0,3565,2413
Big Sur Unified (Monterey),Monterey,Unified School District,116,6,27.6,49,N/A,N/A,N/A,N/A,11.3,9,46630,3.1,18.18,27.27,83877,4828,88960,0,48303,0,7510,4637
Big Valley Joint Unified (Lassen),Lassen,Unified School District,127,7.9,70.9,27,95.2,30,6,0,13.7,8,55205,14.2,21.54,33.85,19904,1022,18751,413,9812,0,2041,1647
Biggs Unified (Butte),Butte,Unified School District,624,10.6,64.3,38,94.8,25.5,14,5,18.2,8,57050,22.9,18.03,36.73,11889,718,13761,94,7433,75,1482,921
Bishop Unified (Inyo),Inyo,Unified School District,1978,8.5,52.5,53,82.7,48.2,67,27,20,10,75139,15.6,33.97,40.85,11831,338,12498,60,7674,0,870,821
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1249,1,45.9,19,95.1,28.2,22,6,22.8,10,63221,14,27.66,44.07,12028,641,12973,202,6553,3,901,1894
Bonita Unified (Los Angeles),Los Angeles,Unified School District,10055,5.9,38.4,46,94.7,64.9,490,157,22.7,11,86504,8.5,59.83,70.72,11091,412,11967,154,6711,8,746,1004
Bonsall Unified (San Diego),San Diego,Unified School District,2518,13.2,33.7,51,78.1,66.7,38,5,21.2,7,69598,7.1,56.12,63.09,9645,231,10451,28,6288,0,724,931
Borrego Springs Unified (San Diego),San Diego,Unified School District,2582,20.4,75.6,34,86.1,45.2,14,1,21.8,3,65678,48.7,19.9,37.24,17652,968,19609,133,9393,0,1960,2171
Brea-Olinda Unified (Orange),Orange,Unified School District,6008,9.6,30.4,57,92.6,65.7,305,121,24.6,13,83616,7.1,62.32,67.19,10039,412,10818,75,6182,0,648,1102
Burbank Unified (Los Angeles),Los Angeles,Unified School District,15203,10.4,36.3,48,91.7,53.8,651,176,21.5,12,81259,8.6,51.18,64.71,11633,216,11804,95,7546,11,817,806
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,303,22.8,88.8,38,79.2,31.6,6,0,16.9,10,N/A,20.1,26.62,33.09,14914,1422,17223,559,8239,0,1380,1184
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3152,22.2,37.9,40,88.4,52.8,113,65,22.8,11,73886,9.9,34.22,48.08,12687,447,13058,211,7567,7,1003,998
Calaveras Unified (Calaveras),Calaveras,Unified School District,2814,3.2,55.8,31,90.9,35.5,71,19,21.1,13,72239,17.2,26.3,36.05,12071,611,12238,82,7928,8,841,1214
Calexico Unified (Imperial),Imperial,Unified School District,9246,64.5,86.1,1,82.4,27.9,203,90,22.8,15,80998,19.2,22.57,33.03,13417,778,14778,172,8041,0,933,1286
Calipatria Unified (Imperial),Imperial,Unified School District,1136,35.1,83.3,13,92.6,44.3,39,19,17.7,13,N/A,13.5,26.83,45.47,14587,1043,15554,120,8676,2,1353,1585
Calistoga Joint Unified (Napa),Napa,Unified School District,865,44.9,68.7,15,96,25,12,13,16.4,9,106954,6.8,33.48,51.22,19946,660,21786,348,13028,0,1817,958
Capistrano Unified (Orange),Orange,Unified School District,53269,9.5,26,45,95.7,62.7,2413,1455,25.4,14,88025,10.8,61.18,70.56,10491,350,11447,72,7018,0,482,956
Carlsbad Unified (San Diego),San Diego,Unified School District,11428,6.4,23.2,44,93.5,75.9,631,258,23.2,13,85233,8,67.82,75.79,11149,310,11564,142,7344,9,688,963
Carmel Unified (Monterey),Monterey,Unified School District,2467,3.5,15.7,38,95.4,69.4,145,121,15.1,12,111761,10.5,69.59,79.38,23850,1083,26177,334,13978,7,1909,2091
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2177,32,58.5,26,89.6,37.7,55,39,19.7,12,72275,12.7,43.65,47.67,14736,787,14664,480,8436,1,1392,1372
Caruthers Unified (Fresno),Fresno,Unified School District,1508,30.2,89,17,92.5,53.7,79,8,19.5,10,71055,9.8,33.73,41.57,12483,696,14537,293,7419,0,1009,1342
Castro Valley Unified (Alameda),Alameda,Unified School District,9269,11,23.9,66,92.6,55.9,384,106,21.8,11,85951,7.4,63.21,68.1,11436,387,12118,118,7140,60,888,958
Center Joint Unified (Sacramento),Sacramento,Unified School District,4229,14.5,63.5,58,90.7,19.6,61,14,19.5,12,76842,15.6,33.46,48.63,12644,701,13519,137,8219,0,859,978
Central Unified (Fresno),Fresno,Unified School District,15881,14.1,73.3,43,86.3,38.6,346,37,21.9,11,76017,13.9,32.85,44.4,11678,576,13256,221,7025,26,642,1546
Ceres Unified (Stanislaus),Stanislaus,Unified School District,14848,30.8,80.2,24,86.8,49,433,34,22,10,82555,10.9,24.47,37.98,12215,667,13556,39,7376,0,563,1107
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,4581,10.5,55.5,33,94.2,48.4,182,38,22.3,15,89257,9.4,45.72,54.71,12508,367,12914,58,7543,2,1020,1160
Chawanakee Unified (Madera),Madera,Unified School District,1326,1,50.9,36,97.4,54.1,20,32,21.6,6,55441,9.1,26.17,43.6,13018,1146,16702,68,7305,0,916,1515
Chico Unified (Butte),Butte,Unified School District,14358,5.2,46.6,41,90.3,42.6,398,137,19.7,12,73366,11.7,42.63,55.94,12377,517,12985,92,8221,4,672,1336
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,28063,11.2,46.3,46,92.6,53.7,1190,250,21.9,13,86352,7.7,46.49,57.87,10707,436,11509,164,6912,39,476,902
Claremont Unified (Los Angeles),Los Angeles,Unified School District,6945,5.1,35.4,53,93.9,65.9,389,139,22.5,13,84319,7.3,50.9,64.38,11503,440,12393,110,6975,0,831,1618
Cloverdale Unified (Sonoma),Sonoma,Unified School District,1375,31.7,59.2,39,78.6,33.3,22,5,18,11,66325,14.5,29.41,32.46,13618,699,13692,169,9062,0,1086,802
Clovis Unified (Fresno),Fresno,Unified School District,43264,4.9,43.9,54,93.9,60.3,1736,479,22.2,12,72296,7.9,58.68,72.68,10872,550,11838,229,6599,0,531,1254
Coachella Valley Unified (Riverside),Riverside,Unified School District,18013,41.1,93.2,2,79,33.3,324,204,21.9,14,94540,17.9,20.55,28.85,14028,427,15125,0,9486,0,773,1528
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,4466,41.4,89.5,16,81.1,34.5,77,5,20.7,11,74481,15.5,16.87,29.6,13609,782,14575,165,7725,0,911,1524
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,561,46,72.2,27,91.5,51.2,22,6,14.5,12,75481,9.3,37.93,52.07,21622,1161,24409,82,11172,47,3031,2231
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,22014,20.1,77.6,17,90.8,1.7,24,126,20.5,14,82937,11.9,25.05,38.56,12390,554,13573,106,7508,8,806,1341
Colusa Unified (Colusa),Colusa,Unified School District,1490,30.2,68.2,28,82.2,42,37,5,19.4,12,71180,8.8,33.55,44.44,11144,703,12636,144,7148,5,1124,618
Compton Unified (Los Angeles),Los Angeles,Unified School District,22975,29.4,83,21,84.1,42.5,456,795,21.8,13,83364,13.8,31.44,37.98,14649,922,15844,98,9415,0,1076,1403
Conejo Valley Unified (Ventura),Ventura,Unified School District,18408,9.6,24.7,45,95.9,56.1,960,421,22.3,15,84606,6.6,57.5,66.49,10739,347,11165,155,7141,5,544,738
Corcoran Joint Unified (Kings),Kings,Unified School District,3318,12.4,87.4,10,87.4,38.5,67,40,19.6,8,75061,12.1,23.64,37.56,12734,1007,14031,228,7658,0,906,754
Corona-Norco Unified (Riverside),Riverside,Unified School District,53002,15.4,44.8,48,93.4,57.3,2319,757,23.9,14,101255,6.8,46.8,61.23,11299,275,11673,83,7457,0,445,1121
Coronado Unified (San Diego),San Diego,Unified School District,3057,3.2,9.9,37,94.7,57.2,154,128,20.7,9,77735,6.1,67.6,78,13593,440,13014,168,8860,124,783,1163
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,6166,18.6,42.8,45,90.5,34.3,118,73,19.7,10,63905,12.3,30.22,45.62,12849,316,12849,76,8204,2,722,1366
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,11713,9,69,24,97.5,65.9,689,72,21.3,14,88603,10.1,38.73,54.53,13064,553,13660,0,8824,0,749,856
Culver City Unified (Los Angeles),Los Angeles,Unified School District,7144,11.7,31.1,62,94.5,65.1,347,148,22.6,11,82358,6.7,56.34,69.7,11616,344,11571,1,7345,0,639,1048
Cutler-Orosi Joint Unified (Tulare),Tulare,Unified School District,4151,42,94.4,5,86.7,52.5,127,85,19.9,11,75065,9,35.69,41.59,13077,872,15909,157,7802,567,760,1310
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,786,9.4,55.7,47,redacted,0,0,1,10.5,2,63848,12.5,22.81,34.82,18550,1511,20070,63,10645,0,2481,1290
Davis Joint Unified (Yolo),Yolo,Unified School District,8587,10.5,21.2,51,95.1,70.5,423,156,19.1,10,70675,7.4,65.56,72.03,12865,454,13447,174,7955,23,901,1131
Death Valley Unified (Inyo),Inyo,Unified School District,28,10.7,92.9,55,redacted,0,0,N/A,5.1,4,60636,30,18.18,45.45,51756,2262,63346,194,21691,0,8881,9013
Del Norte County Unified (Del Norte),Del Norte,Unified School District,3902,7.6,67.3,51,90.7,25,51,5,20.4,13,69119,18.9,25.48,35.65,13174,703,14202,23,8527,4,720,1248
Delhi Unified (Merced),Merced,Unified School District,2581,38.2,85.2,11,98.2,39,64,68,20.9,13,85336,11.3,26.33,36.89,13261,621,14280,137,7980,12,1051,1055
Denair Unified (Stanislaus),Stanislaus,Unified School District,1273,16.9,55,39,96.7,43.1,25,3,20.6,9,59611,N/A,16.09,26.62,13579,821,13014,152,8712,0,889,676
Desert Center Unified (Riverside),Riverside,Unified School District,29,3.4,75,38,N/A,N/A,N/A,N/A,14.5,9,83976,22.6,31.25,37.5,48427,4681,64432,0,19569,0,7512,7780
Desert Sands Unified (Riverside),Riverside,Unified School District,28610,22.6,66.1,26,90.5,51.8,1139,226,22.7,12,89892,15.1,35.5,49.37,13256,576,14281,193,8247,1,698,1281
Dinuba Unified (Tulare),Tulare,Unified School District,6659,33.8,80.8,8,91.9,30.4,155,96,20.7,12,79857,11.3,34.14,45.18,12127,571,13558,179,7479,3,574,1206
Dixon Unified (Solano),Solano,Unified School District,3626,19,54.2,39,82.5,36.7,95,67,19.7,10,67529,11.2,32.55,40.2,12043,369,12592,109,7461,0,1098,998
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,2427,22.4,85.5,20,92.8,22.2,40,2,20.6,12,76099,17.7,13.89,24.71,13325,1024,14525,181,7811,9,1042,1590
Downey Unified (Los Angeles),Los Angeles,Unified School District,22064,14.9,68.6,12,96.1,50.3,1005,135,22.5,16,97043,10.3,41.09,52.71,12831,481,12999,58,8883,0,656,915
Duarte Unified (Los Angeles),Los Angeles,Unified School District,4761,17.1,61.5,33,95.5,37.1,78,59,20.3,10,81152,8.2,41.12,54.69,13336,512,14113,106,8697,1,1236,1020
Dublin Unified (Alameda),Alameda,Unified School District,12090,7.6,8.7,51,93.9,62.6,404,216,22.6,8,89164,4.4,73.42,78.41,10411,377,11304,52,6788,0,750,728
Durham Unified (Butte),Butte,Unified School District,1038,8,40.6,30,93.7,52.5,31,3,19.1,13,69054,12.7,46.9,53.01,11157,506,11733,180,7153,0,803,1238
Eastern Sierra Unified (Mono),Mono,Unified School District,403,23.8,46.4,39,88,45.5,10,1,11.6,10,70181,9.5,32.84,54.46,26631,1120,27788,79,14320,0,3264,3495
