District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,124,67.7,83.9,12,83.3,70,7,N/A,10.3,6,59700,11.4,13.89,16.67,22215,2037,20911,0,12542,0,3799,1794
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,17733,20.8,85.8,17,42.3,35.4,464,247,20.6,6,91844,12,25.93,37.98,11857,798,13094,0,7783,0,558,754
Banning Unified (Riverside),Riverside,Unified School District,4541,18.4,85.4,36,68,41.1,97,45,21.3,10,73760,17.7,17.28,28.13,12399,813,12925,48,7525,115,996,1224
Barstow Unified (San Bernardino),San Bernardino,Unified School District,6154,10.9,78.4,49,85.9,17.3,58,20,24.1,9,70919,20.1,20.78,29.62,10560,949,11487,0,6639,0,733,875
Bassett Unified (Los Angeles),Los Angeles,Unified School District,3689,29.6,88.1,8,94.9,36.8,96,27,21,15,80977,10.2,28.91,41.81,13157,518,13636,106,7397,0,1709,922
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,2523,14.1,66.6,36,89.4,39.5,70,12,22,14,77738,17.3,28.31,40.96,11194,802,11873,136,7062,0,906,941
Beaumont Unified (Riverside),Riverside,Unified School District,9975,12.2,56,46,90.8,50.1,333,112,25,9,77260,9.9,33.9,47.65,9449,480,10413,92,5915,4,603,815
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,12297,20.6,67.4,39,90.6,38.3,356,68,20.7,13,75667,10.5,29.11,47.99,10848,406,12005,77,7129,0,622,744
Benicia Unified (Solano),Solano,Unified School District,4856,3.2,20.9,57,94.6,40.2,168,113,21.1,12,75443,8,53.53,56.92,9796,366,9975,74,6287,0,751,703
Berkeley Unified (Alameda),Alameda,Unified School District,10239,10.7,35.1,62,86.1,64.6,523,332,16,8,75102,10.9,57.26,61.1,15504,517,15403,28,9389,18,1323,1292
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,4023,6.3,8.1,30,94.9,61.9,231,157,15.3,11,88723,10.6,65.38,75.28,16365,634,16967,199,10217,18,1230,830
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,302,2.3,35.1,22,85.2,13,3,0,13.4,10,60937,24.2,13.61,34.01,17626,1308,19747,515,9792,0,1513,1666
Big Pine Unified (Inyo),Inyo,Unified School District,171,0.6,76,54,redacted,0,0,N/A,13.1,5,63685,24.7,19.32,22.47,21012,1421,24579,0,13308,0,2218,1423
Big Sur Unified (Monterey),Monterey,Unified School District,109,4.6,43.1,38,redacted,0,0,N/A,10.6,8,46625,9.6,redacted,redacted,86930,7017,100925,0,52410,0,6651,2570
Big Valley Joint Unified (Lassen),Lassen,Unified School District,147,6.1,59.2,21,92.3,66.7,8,N/A,15.3,6,52999,25,8.96,20.29,17643,1947,17716,318,8559,0,1863,1180
Biggs Unified (Butte),Butte,Unified School District,617,13.3,63.9,38,91.4,25,8,0,17.2,9,56869,20.2,15.12,30.07,11516,1150,13832,96,7348,89,1317,645
Bishop Unified (Inyo),Inyo,Unified School District,1890,15.8,52.6,52,87.1,44.5,69,45,19.8,10,72000,14.6,36.15,38.8,11647,277,12020,60,7582,0,896,894
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1253,0.6,45.2,16,84.9,23.3,21,8,22.3,10,62071,12.1,27.16,38.96,10628,744,12408,186,5832,188,786,1985
Bonita Unified (Los Angeles),Los Angeles,Unified School District,10245,5.9,34.1,47,93.9,57.1,482,245,23.5,11,82383,7.4,54.04,67.68,9643,435,10437,145,6083,12,679,837
Bonsall Unified (San Diego),San Diego,Unified School District,2859,14.6,35.3,48,37.3,0,0,0,20.1,7,N/A,8.2,60.4,63.16,10327,353,10730,26,6652,0,994,909
Borrego Springs Unified (San Diego),San Diego,Unified School District,891,37,87.2,22,15.6,17.9,10,1,20,3,N/A,25.1,17.92,39.44,15363,781,17320,184,9311,0,1374,1361
Brea-Olinda Unified (Orange),Orange,Unified School District,5909,9.7,25.8,56,95.1,55.5,249,153,24.9,13,79445,7.5,61.96,66.55,9556,449,9943,64,5995,0,627,974
Burbank Unified (Los Angeles),Los Angeles,Unified School District,16104,11.1,35.2,48,82.1,49,642,267,21.8,12,78314,7.6,47.93,62,10428,378,10222,93,6631,11,743,732
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,308,21.1,76.9,41,84.2,31.3,5,1,16.4,6,N/A,19,23.87,34.84,13155,1310,14876,175,7821,0,1244,1291
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3279,26.7,39.4,40,90.2,56.7,135,84,22.9,11,68466,9.2,34.2,46,10747,359,11388,154,6585,12,731,873
Calaveras Unified (Calaveras),Calaveras,Unified School District,2933,2.1,53.4,29,91.4,26.3,64,41,21.5,14,66588,15.1,26.97,36.77,10134,425,10819,74,6391,7,680,1049
Calexico Unified (Imperial),Imperial,Unified School District,9252,65.8,83.1,1,88.6,25.6,178,115,21.9,14,75860,14.4,18.54,27.8,12330,897,14077,150,7430,0,838,1185
Calipatria Unified (Imperial),Imperial,Unified School District,1150,35.8,83.3,13,92,42.5,34,21,17.2,12,72434,10.3,26.49,43.72,12899,1208,15461,92,7969,1,1134,1391
Calistoga Joint Unified (Napa),Napa,Unified School District,859,51.2,65,17,92.1,37.1,26,22,17.3,10,N/A,7.2,33.26,40.05,17010,727,18505,453,10532,0,2046,936
Capistrano Unified (Orange),Orange,Unified School District,53613,9.5,21.7,43,91.6,54.8,2328,1746,25.4,15,86640,9.5,59.52,69.3,9675,316,10378,75,6485,0,429,859
Carlsbad Unified (San Diego),San Diego,Unified School District,11169,7.2,19.7,44,93.6,73.9,591,368,24.4,13,81032,11.1,64.72,74.88,9615,297,10142,134,6237,10,588,806
Carmel Unified (Monterey),Monterey,Unified School District,2509,5.8,15,37,96.7,69.9,144,134,15.3,11,106107,10.3,68.81,81.24,21427,1035,22752,0,12645,12,1781,1930
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2269,37.1,61,27,92.7,43.9,72,51,20.8,12,66703,11.1,40.58,49.61,12210,669,12438,433,6813,92,1034,1013
Caruthers Unified (Fresno),Fresno,Unified School District,1442,26.1,89.5,18,93.1,51.1,69,22,19.7,11,65140,7.5,31.59,38.81,11662,774,13639,309,6924,0,820,1217
Castro Valley Unified (Alameda),Alameda,Unified School District,9358,10.4,22.2,66,95.4,54.7,410,174,21.9,11,81219,7.2,60.9,66.84,10120,465,10871,119,6362,38,683,872
Center Joint Unified (Sacramento),Sacramento,Unified School District,4477,17.1,61,55,90.3,23.7,75,21,21.3,12,73197,14.4,35.01,47.68,10300,463,11356,88,6606,0,662,826
Central Unified (Fresno),Fresno,Unified School District,15772,11.9,64.5,45,85.8,38.3,362,89,21.9,11,69861,13.6,28.51,40.38,9955,525,11279,154,6260,23,521,1246
Ceres Unified (Stanislaus),Stanislaus,Unified School District,14507,28.9,81.2,26,86.3,42.5,366,118,22.7,7,78515,11.4,20.59,38.13,10908,834,12345,38,6776,0,503,951
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,4896,10.1,55.4,36,93.1,42.5,178,73,23.1,15,82676,8.8,41.51,50.53,10253,347,11189,51,6112,1,762,1045
Chawanakee Unified (Madera),Madera,Unified School District,1054,0.9,49.8,38,91.9,50.8,63,28,19.9,6,56055,12.8,25.3,44.96,11815,791,13998,85,6727,0,1071,1270
Chico Unified (Butte),Butte,Unified School District,13975,7.6,41.4,40,89.7,42.7,410,171,20.6,12,67451,9.8,42.67,51.09,10979,474,11455,78,7309,3,603,1157
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,28886,11,45.4,46,92.1,54.2,1251,321,22.3,13,83516,7,45.02,56.77,9821,424,10582,134,6442,38,440,805
Claremont Unified (Los Angeles),Los Angeles,Unified School District,7066,5.9,35.7,53,93.8,75.3,447,220,23.4,13,82298,7.3,49.03,64.88,10465,464,11118,102,6354,0,768,1391
Cloverdale Unified (Sonoma),Sonoma,Unified School District,1418,31,55.6,39,87.3,27.2,28,9,18.1,12,67065,12.2,24.8,33.6,11580,638,11139,122,7745,0,926,832
Clovis Unified (Fresno),Fresno,Unified School District,42746,6.1,40.3,53,93.7,58.4,1698,721,22.5,12,70147,7.9,56.58,69.69,9997,684,10761,221,6102,0,484,1117
Coachella Valley Unified (Riverside),Riverside,Unified School District,18719,49.9,92.9,2,83.1,35.2,347,244,20.8,12,83837,15.8,16.62,24.92,13965,1029,13754,0,9268,0,826,1564
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,4450,41.8,74.6,16,78.4,30,75,5,20.8,10,69836,15.2,13.9,25.99,12504,1035,13031,26,7553,0,742,1306
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,649,42.7,65.8,34,88.3,49.1,26,10,14.9,11,74552,9,40.53,53.41,19352,1161,19791,124,10252,45,2460,1773
Colton Joint Unified (San Bernardino),San Bernardino,Unified School District,22774,23.4,80,18,87,20.8,287,204,20.5,13,80901,11.3,22.9,36.5,11686,748,12255,90,7340,7,768,1126
Colusa Unified (Colusa),Colusa,Unified School District,1479,32.5,66.9,31,91.9,0,0,24,20,9,67545,11.8,32.93,40.29,9773,565,11214,136,6394,2,851,623
Compton Unified (Los Angeles),Los Angeles,Unified School District,23452,35.6,80.8,21,78.8,31.6,322,237,22.2,13,80046,17.8,24.6,31.45,12447,812,12856,62,7935,0,1093,1021
Conejo Valley Unified (Ventura),Ventura,Unified School District,18918,10.3,21.2,44,96.9,59.7,1079,640,22.5,14,80176,7.3,59.13,66.91,9603,387,10246,142,6433,73,480,621
Corcoran Joint Unified (Kings),Kings,Unified School District,3334,28.5,82.5,11,85.1,36.5,54,41,20.4,9,69735,12.1,17.16,30.66,11151,1027,12270,191,6916,0,1039,584
Corona-Norco Unified (Riverside),Riverside,Unified School District,53157,14.1,43.1,48,93.2,53.3,2122,993,23.7,13,96620,7.8,45.49,59.73,10738,565,10657,71,7067,0,440,979
Coronado Unified (San Diego),San Diego,Unified School District,3064,3.2,8,35,94.7,76.1,216,177,21.4,10,71373,6.1,66.26,75.76,11755,437,11452,135,7548,92,715,901
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,6272,18.1,40.3,46,82.1,45.7,190,75,19.5,8,61145,11.2,31.14,44.99,11192,278,11479,91,7205,5,706,1105
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,11910,9.5,68.6,25,94.8,63.7,691,113,21.9,14,85922,8.3,35.41,52.47,11536,704,12628,0,7736,0,626,732
Culver City Unified (Los Angeles),Los Angeles,Unified School District,6856,11,30.5,61,95.5,61.1,311,184,21.7,11,79044,7.2,55.63,67.7,11429,557,10892,0,7142,0,676,1074
Cutler-Orosi Joint Unified (Tulare),Tulare,Unified School District,4126,45.1,93.8,6,91.6,36.9,97,53,20,12,72606,7.4,28.16,32.5,10739,645,13662,117,6590,528,643,1226
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,245,36.3,82.4,26,43.3,23.1,3,0,13,11,62016,10.4,13.22,32.23,14517,1101,17175,70,9044,0,1472,888
Davis Joint Unified (Yolo),Yolo,Unified School District,8582,11.2,20.4,49,94,78.7,518,274,19.2,12,69412,7,64.47,69.44,11171,522,11581,163,7039,24,773,886
Death Valley Unified (Inyo),Inyo,Unified School District,22,4.5,72.7,38,redacted,0,0,N/A,3.6,8,59126,50,25,33.33,55975,2976,65154,212,23991,0,10282,8309
Del Norte County Unified (Del Norte),Del Norte,Unified School District,3679,8.1,65.2,50,91.3,21.8,46,8,21.4,12,66515,24.2,24.17,33.46,11130,844,12081,21,7302,4,541,859
Delhi Unified (Merced),Merced,Unified School District,2644,43.3,81.8,12,94.5,35.6,67,65,18.6,11,79145,11.6,23.63,34.82,12754,711,12817,118,7663,11,941,808
Denair Unified (Stanislaus),Stanislaus,Unified School District,1309,15.2,58.1,38,89.2,19.7,31,5,22.3,10,62651,15,13.28,32.95,10918,783,11253,123,6579,0,536,532
Desert Center Unified (Riverside),Riverside,Unified School District,19,21.1,63.2,34,N/A,N/A,N/A,N/A,9.5,3,71456,20,redacted,redacted,87285,9536,122730,0,30500,0,13191,17436
Desert Sands Unified (Riverside),Riverside,Unified School District,28958,24,66.7,27,89.2,50.6,1051,390,22.8,13,87420,13.1,34.88,49.47,12162,734,12820,170,7717,1,627,1055
Dinuba Unified (Tulare),Tulare,Unified School District,6586,32.9,77.8,9,87.5,94.4,435,83,23,13,75061,10.4,25.52,37.5,10779,711,12389,166,6842,3,482,1005
Dixon Unified (Solano),Solano,Unified School District,3663,22.8,53.9,39,83.3,49.6,131,82,24.1,12,67304,11.6,30.6,39.7,10576,408,10838,89,6709,0,845,857
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,2325,26.7,87.2,22,94.2,34.4,56,9,22.5,13,70733,17.9,14.45,24.62,11669,873,13236,164,6549,6,1356,1171
Downey Unified (Los Angeles),Los Angeles,Unified School District,22303,15.5,69,13,95.4,47.6,989,354,22.6,15,94126,10.8,37.09,52.62,11718,674,11885,51,8341,0,666,867
Duarte Unified (Los Angeles),Los Angeles,Unified School District,3733,28,71.6,29,63.7,38.4,108,21,19.8,12,76063,10.1,35.01,46.12,12574,548,13068,137,7996,9,1271,829
Dublin Unified (Alameda),Alameda,Unified School District,10680,9.6,7.4,56,95.6,70.5,364,224,21.3,8,N/A,3.9,72.94,76.48,9406,280,10080,47,6253,0,597,651
Durham Unified (Butte),Butte,Unified School District,986,10,37.3,27,93.9,58.4,45,5,18.7,15,67942,8.6,44.27,54.53,10442,505,10626,151,6750,0,851,1129
Eastern Sierra Unified (Mono),Mono,Unified School District,402,17.2,53,44,84.6,59.1,13,4,12.3,11,65587,13.7,28.17,51.63,25014,1401,26017,32,13072,0,3151,2454
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,8754,20.9,73.3,3,89.7,46.6,292,245,22.8,17,78301,10.5,26.33,40.73,11215,660,12275,43,7154,0,789,1072
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3469,4.1,12.5,49,97.8,66.3,203,123,22,7,79941,5.6,63.64,75.1,10386,420,10691,21,6500,239,1008,611
El Tejon Unified (Kern),Kern,Unified School District,785,11.2,65.4,41,87.7,18.3,13,2,22.5,12,64140,20.3,29.12,44.62,10680,613,12789,478,6132,490,1076,1276
Elk Grove Unified (Sacramento),Sacramento,Unified School District,63061,16.7,52.7,72,90.7,54.9,2398,1264,20.9,14,78663,10.1,44.15,54.04,10799,522,11095,0,7251,0,623,904
Emery Unified (Alameda),Alameda,Unified School District,687,21.1,70,51,91.9,32.4,11,0,15.3,6,65865,16.3,21.37,25.29,17106,729,18752,195,10571,0,2165,931
Escalon Unified (San Joaquin),San Joaquin,Unified School District,2895,20.8,44.9,39,94.7,25.6,60,11,21.7,10,72223,8.4,31.03,40.48,9806,506,10643,0,6235,0,592,768
Esparto Unified (Yolo),Yolo,Unified School District,967,25,73.4,26,98.7,37.2,29,11,21.5,7,66567,12.3,15.73,24.56,12390,965,12967,0,7479,21,1595,1134
Eureka City Schools (Humboldt),Humboldt,Unified School District,3767,16.6,63.9,55,87.9,26.1,70,24,19.5,13,61687,16.8,24.53,35.74,11030,456,12266,88,5962,184,928,1447
Exeter Unified (Tulare),Tulare,Unified School District,2851,20.6,64,35,83.4,38.4,83,25,22.4,9,70341,9.4,27.5,40.85,10796,999,11716,287,6312,0,873,974
Fairfield-Suisun Unified (Solano),Solano,Unified School District,21607,14.2,55.2,62,79.8,40.6,490,128,22.2,11,67267,12.5,31.17,43.45,9917,583,10376,60,6044,3,698,910
Fall River Joint Unified (Shasta),Shasta,Unified School District,1232,8.8,58,41,86,17.6,13,14,18.1,8,58130,22,31.74,43.31,12659,1042,13285,61,7363,0,918,1346
Farmersville Unified (Tulare),Tulare,Unified School District,2561,40.1,88.5,6,88.4,44.6,78,75,20.3,11,72648,12.2,12.02,21.14,12111,1580,13478,156,7263,61,1032,755
Ferndale Unified (Humboldt),Humboldt,Unified School District,513,7.2,45.6,30,97.3,30.6,11,3,19.5,7,56779,13.4,32.73,43.84,11233,639,12467,163,7564,0,878,591
Fillmore Unified (Ventura),Ventura,Unified School District,3757,30.1,70.7,10,91.5,43.3,103,22,21.2,11,70760,7.8,17.17,28.68,11913,822,12570,136,7140,122,986,1092
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,2290,37.3,87.8,5,94.2,37.7,61,50,17.6,10,66907,4.6,22.24,43.84,12492,1024,13334,174,7120,14,1045,1082
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,20312,11,32.6,52,91.4,54.2,716,446,21.3,12,74778,9,51.55,61.26,10574,1022,10454,211,6852,0,517,886
Fontana Unified (San Bernardino),San Bernardino,Unified School District,38014,31.5,82.7,15,90.6,45.1,1226,2830,22.4,14,84352,10.1,19.47,33.38,11700,563,13069,1,7626,1,544,930
Fort Bragg Unified (Mendocino),Mendocino,Unified School District,1891,18.9,65.7,41,74.5,33.3,36,9,17.2,8,55480,19.8,24.34,41.7,12860,756,13227,402,7652,105,778,1051
Fort Sage Unified (Lassen),Lassen,Unified School District,240,0.8,50.8,30,93.8,10,3,1,13.6,6,N/A,14,14.79,33.33,17543,1203,20264,1040,9325,0,2102,998
Fowler Unified (Fresno),Fresno,Unified School District,2562,23.5,75.3,22,97.9,45.7,86,14,20.3,11,68046,8.4,29.29,42.12,10708,949,11900,85,7157,3,593,950
Fremont Unified (Alameda),Alameda,Unified School District,35171,16.1,16.6,42,91.4,67.9,1506,783,21.2,11,89145,5,71.49,75.13,9912,439,10130,44,6651,19,438,839
Fresno Unified (Fresno),Fresno,Unified School District,73356,21.1,87.4,36,82,51.7,2080,934,20.5,14,74719,17.8,24.14,33.64,11325,667,13202,275,7222,39,507,1120
Garden Grove Unified (Orange),Orange,Unified School District,44223,38.5,68.1,42,91.7,57.1,1853,782,22.3,13,95499,7.4,47,57.43,10807,417,12581,256,7099,7,444,931
Gateway Unified (Shasta),Shasta,Unified School District,2801,2.4,69.5,33,82.6,17.2,31,16,18.9,9,66892,15.2,24.36,32.42,13399,697,14181,221,9343,42,1101,1176
Geyserville Unified (Sonoma),Sonoma,Unified School District,250,26,57.2,33,100,0,0,3,13.3,8,61740,11.6,29.55,48.09,16364,879,16848,177,9548,0,1110,1250
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11959,23,55.5,30,90.1,40.2,357,197,22.2,10,76379,11.8,40.31,47.97,10673,604,11465,101,6860,5,605,822
Glendale Unified (Los Angeles),Los Angeles,Unified School District,26075,22.7,47.5,46,89.2,52,963,336,22.5,15,81732,7.8,50.46,61.27,10937,384,11311,69,7567,20,463,665
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7538,6.3,25.9,48,97.2,60.5,378,172,22.6,15,86264,6,56.08,68.11,10065,638,10479,35,7216,13,488,759
Golden Plains Unified (Fresno),Fresno,Unified School District,1709,57.2,92.9,3,96,28.4,27,31,21.2,11,65878,14.9,15.23,22.61,13342,1020,14330,75,7621,0,1303,1304
Golden Valley Unified (Madera),Madera,Unified School District,1875,4.9,34.7,40,91,38.3,54,14,19.3,7,60430,7.4,45.15,59.16,9930,596,10929,150,5644,0,743,709
Gonzales Unified (Monterey),Monterey,Unified School District,2424,47.2,82.7,4,90.3,25.6,43,65,20.4,8,73420,8.9,15.67,31.72,12226,1227,12989,93,7308,0,1039,1141
Gridley Unified (Butte),Butte,Unified School District,2021,17,27.7,36,77.3,30.3,36,21,20.6,13,N/A,12.1,30.7,46.98,10729,678,12069,198,6728,4,624,856
Gustine Unified (Merced),Merced,Unified School District,1890,34,76,20,98.1,30.1,47,31,21.7,10,69747,15.2,17.36,30.54,10549,914,11783,104,6595,0,976,923
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,18883,19.9,72.6,22,91.2,50.1,695,249,22,13,83172,7.9,37.92,51.88,11559,611,12734,72,7051,6,917,829
Hamilton Unified (Glenn),Glenn,Unified School District,697,28.7,82.5,11,98.4,42.9,27,18,18.4,10,62018,8.5,18.29,38.58,10409,545,12669,0,6492,0,895,414
Hayward Unified (Alameda),Alameda,Unified School District,22922,29.8,68.4,40,82.3,51.3,695,351,20.3,12,87570,13.7,23.61,35.64,12759,384,13380,45,8039,2,662,1311
Healdsburg Unified (Sonoma),Sonoma,Unified School District,1611,26.9,52.6,34,91.8,46.7,63,27,17.5,11,69222,8.9,34.18,48.22,15086,582,15401,179,9842,0,1359,1116
Hemet Unified (Riverside),Riverside,Unified School District,21710,13.3,79.3,43,82.8,42.3,612,212,20.8,11,80837,18.2,23.43,36.86,12062,751,12666,101,7716,6,771,1137
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,23844,19,68.6,27,90,36.2,680,354,22.8,9,77743,14.5,21.15,32.42,10633,431,11597,20,6902,0,830,876
Hilmar Unified (Merced),Merced,Unified School District,2403,23,55.1,36,95,26.3,45,23,20.2,14,72399,7.8,19.53,36.24,10812,664,11246,189,6808,13,687,1136
Holtville Unified (Imperial),Imperial,Unified School District,1598,44.5,66.8,13,93.3,43.2,60,19,18.9,11,76705,8.7,38.91,51.3,11384,577,12407,186,7229,0,942,1076
Hughson Unified (Stanislaus),Stanislaus,Unified School District,2088,24.1,53.7,36,93.9,34.1,63,34,21.5,12,79775,8.1,30.75,44.65,11058,532,11608,349,7287,0,903,775
Imperial Unified (Imperial),Imperial,Unified School District,4122,23.3,43.1,18,89.6,36.4,103,52,24.8,12,87828,3.6,39.69,54.13,9888,506,10251,103,6535,0,498,1125
Inglewood Unified (Los Angeles),Los Angeles,Unified School District,12570,29.2,80.8,35,82.3,36,214,191,20.8,13,73529,12.1,18.62,29.47,12172,707,13613,3,7615,7,896,780
Irvine Unified (Orange),Orange,Unified School District,33381,19,13.7,52,94.7,70.2,1544,1071,24,11,82232,4.8,74.28,77.47,10395,732,10691,55,6638,24,320,978
John Swett Unified (Contra Costa),Contra Costa,Unified School District,1714,16.1,68.3,71,89.4,24.4,33,7,19,8,63023,18.8,25.03,36.4,11651,284,12657,77,7456,20,1209,833
Jurupa Unified (Riverside),Riverside,Unified School District,19194,32.7,75,15,90.4,36,485,285,21.7,14,88665,10.6,24.62,36.11,11589,638,12459,68,7952,1,412,952
Kelseyville Unified (Lake),Lake,Unified School District,1724,15,74.5,42,83,21.4,25,32,18.3,11,60290,19.1,22.18,31.98,12039,662,12786,180,7077,0,962,1616
Kerman Unified (Fresno),Fresno,Unified School District,5134,37.2,82.4,18,93.8,29,96,76,24.3,9,70326,7.5,29.4,46.2,9955,1006,12264,105,6311,0,723,976
Kings Canyon Joint Unified (Fresno),Fresno,Unified School District,9844,30,83.3,14,79,34,185,171,22.4,12,71416,7.6,32.59,47.41,11077,852,12863,213,6543,34,532,1230
Klamath-Trinity Joint Unified (Humboldt),Humboldt,Unified School District,999,0.2,97,19,92.6,6.3,4,1,0,N/A,60506,N/A,11.2,17,18386,1040,19824,204,10318,0,1658,2345
