District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
ABC Unified (Los Angeles),Los Angeles,Unified School District,20768,20.8,49.3,56,91.1,58.7,910,361,24,14,82191,7,53.83,64.71,10410,439,11160,0,6761,0,580,849
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,10016,6.2,36,52,32.3,29,92,17,13.2,2,N/A,14.5,31.88,51.13,14228,1194,16023,190,7570,0,1788,1319
Alameda Unified (Alameda),Alameda,Unified School District,11201,16.4,28.6,69,87,59,461,275,19.1,9,73140,9,58.16,65.94,11570,540,11919,200,7634,14,727,875
Albany City Unified (Alameda),Alameda,Unified School District,3702,18.2,17.3,60,91.9,62,176,128,18.6,8,72154,4.9,73.9,79.35,12165,405,12649,124,7952,116,1031,559
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,17071,22.1,64.5,41,94.2,56.7,995,511,22.9,14,82543,6.9,55.2,63.28,11511,485,12495,64,7204,1,722,1381
Alpaugh Unified (Tulare),Tulare,Unified School District,793,23.8,72.5,37,58.2,4.3,2,2,23.8,3,57398,24.1,8.47,17.51,14629,1005,14325,151,8688,0,1750,812
Alpine County Unified (Alpine),Alpine,Unified School District,80,N/A,57.5,40,N/A,N/A,N/A,N/A,7.6,8,N/A,7.7,40.68,54.24,34145,1724,36246,100,14805,10,6544,3975
Alvord Unified (Riverside),Riverside,Unified School District,19255,37.2,76.3,24,90.1,39.7,554,209,22.3,12,91370,12.1,28.08,38.81,11698,339,12195,120,7627,0,602,906
Amador County Unified (Amador),Amador,Unified School District,3864,2,43.6,32,87.9,31.4,91,46,22.4,11,69005,14,31.5,46.03,8901,517,10123,148,5122,7,670,601
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,507,43.4,75.1,25,96,50,24,4,13.9,11,56217,17.8,27.67,45.6,16315,1253,16875,121,10467,0,1915,1031
Antioch Unified (Contra Costa),Contra Costa,Unified School District,17326,19.8,67.7,58,80.8,35.4,382,179,21.9,12,77359,16.8,19.66,31.42,11206,326,11987,39,7683,0,599,797
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,14370,9.8,62.4,47,90.5,40,366,118,22.7,12,78281,10.9,24.24,39.17,10560,636,11277,0,7095,0,695,800
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9525,13.6,20.6,37,97.5,70.1,606,346,23,13,94003,5.4,75.7,79.44,10305,257,11255,90,7007,13,769,712
Aromas/San Juan Unified (San Benito),San Benito,Unified School District,1118,23.4,62.5,31,90,55.6,30,2,22.2,9,65126,8.8,29.09,42.79,9894,465,12046,63,5862,0,1035,809
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,4636,8.1,34.7,35,92.2,38.2,117,36,21.1,14,68312,10.2,37.56,51.99,10367,665,10650,175,6638,21,543,1179
Azusa Unified (Los Angeles),Los Angeles,Unified School District,8782,27.2,79.3,9,88.2,34.9,204,102,19.5,15,83708,8.7,24.38,35.3,12937,949,13762,58,8335,0,720,1029
