District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Calistoga Joint Unified (Napa),Napa,Unified School District,858,Not Certified,78.4,5,82.19,100,63,0,18.7,11,N/A,N/A,N/A,N/A,12806,604,13952,239,8543,31,1250,781
Death Valley Unified (Inyo),Inyo,Unified School District,51,Not Certified,84.3,28,100,redacted,redacted,0,6.8,9,N/A,N/A,N/A,N/A,25438,1733,27294,312,12543,0,4458,4449
Golden Valley Unified (Madera),Madera,Unified School District,1925,6.2,46.1,36,91.03,100,143,0,23.4,6,60412,N/A,N/A,N/A,7633,256,8320,107,4329,0,781,533
Warner Unified (San Diego),San Diego,Unified School District,286,8.4,75.2,56,90,100,31,0,14.9,4,51929,N/A,N/A,N/A,13610,1019,15644,56,7675,0,1998,2465
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,1696,Not Certified,30.3,34,90,99.3,138,0,23.9,11,67083,N/A,N/A,N/A,7795,431,8361,77,4778,0,687,909
Aromas/San Juan Unified (San Benito),San Benito,Unified School District,1277,29.4,55.7,26,94.38,98.8,84,0,28.8,12,64204,N/A,N/A,N/A,10109,998,11362,37,6348,0,783,845
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,Not Certified,Not Certified,Not Certified,Not Certified,83.33,97.1,34,0,0,17,62653,N/A,N/A,N/A,12749,607,14142,220,7068,0,1638,1250
Potter Valley Community Unified (Mendocino),Mendocino,Unified School District,254,15.7,63.8,38,26.67,95.2,20,0,14.2,10,44607,N/A,N/A,N/A,11644,744,12918,194,7384,0,1143,873
Hesperia Unified (San Bernardino),San Bernardino,Unified School District,23137,18.9,63.1,40,79.84,93,1557,0,27.2,10,61784,N/A,N/A,N/A,6827,268,7380,9,4268,3,412,617
Reef-Sunset Unified (Kings),Kings,Unified School District,2629,68.6,99.2,5,80.41,90,108,0,21.3,10,58683,N/A,N/A,N/A,8232,670,9101,9,5260,42,648,470
Piedmont City Unified (Alameda),Alameda,Unified School District,2559,3,1.4,31,98.65,88.6,195,0,19,11,71437,N/A,N/A,N/A,11248,361,12287,117,7761,0,610,588
Manhattan Beach Unified (Los Angeles),Los Angeles,Unified School District,6645,Not Certified,2.6,36,95.93,84.4,494,0,23.4,11,67752,N/A,N/A,N/A,7594,367,8523,42,5088,0,511,554
Inglewood Unified (Los Angeles),Los Angeles,Unified School District,15112,28.1,76.4,35,76.68,82.7,791,0,23.6,11,64058,N/A,N/A,N/A,8772,443,9507,0,5561,8,549,517
La Canada Unified (Los Angeles),Los Angeles,Unified School District,4019,4.3,1.1,42,97.9,79.5,299,0,23.6,13,70964,N/A,N/A,N/A,8117,249,8258,13,5300,14,434,573
Palos Verdes Peninsula Unified (Los Angeles),Los Angeles,Unified School District,11928,6.5,2.3,43,98.72,79.1,853,0,23.4,10,67858,N/A,N/A,N/A,7926,258,8329,213,5530,0,386,464
Fort Sage Unified (Lassen),Lassen,Unified School District,180,Not Certified,77.2,28,48.28,78.9,15,0,0,N/A,48493,N/A,N/A,N/A,12914,539,13139,398,7952,0,1268,946
Palo Alto Unified (Santa Clara),Santa Clara,Unified School District,11987,11.5,8.6,49,95.96,78.2,655,0,18.4,10,85390,N/A,N/A,N/A,12994,512,13755,90,8884,10,679,887
Big Pine Unified (Inyo),Inyo,Unified School District,183,4.4,80.3,47,100,redacted,redacted,0,10.8,9,N/A,N/A,N/A,N/A,15377,657,17629,61,9156,0,1771,1257
Santa Monica-Malibu Unified (Los Angeles),Los Angeles,Unified School District,11562,9.3,25.5,48,88.06,75.7,693,0,20.8,12,69486,N/A,N/A,N/A,10041,287,10569,69,6395,72,661,825
River Delta Joint Unified (Sacramento),Sacramento,Unified School District,2264,Not Certified,61.8,40,84.18,75.4,101,0,18.7,8,51441,N/A,N/A,N/A,9113,603,8947,59,5625,0,489,1050
Coronado Unified (San Diego),San Diego,Unified School District,3139,1.4,7.6,30,96.22,75.3,213,0,23,9,62502,N/A,N/A,N/A,8233,341,8681,115,5264,104,585,589
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9666,12.5,17.6,36,96.92,74,659,0,22.8,12,79664,N/A,N/A,N/A,7596,266,7703,60,5149,1,508,544
La Honda-Pescadero Unified (San Mateo),San Mateo,Unified School District,341,47.5,58.9,33,73.91,72.2,13,0,13.8,8,52034,N/A,N/A,N/A,12586,498,14530,159,7427,0,1324,645
Carmel Unified (Monterey),Monterey,Unified School District,2239,6,11.8,32,93.33,68.7,125,0,15.6,11,87200,N/A,N/A,N/A,17295,1061,19410,0,10227,5,1460,1669
Davis Joint Unified (Yolo),Yolo,Unified School District,8507,9.5,20.8,44,91.78,68.3,461,0,20.9,11,63244,N/A,N/A,N/A,8281,321,8659,72,5457,20,573,660
Pleasanton Unified (Alameda),Alameda,Unified School District,14904,5.2,6.7,45,95.58,67.5,837,0,24.7,12,82367,N/A,N/A,N/A,7543,220,9671,0,5429,0,483,372
Biggs Unified (Butte),Butte,Unified School District,556,18.9,80.2,37,75,66.7,26,0,23.4,17,56250,N/A,N/A,N/A,9475,499,10753,104,5807,58,1153,553
Poway Unified (San Diego),San Diego,Unified School District,34135,12.3,12.9,47,94.57,64.7,1688,0,28.1,14,69945,N/A,N/A,N/A,7065,271,7755,122,4729,15,383,562
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,28986,4.8,2.8,47,97.08,64,1325,0,23.5,10,67363,N/A,N/A,N/A,7458,317,8034,87,4947,8,331,458
Oak Park Unified (Ventura),Ventura,Unified School District,4002,2.2,4.3,25,95.36,63.2,213,0,24.7,12,71780,N/A,N/A,N/A,7527,235,7695,54,5266,5,484,569
Laguna Beach Unified (Orange),Orange,Unified School District,3037,3.8,12.6,19,97.57,63.1,154,0,21.4,11,91828,N/A,N/A,N/A,13670,619,15101,346,8422,0,1171,1433
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3352,31.6,47.7,40,84.07,62,150,0,21.7,13,64696,N/A,N/A,N/A,8439,200,8627,128,5264,3,535,642
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,4424,6.5,11.6,56,95.78,62,230,0,25.3,13,74956,N/A,N/A,N/A,7368,262,8148,90,4877,8,497,444
Trinity Alps Unified (Trinity),Trinity,Unified School District,786,Not Certified,49.5,27,91.95,62,49,0,22.1,13,60871,N/A,N/A,N/A,10823,744,12121,354,6730,0,675,1178
Rocklin Unified (Placer),Placer,Unified School District,11652,4.1,17.4,34,93.36,61.7,504,0,24.5,9,62745,N/A,N/A,N/A,6474,205,7069,73,4185,9,350,402
Los Alamitos Unified (Orange),Orange,Unified School District,9640,2,9.8,45,95.18,61.1,504,0,27.4,13,77448,N/A,N/A,N/A,6727,217,7604,38,4768,0,454,399
Pacific Grove Unified (Monterey),Monterey,Unified School District,1855,6.1,18.7,37,91.1,60.7,82,0,20,11,75429,N/A,N/A,N/A,12860,619,14063,203,7692,0,1197,1004
