District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Clovis Unified (Fresno),Fresno,Unified School District,38495,6.8,33.5,51,93.72,60,1539,0,22.5,12,62188,N/A,N/A,N/A,7336,407,8175,137,4541,0,391,674
Claremont Unified (Los Angeles),Los Angeles,Unified School District,7150,5.1,31.9,30,94.91,59.4,342,0,25.6,12,68397,N/A,N/A,N/A,7508,240,8738,101,4763,0,576,718
Irvine Unified (Orange),Orange,Unified School District,27258,13.3,11.4,50,97.07,59.4,1265,0,25.6,15,72609,N/A,N/A,N/A,7562,321,7997,78,4928,22,272,694
Fremont Unified (Alameda),Alameda,Unified School District,32607,17.4,19.5,52,88.91,58.4,1360,0,25.6,13,75227,N/A,N/A,N/A,7305,267,8391,35,5024,16,310,385
Temple City Unified (Los Angeles),Los Angeles,Unified School District,5601,19.4,39.3,40,94.47,57.3,285,0,24.1,12,70975,N/A,N/A,N/A,7405,306,7880,18,4953,0,468,509
Castro Valley Unified (Alameda),Alameda,Unified School District,9023,8.6,22,64,95.74,56.5,411,0,24.2,11,66671,N/A,N/A,N/A,7290,316,11430,89,4859,38,467,463
San Marcos Unified (San Diego),San Diego,Unified School District,18321,Not Certified,43.8,46,96.78,56.1,617,0,27.2,11,67466,N/A,N/A,N/A,7420,279,7785,68,5043,226,321,591
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,3198,Not Certified,12.7,47,94.61,55,176,0,25.2,11,72933,N/A,N/A,N/A,7817,406,8584,28,4931,213,692,310
San Luis Coastal Unified (San Luis Obispo),San Luis Obispo,Unified School District,7234,14.3,33.6,37,95.84,54.6,306,0,22.4,13,69471,N/A,N/A,N/A,9788,339,11159,162,5833,0,639,1085
Bassett Unified (Los Angeles),Los Angeles,Unified School District,4526,Not Certified,88.4,6,83.18,54.2,155,0,24.7,13,N/A,N/A,N/A,N/A,9131,441,9760,94,5437,0,902,673
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,4679,8.2,5.9,28,94.98,54.2,296,0,18,12,N/A,N/A,N/A,N/A,11464,234,12377,123,7353,19,874,624
Brea-Olinda Unified (Orange),Orange,Unified School District,5927,10.6,23.4,53,95.14,53.9,267,0,26.8,13,72275,N/A,N/A,N/A,7136,252,7365,44,4370,0,583,742
Dublin Unified (Alameda),Alameda,Unified School District,6257,9.3,11.7,60,92.69,53.7,195,0,22.6,9,75125,N/A,N/A,N/A,7901,221,8441,44,5258,0,464,466
Moorpark Unified (Ventura),Ventura,Unified School District,7208,18.5,31.2,43,91.34,53.4,326,0,25,14,63972,N/A,N/A,N/A,7399,188,8277,11,4737,0,521,484
Saint Helena Unified (Napa),Napa,Unified School District,1367,Not Certified,39.1,37,95.83,53,61,0,15,11,91691,N/A,N/A,N/A,17590,585,17644,254,11174,0,1487,1073
Tahoe-Truckee Unified (Placer),Placer,Unified School District,3909,23.3,38.2,35,90.29,52.9,136,0,19.4,13,73109,N/A,N/A,N/A,12002,744,12563,111,7258,10,804,1371
San Francisco Unified (San Francisco),San Francisco,Unified School District,55571,28.8,60.4,60,81.84,52.4,2018,0,18.8,12,59899,N/A,N/A,N/A,9104,353,10965,67,4854,0,540,792
Carlsbad Unified (San Diego),San Diego,Unified School District,11046,8.3,21.6,42,91.57,51.9,364,0,22.9,12,69873,N/A,N/A,N/A,7781,234,7573,61,5107,21,447,749
Temecula Valley Unified (Riverside),Riverside,Unified School District,30272,6.8,16.7,50,92.42,51.8,1184,0,24.1,11,73422,N/A,N/A,N/A,7188,269,7587,26,5166,6,321,531
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7284,Not Certified,17.1,44,95.06,51.7,317,0,25.7,12,74056,N/A,N/A,N/A,6945,250,7521,21,4896,4,432,355
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,19923,Not Certified,60.7,16,90.13,50.8,932,0,21.3,12,75020,N/A,N/A,N/A,8109,195,9587,0,5542,0,267,431
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,2574,2.1,13.5,18,96.69,50.6,89,0,24.4,11,57665,N/A,N/A,N/A,6968,237,7277,86,4543,1,520,515
Las Virgenes Unified (Los Angeles),Los Angeles,Unified School District,11393,5.1,5.4,23,93.77,50.3,490,0,23.9,12,68174,N/A,N/A,N/A,7966,169,8865,1,5563,0,334,610
Newport-Mesa Unified (Orange),Orange,Unified School District,21811,24.7,42.4,41,93.5,50.3,823,0,25.1,13,82392,N/A,N/A,N/A,10625,390,11246,140,6341,0,810,815
Garden Grove Unified (Orange),Orange,Unified School District,48659,43.3,69,44,86.02,50,1720,0,27.3,13,79755,N/A,N/A,N/A,7787,206,8618,162,5347,9,242,655
Durham Unified (Butte),Butte,Unified School District,1030,7,40,24,92.05,49.4,41,0,21.5,15,63790,N/A,N/A,N/A,7653,280,8413,136,4927,0,586,674
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,18413,29.2,69.1,40,92.76,48.4,906,0,24.8,14,70361,N/A,N/A,N/A,7937,254,9713,51,5089,56,518,882
Torrance Unified (Los Angeles),Los Angeles,Unified School District,24370,13.7,22.8,61,93.41,48.3,1058,0,28.9,13,65822,N/A,N/A,N/A,7104,204,7980,92,4914,0,373,490
New Haven Unified (Alameda),Alameda,Unified School District,12955,23.9,42.3,67,79.54,48.1,429,0,23.8,13,83645,N/A,N/A,N/A,8157,154,8158,94,5585,19,401,459
Ripon Unified (San Joaquin),San Joaquin,Unified School District,3064,13.2,38.2,37,91.49,48.1,104,0,24.6,12,60346,N/A,N/A,N/A,6502,329,7323,16,4349,111,485,587
Capistrano Unified (Orange),Orange,Unified School District,53192,10.2,21.3,40,96.66,48,2015,0,27.1,14,77508,N/A,N/A,N/A,7228,203,7456,66,5054,0,281,546
Livermore Valley Joint Unified (Alameda),Alameda,Unified School District,12771,13.6,25.6,41,91.07,47.5,497,0,23.4,11,68831,N/A,N/A,N/A,7986,272,8153,97,5222,8,463,497
Berkeley Unified (Alameda),Alameda,Unified School District,9468,Not Certified,43.6,64,79.62,47.3,378,0,16.8,9,N/A,N/A,N/A,N/A,12236,398,13070,24,7712,27,981,844
Scott Valley Unified (Siskiyou),Siskiyou,Unified School District,700,3.7,62.7,34,91.38,47.3,26,0,17.2,11,N/A,N/A,N/A,N/A,9976,881,12183,570,5775,0,1034,788
Riverdale Joint Unified (Fresno),Fresno,Unified School District,1536,28,81.3,22,98.41,47.2,58,0,20.3,10,58245,N/A,N/A,N/A,7920,590,8466,150,5043,4,584,657
El Tejon Unified (Kern),Kern,Unified School District,1136,10.2,46.6,34,79.13,46.5,46,0,24.2,12,60786,N/A,N/A,N/A,8251,420,10380,330,4832,367,643,1015
Oakland Unified (Alameda),Alameda,Unified School District,46584,26,70.4,55,58.35,46.5,998,0,18.1,9,54035,N/A,N/A,N/A,10583,494,11695,327,5869,14,615,821
Orland Joint Unified (Glenn),Glenn,Unified School District,2205,24.2,74.2,38,90.24,46.4,70,0,23,13,58033,N/A,N/A,N/A,7352,280,8229,71,4890,0,631,478
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,763,35.3,57.4,37,92.68,46.1,35,0,15.8,15,71170,N/A,N/A,N/A,13771,797,14213,183,8048,0,1419,1397
Alameda Unified (Alameda),Alameda,Unified School District,10494,22.4,32.5,65,84.37,45.3,359,0,22.6,11,62420,N/A,N/A,N/A,8504,295,9390,120,5425,7,594,420
Fowler Unified (Fresno),Fresno,Unified School District,2375,28.2,77.7,24,92.78,45.2,76,0,22.6,12,58923,N/A,N/A,N/A,7593,432,8124,57,5103,7,389,712
Corona-Norco Unified (Riverside),Riverside,Unified School District,53148,12.8,43.6,47,88.57,44.8,1665,0,27.8,11,75159,N/A,N/A,N/A,6987,243,7614,35,4735,0,274,560
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,8437,7.7,21.7,50,89.26,44.7,284,0,23.9,10,71246,N/A,N/A,N/A,7927,342,8006,0,5347,12,389,666
Conejo Valley Unified (Ventura),Ventura,Unified School District,21091,9.8,18.8,38,94.77,44.4,838,0,23.7,13,67725,N/A,N/A,N/A,7532,310,7976,109,5124,90,375,425
Elk Grove Unified (Sacramento),Sacramento,Unified School District,62416,15.2,49.9,71,83.79,44.4,1883,0,23.6,12,62793,N/A,N/A,N/A,7474,194,8067,0,5155,0,441,502
South San Francisco Unified (San Mateo),San Mateo,Unified School District,9312,Not Certified,42.3,59,93.12,44.3,275,0,23.5,10,60978,N/A,N/A,N/A,7152,314,7712,0,4511,4,388,800
Templeton Unified (San Luis Obispo),San Luis Obispo,Unified School District,2249,3.6,17.7,26,99.02,44.3,94,0,24.3,13,61970,N/A,N/A,N/A,6997,220,8014,127,4480,5,617,434
Eastern Sierra Unified (Mono),Mono,Unified School District,517,15.3,53,43,88.89,44.1,15,0,12.4,9,53566,N/A,N/A,N/A,19015,761,20501,42,9733,0,1392,2150
San Diego Unified (San Diego),San Diego,Unified School District,131784,Not Certified,65.5,57,85.34,44,3513,0,22.5,13,64014,N/A,N/A,N/A,9655,340,10178,27,6319,4,437,1250
Big Valley Joint Unified (Lassen),Lassen,Unified School District,213,Not Certified,73.7,23,88.89,redacted,redacted,0,14.8,17,52563,N/A,N/A,N/A,11102,739,12800,292,5969,0,1122,982
Pajaro Valley Unified (Santa Cruz),Santa Cruz,Unified School District,19545,48,69.7,21,81.58,43.3,450,0,22.6,13,53849,N/A,N/A,N/A,9286,583,10058,30,5935,1,336,780
Live Oak Unified (Sutter),Sutter,Unified School District,1781,Not Certified,80,41,84.21,43.2,48,0,22.6,14,59545,N/A,N/A,N/A,7274,307,7918,65,4427,43,526,723
Tustin Unified (Orange),Orange,Unified School District,23093,23.3,39,51,96.2,43.2,671,0,29.7,10,71149,N/A,N/A,N/A,6679,241,7512,49,4364,15,361,492
Saddleback Valley Unified (Orange),Orange,Unified School District,31724,13,19.9,44,94.74,43.1,1159,0,26.9,16,73071,N/A,N/A,N/A,6830,189,7965,45,5068,0,307,422
Hayward Unified (Alameda),Alameda,Unified School District,21744,32.6,62.3,47,68.92,43,470,0,22.9,11,74423,N/A,N/A,N/A,8791,494,9624,18,6107,1,368,546
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,4898,7.6,38.2,33,92.68,42.9,148,0,24.3,16,63717,N/A,N/A,N/A,7343,243,8085,124,4520,20,405,991
Ojai Unified (Ventura),Ventura,Unified School District,3005,12.4,36.7,36,87.65,42.9,96,0,24.5,19,63924,N/A,N/A,N/A,7666,261,8028,15,4954,83,666,610
Shoreline Unified (Marin),Marin,Unified School District,555,Not Certified,56.8,5,80.95,42.9,15,0,12.4,12,75783,N/A,N/A,N/A,19109,859,21039,233,11626,120,1302,2498
Long Beach Unified (Los Angeles),Los Angeles,Unified School District,84816,23.3,69.7,49,78.3,42.4,2324,0,23.2,15,73224,N/A,N/A,N/A,8436,194,8766,11,5584,84,330,632
Placentia-Yorba Linda Unified (Orange),Orange,Unified School District,25821,12.6,26.1,47,91.92,42.4,885,0,25.8,13,74321,N/A,N/A,N/A,7914,304,7907,20,5196,5,379,535
Glendale Unified (Los Angeles),Los Angeles,Unified School District,26371,25.2,44.6,46,87.54,42.3,909,0,23.9,13,70145,N/A,N/A,N/A,8201,321,9044,56,5849,17,344,462
Sierra Unified (Fresno),Fresno,Unified School District,1565,Not Certified,41.6,29,93.37,42.1,72,0,19.3,13,62678,N/A,N/A,N/A,10460,538,11447,0,6032,0,705,1476
Tulelake Basin Joint Unified (Modoc),Modoc,Unified School District,539,42.7,82.6,34,88.64,42.1,16,0,14.2,11,67704,N/A,N/A,N/A,12314,545,12655,819,6694,0,1197,736
Mendocino Unified (Mendocino),Mendocino,Unified School District,525,2.5,32.8,18,91.84,42,21,0,13.9,15,58381,N/A,N/A,N/A,14200,668,16449,241,7751,0,1444,1553
ABC Unified (Los Angeles),Los Angeles,Unified School District,20682,19.5,47.9,58,91.44,41.8,704,0,24.5,15,71807,N/A,N/A,N/A,8054,344,8293,0,5229,0,476,558
Rowland Unified (Los Angeles),Los Angeles,Unified School District,15711,31.4,64.2,39,85.19,41.6,416,0,23.3,13,70091,N/A,N/A,N/A,8173,470,10847,0,5385,18,438,521
Sierra-Plumas Joint Unified (Sierra),Sierra,Unified School District,424,6.4,49.5,19,92.86,41.4,12,0,15.6,11,51031,N/A,N/A,N/A,13205,413,14889,110,6568,0,1918,1734
Plumas Unified (Plumas),Plumas,Unified School District,2293,Not Certified,35.3,24,92.98,41.3,83,0,24.6,14,56509,N/A,N/A,N/A,11871,767,13319,154,6459,84,1148,1888
Sonoma Valley Unified (Sonoma),Sonoma,Unified School District,4662,Not Certified,52.3,38,90.55,41.2,105,0,20.2,12,60326,N/A,N/A,N/A,9419,359,9096,45,6738,0,442,661
Ferndale Unified (Humboldt),Humboldt,Unified School District,495,6.7,28.9,23,95.65,40.9,18,0,18.9,16,56796,N/A,N/A,N/A,8328,324,9151,213,5531,0,632,459
Redlands Unified (San Bernardino),San Bernardino,Unified School District,21398,9.5,52.5,53,86.71,40.5,682,0,25.5,13,71841,N/A,N/A,N/A,7328,238,8080,73,4716,10,417,645
San Jose Unified (Santa Clara),Santa Clara,Unified School District,33018,26.1,44.2,47,84.14,40.3,835,0,21.7,10,65541,N/A,N/A,N/A,8963,365,9112,135,5235,0,403,727
Milpitas Unified (Santa Clara),Santa Clara,Unified School District,9887,27.2,32.6,59,89.34,40.1,290,0,25.6,11,72935,N/A,N/A,N/A,7249,289,8057,33,5013,0,374,368
Valley Center-Pauma Unified (San Diego),San Diego,Unified School District,4209,23.5,40.1,46,94.57,40,134,0,23.6,15,73795,N/A,N/A,N/A,8770,502,9022,180,5195,26,698,857
Duarte Unified (Los Angeles),Los Angeles,Unified School District,3975,22.7,68.4,30,88.66,39.8,106,0,26.3,13,66918,N/A,N/A,N/A,7858,494,8586,78,5181,5,704,429
Linden Unified (San Joaquin),San Joaquin,Unified School District,2351,24.9,56.4,40,89.09,39.8,82,0,21,11,58367,N/A,N/A,N/A,7521,432,8248,70,4934,17,428,744
Hamilton Unified (Glenn),Glenn,Unified School District,789,Not Certified,75.4,15,92.19,39.7,23,0,23.1,13,63075,N/A,N/A,N/A,7363,286,8789,6,4692,2,571,244
Chico Unified (Butte),Butte,Unified School District,13060,10.3,42.3,37,86.13,39.4,403,0,24.2,15,65065,N/A,N/A,N/A,8166,341,8804,46,5968,2,431,652
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,18893,11.9,31.1,44,90.27,39.4,479,0,25.5,12,68999,N/A,N/A,N/A,7431,249,7922,126,4776,0,363,705
San Lorenzo Valley Unified (Santa Cruz),Santa Cruz,Unified School District,4025,1.1,21.9,26,90.13,39.4,97,0,23.8,10,60347,N/A,N/A,N/A,8819,313,9476,115,5153,0,839,789
Bishop Unified (Inyo),Inyo,Unified School District,1957,11.9,43.1,50,78.61,39.2,60,0,23.2,14,66605,N/A,N/A,N/A,9304,291,9847,87,5854,0,765,610
Sanger Unified (Fresno),Fresno,Unified School District,10752,22.2,71.3,33,93.6,39,267,0,21.5,9,57614,N/A,N/A,N/A,8189,483,8504,94,4610,5,486,941
Pasadena Unified (Los Angeles),Los Angeles,Unified School District,19803,20.6,65,43,76.17,38.8,471,0,24,11,65714,N/A,N/A,N/A,9695,362,10167,35,5946,58,517,1026
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,31608,13.7,35.6,47,87.26,38.4,862,0,27.3,14,72759,N/A,N/A,N/A,7266,263,7637,100,4685,45,404,548
Dixon Unified (Solano),Solano,Unified School District,3732,20.6,43.6,40,78.55,38.4,111,0,24.1,13,62008,N/A,N/A,N/A,6850,244,7523,34,4390,0,585,487
Monterey Peninsula Unified (Monterey),Monterey,Unified School District,11167,28.7,58.2,53,81.03,38.4,256,0,21.9,10,57470,N/A,N/A,N/A,8827,541,9649,32,5316,27,489,715
San Gabriel Unified (Los Angeles),Los Angeles,Unified School District,6846,Not Certified,40.1,47,92.67,38.3,295,0,25.1,8,64534,N/A,N/A,N/A,7534,216,8028,29,4852,0,574,570
Rim of the World Unified (San Bernardino),San Bernardino,Unified School District,4402,9.3,47.9,33,77.27,38.2,117,0,23.1,15,62894,N/A,N/A,N/A,7992,405,8475,48,5154,27,506,914
Denair Unified (Stanislaus),Stanislaus,Unified School District,1535,15,48.1,39,77.98,38,52,0,18.8,10,62489,N/A,N/A,N/A,8691,263,9118,108,5803,10,624,418
Natomas Unified (Sacramento),Sacramento,Unified School District,12350,15.8,50.3,70,85.11,37.8,321,0,24.1,9,64052,N/A,N/A,N/A,6799,225,7630,1,4671,1,358,412
Delhi Unified (Merced),Merced,Unified School District,2606,Not Certified,86.2,17,88.3,37.6,62,0,22.2,11,64572,N/A,N/A,N/A,8413,583,8249,80,5204,29,589,417
Lakeport Unified (Lake),Lake,Unified School District,1544,7.1,55.2,40,87.62,37.6,35,0,19.5,13,53078,N/A,N/A,N/A,7916,300,8550,162,4977,0,642,608
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,6008,6.1,39.5,42,93.25,37,187,0,27.7,13,73985,N/A,N/A,N/A,7198,180,7975,21,4710,34,550,527
Middletown Unified (Lake),Lake,Unified School District,1712,Not Certified,45.7,29,87.6,36.8,39,0,570.7,3,58338,N/A,N/A,N/A,7472,262,8218,78,4993,0,562,705
Novato Unified (Marin),Marin,Unified School District,7968,15.3,28.1,45,90.76,36.8,189,0,21,9,61572,N/A,N/A,N/A,8298,268,8575,63,5408,2,477,586
Calipatria Unified (Imperial),Imperial,Unified School District,1171,Not Certified,79.8,17,92.31,36.7,29,0,18.9,11,57393,N/A,N/A,N/A,8644,776,9155,79,5058,3,840,893
Burbank Unified (Los Angeles),Los Angeles,Unified School District,16623,10.5,30.5,47,91.84,36.6,551,0,23.9,12,69853,N/A,N/A,N/A,7570,243,7919,58,4916,5,605,444
Cloverdale Unified (Sonoma),Sonoma,Unified School District,1474,28.6,52,38,85.45,36.5,35,0,24.2,14,N/A,N/A,N/A,N/A,7518,230,8822,90,5350,0,639,343
Culver City Unified (Los Angeles),Los Angeles,Unified School District,6821,12.8,41.2,60,85.4,36.5,184,0,24.5,12,63379,N/A,N/A,N/A,7346,237,10616,2,4887,6,448,507
Pomona Unified (Los Angeles),Los Angeles,Unified School District,28295,36.9,77.5,20,77.08,36.3,563,0,23.6,12,71140,N/A,N/A,N/A,8929,409,9198,18,5567,38,536,646
Muroc Joint Unified (Kern),Kern,Unified School District,2071,3.4,24.5,48,91.03,36.1,48,0,21.4,12,60872,N/A,N/A,N/A,8179,283,9372,85,4979,7,670,544
San Lorenzo Unified (Alameda),Alameda,Unified School District,11879,29.4,51.2,52,82.82,36.1,291,0,24.6,10,69010,N/A,N/A,N/A,7697,295,8523,30,5119,2,476,490
Simi Valley Unified (Ventura),Ventura,Unified School District,19933,10.2,27.3,40,81.81,36.1,476,0,23.2,13,66282,N/A,N/A,N/A,7531,250,7961,63,5158,25,360,491
