District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Conejo Valley Unified (Ventura),Ventura,Unified School District,20722,9.8,21.2,39,96.19,47.3,843,0,23.3,14,69463,N/A,N/A,N/A,7742,303,7789,119,5277,92,359,447
Sanger Unified (Fresno),Fresno,Unified School District,10872,20.7,71.3,33,94.92,47.3,329,0,20.7,9,58289,N/A,N/A,N/A,8174,499,8602,102,4621,4,419,961
Elk Grove Unified (Sacramento),Sacramento,Unified School District,62123,14.8,53.3,71,86.21,47.2,2023,0,23.5,12,63447,N/A,N/A,N/A,7590,214,8033,0,5270,0,412,516
Tulelake Basin Joint Unified (Modoc),Modoc,Unified School District,520,38.3,77.3,34,96.97,47.1,16,0,13.6,10,66468,N/A,N/A,N/A,11410,496,12880,549,6635,0,1214,670
Ferndale Unified (Humboldt),Humboldt,Unified School District,484,6.6,41.5,25,91.43,46.9,15,0,18.3,14,55806,N/A,N/A,N/A,8366,317,9296,160,5781,0,524,386
Novato Unified (Marin),Marin,Unified School District,7999,16.1,30.7,45,91.14,46.8,254,0,20.7,10,62904,N/A,N/A,N/A,8332,341,8595,60,5462,0,487,620
Livermore Valley Joint Unified (Alameda),Alameda,Unified School District,12781,12.9,26.2,47,91.13,46.7,483,0,21.6,11,69119,N/A,N/A,N/A,8136,301,8036,65,5429,9,404,545
Linden Unified (San Joaquin),San Joaquin,Unified School District,2307,27.1,56.7,40,88.07,46.4,77,0,20.9,10,57430,N/A,N/A,N/A,7751,534,8131,75,5040,13,443,774
Moorpark Unified (Ventura),Ventura,Unified School District,7091,18.2,31.8,44,89.44,46.4,294,0,24.6,14,65504,N/A,N/A,N/A,7789,196,8254,12,4886,0,624,513
San Diego Unified (San Diego),San Diego,Unified School District,131016,27,58.7,56,86.99,45.8,3649,0,19.5,13,65367,N/A,N/A,N/A,9448,305,9581,28,6283,5,420,1160
Saddleback Valley Unified (Orange),Orange,Unified School District,30885,13.1,24.6,45,95.35,45.7,1181,0,27.2,18,74095,N/A,N/A,N/A,6984,174,7744,48,5119,0,358,444
Murrieta Valley Unified (Riverside),Riverside,Unified School District,22692,4.1,29.3,50,92.07,45.5,805,0,25.1,10,77857,N/A,N/A,N/A,7333,222,7100,72,4898,14,366,586
Sacramento City Unified (Sacramento),Sacramento,Unified School District,47939,22.7,68.9,64,79.91,45.3,1252,0,28.7,13,64071,N/A,N/A,N/A,9187,304,9480,45,6272,3,408,887
Redlands Unified (San Bernardino),San Bernardino,Unified School District,21411,9.2,50.6,52,90.44,45,806,0,24.2,13,74663,N/A,N/A,N/A,7682,258,7844,77,4879,11,431,665
Glendale Unified (Los Angeles),Los Angeles,Unified School District,26228,25.3,45.1,46,88.12,44.9,961,0,22.9,13,70838,N/A,N/A,N/A,8454,305,8435,54,6077,17,327,486
Corona-Norco Unified (Riverside),Riverside,Unified School District,53467,13.2,41.6,47,90.96,44.7,1772,0,24.7,11,76450,N/A,N/A,N/A,7243,218,7248,35,4901,0,304,578
Hayward Unified (Alameda),Alameda,Unified School District,21637,31.3,67,45,71.23,44.4,488,0,23.2,10,73058,N/A,N/A,N/A,9060,566,9436,21,6246,1,444,564
Yosemite Unified (Madera),Madera,Unified School District,2207,0.1,34.9,30,89.55,44.4,119,0,22.4,14,66266,N/A,N/A,N/A,9974,497,9813,0,5430,46,936,927
San Jose Unified (Santa Clara),Santa Clara,Unified School District,33306,23.6,44.8,47,83.81,44.3,955,0,21.1,10,67157,N/A,N/A,N/A,8985,302,9047,128,5366,0,427,773
Berkeley Unified (Alameda),Alameda,Unified School District,9545,13.6,38,64,83.1,43.8,352,0,18.1,9,65957,N/A,N/A,N/A,12570,434,13264,26,7952,23,989,937
Pajaro Valley Unified (Santa Cruz),Santa Cruz,Unified School District,19923,45.4,70.9,21,85.94,43.4,472,0,24.7,11,56296,N/A,N/A,N/A,9435,419,10070,41,5916,1,323,852
Placentia-Yorba Linda Unified (Orange),Orange,Unified School District,25747,12.3,32,48,91.8,43.4,894,0,25.4,13,75772,N/A,N/A,N/A,7846,295,7671,22,5176,3,321,525
Tahoe-Truckee Unified (Placer),Placer,Unified School District,3838,22.3,41.5,35,90.07,43.4,118,0,19.9,14,70506,N/A,N/A,N/A,12103,750,12608,167,7338,9,775,1407
Bishop Unified (Inyo),Inyo,Unified School District,2003,11,52,50,73.56,43.1,59,0,21.3,13,64845,N/A,N/A,N/A,9385,339,9868,95,5828,0,757,666
Hamilton Unified (Glenn),Glenn,Unified School District,759,32.4,81.2,14,92.86,43.1,28,0,19.3,13,61698,N/A,N/A,N/A,7604,376,8815,7,4902,4,500,249
Folsom-Cordova Unified (Sacramento),Sacramento,Unified School District,19154,11.3,32.7,45,91.32,42.9,544,0,24.7,13,69094,N/A,N/A,N/A,7263,274,7757,142,4658,0,377,604
Martinez Unified (Contra Costa),Contra Costa,Unified School District,4124,7.8,31.1,46,87.16,42.8,152,0,23.2,13,62824,N/A,N/A,N/A,7279,266,8222,31,5041,0,493,334
Ojai Unified (Ventura),Ventura,Unified School District,2935,13,38.6,36,85.54,42.7,91,0,25.7,17,63177,N/A,N/A,N/A,7849,317,8223,15,4973,98,677,693
Pasadena Unified (Los Angeles),Los Angeles,Unified School District,19805,19.6,64.4,43,78.86,42.6,547,0,21.2,11,64830,N/A,N/A,N/A,9811,302,9809,38,5842,35,500,1229
Cutler-Orosi Joint Unified (Tulare),Tulare,Unified School District,4133,49.6,88.1,7,78.07,42.4,89,0,18.7,11,59181,N/A,N/A,N/A,8967,482,9910,53,5650,526,504,813
Holtville Unified (Imperial),Imperial,Unified School District,1596,42.4,71.7,15,94.44,42.4,61,0,21.3,10,63722,N/A,N/A,N/A,8295,344,8661,87,4946,0,928,701
Natomas Unified (Sacramento),Sacramento,Unified School District,12344,15.9,48.8,70,86.42,42.1,362,0,24,9,64756,N/A,N/A,N/A,7067,342,7604,1,4714,2,452,466
Princeton Joint Unified (Glenn),Glenn,Unified School District,207,21.3,73.4,34,90,redacted,redacted,0,15.3,8,N/A,N/A,N/A,N/A,11120,793,11847,108,6156,0,1510,1042
Trinity Alps Unified (Trinity),Trinity,Unified School District,775,0.9,52.9,26,96.77,42.1,40,0,19.6,13,61351,N/A,N/A,N/A,10111,762,11963,313,6528,0,600,657
Delhi Unified (Merced),Merced,Unified School District,2665,42.6,79.3,15,95.58,42,74,0,22.2,11,64041,N/A,N/A,N/A,7705,410,8065,85,4609,30,558,420
Morgan Hill Unified (Santa Clara),Santa Clara,Unified School District,9306,22.4,34.6,46,88.11,41.9,242,0,25.7,10,65163,N/A,N/A,N/A,7047,322,7951,56,4502,1,424,638
ABC Unified (Los Angeles),Los Angeles,Unified School District,20690,19.9,50.1,58,91.74,41.8,666,0,24.8,15,71887,N/A,N/A,N/A,8108,378,8178,0,5296,0,477,571
Valley Center-Pauma Unified (San Diego),San Diego,Unified School District,4168,21.9,48.3,47,95.87,41.7,129,0,22.4,15,74812,N/A,N/A,N/A,8790,544,8969,193,5266,29,657,832
Templeton Unified (San Luis Obispo),San Luis Obispo,Unified School District,2294,3.9,17.9,27,97.1,41.6,97,0,23,13,62551,N/A,N/A,N/A,7323,264,7595,132,4591,13,723,526
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,4904,7.4,40.8,33,93.81,41.2,172,0,22.8,16,64615,N/A,N/A,N/A,7571,322,7853,121,4646,25,411,1072
Culver City Unified (Los Angeles),Los Angeles,Unified School District,6816,11,39.9,59,87.79,41.2,221,0,24.6,12,63814,N/A,N/A,N/A,7643,316,8607,1,5028,2,538,538
Chico Unified (Butte),Butte,Unified School District,13646,9.4,44.3,37,85.29,41,391,0,22.2,14,63409,N/A,N/A,N/A,8589,382,8664,51,6204,1,486,722
Charter Oak Unified (Los Angeles),Los Angeles,Unified School District,5739,6.3,43,42,95.31,40.9,195,0,26.6,13,72780,N/A,N/A,N/A,7396,227,7879,29,4797,35,538,596
Rowland Unified (Los Angeles),Los Angeles,Unified School District,15738,29.4,57.1,38,84.06,40.6,440,0,23.3,13,70536,N/A,N/A,N/A,8232,421,8826,0,5420,20,445,545
Dixon Unified (Solano),Solano,Unified School District,3592,21.5,48.4,40,80.49,40.1,110,0,24.2,13,62071,N/A,N/A,N/A,7064,298,7653,35,4550,0,677,497
Shoreline Unified (Marin),Marin,Unified School District,587,37.3,47.7,8,88.89,40,16,0,13.5,12,75481,N/A,N/A,N/A,18952,932,21878,243,11512,377,1308,2367
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,2689,12.6,64.8,36,89.18,39.8,86,0,22.6,14,68659,N/A,N/A,N/A,7924,331,7832,85,4718,0,614,769
Pacific Grove Unified (Monterey),Monterey,Unified School District,1956,8.3,17.2,38,95,39.7,52,0,18.8,11,76460,N/A,N/A,N/A,12871,556,12902,178,7541,0,1301,1196
Bassett Unified (Los Angeles),Los Angeles,Unified School District,4305,34.8,76.7,6,88.52,39.6,109,0,22.5,14,72860,N/A,N/A,N/A,9514,346,8904,88,5442,0,1045,644
Caruthers Unified (Fresno),Fresno,Unified School District,1326,40,79.8,25,94.02,39.6,44,0,18.8,11,56469,N/A,N/A,N/A,8314,476,9240,184,5184,0,757,644
Lakeport Unified (Lake),Lake,Unified School District,1566,7.8,54.7,43,93.55,39.5,47,0,20.8,13,55095,N/A,N/A,N/A,8029,317,8394,230,5099,0,631,780
Chino Valley Unified (San Bernardino),San Bernardino,Unified School District,31315,13.2,39.3,46,86.51,39.2,951,0,27,15,73776,N/A,N/A,N/A,7300,260,7722,104,4801,35,382,525
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,13256,11.3,64.6,28,92.88,39.2,481,0,23.6,11,69294,N/A,N/A,N/A,7882,261,8596,0,5079,1,574,538
Calipatria Unified (Imperial),Imperial,Unified School District,1192,37.5,78.5,15,93.42,39,30,0,19,10,57244,N/A,N/A,N/A,8292,762,8879,80,4878,1,781,836
Pomona Unified (Los Angeles),Los Angeles,Unified School District,27732,36.3,81.8,19,77.54,38.8,609,0,20.5,12,69612,N/A,N/A,N/A,8780,302,9223,20,5470,20,501,636
Newark Unified (Alameda),Alameda,Unified School District,6560,24,51.4,54,89.3,38.5,178,0,24.5,12,74342,N/A,N/A,N/A,7563,256,8367,39,4866,6,437,415
Washington Unified (Fresno),Fresno,Unified School District,3064,38.7,87.8,35,70.28,38.4,108,0,21,9,55852,N/A,N/A,N/A,10239,501,10533,227,5579,0,1050,1242
Sonoma Valley Unified (Sonoma),Sonoma,Unified School District,4673,31.7,55.9,38,90.26,38.2,108,0,20.2,12,60016,N/A,N/A,N/A,9582,313,9211,46,6809,0,449,800
Orange Unified (Orange),Orange,Unified School District,30136,22.8,45.6,45,93.35,38.1,891,0,25.3,11,70872,N/A,N/A,N/A,6959,232,8036,49,4732,9,245,565
Pierce Joint Unified (Colusa),Colusa,Unified School District,1332,33.2,66.1,30,90,38.1,32,0,20.9,10,59064,N/A,N/A,N/A,7283,497,8234,118,4490,20,687,514
Sierra Unified (Fresno),Fresno,Unified School District,1489,0.9,43.7,34,90.42,38.1,61,0,20.3,15,64234,N/A,N/A,N/A,10456,586,11363,0,6059,31,427,1325
Coast Unified (San Luis Obispo),San Luis Obispo,Unified School District,745,37.9,57.3,36,95.92,38,19,0,15.6,12,69223,N/A,N/A,N/A,14008,816,14338,193,8108,0,1630,1692
Fowler Unified (Fresno),Fresno,Unified School District,2352,25.6,76,23,95.51,38,65,0,21.5,12,58731,N/A,N/A,N/A,7612,388,7823,65,4983,4,376,700
Lynwood Unified (Los Angeles),Los Angeles,Unified School District,15515,38,87.3,7,71.11,37.9,359,0,26.2,12,69507,N/A,N/A,N/A,7902,346,8817,33,4752,34,756,451
Santa Clara Unified (Santa Clara),Santa Clara,Unified School District,15288,30.3,40.4,62,82.5,37.7,356,0,23.8,10,75370,N/A,N/A,N/A,8522,240,8688,0,5439,10,341,777
Travis Unified (Solano),Solano,Unified School District,5391,3.5,27,62,96.16,37.6,152,0,23.8,12,68143,N/A,N/A,N/A,7248,328,7608,43,4620,0,473,683
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,2366,29.8,83,27,86.41,37.5,63,0,28.7,14,61950,N/A,N/A,N/A,6675,398,8529,75,4232,0,543,665
Los Molinos Unified (Tehama),Tehama,Unified School District,576,9.7,70.1,38,90.38,37.5,18,0,19.6,12,N/A,N/A,N/A,N/A,9302,655,9464,182,5482,2,1032,806
San Lorenzo Unified (Alameda),Alameda,Unified School District,12123,27.4,60.8,51,82.21,37.5,325,0,22.9,10,70729,N/A,N/A,N/A,7709,255,8255,30,5153,3,452,486
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,9953,22.5,63.3,3,87.72,37.4,288,0,23.6,15,67619,N/A,N/A,N/A,8670,295,8317,31,5664,0,487,725
Lucia Mar Unified (San Luis Obispo),San Luis Obispo,Unified School District,10588,14.4,48.3,40,89.79,37.1,296,0,22.2,13,60291,N/A,N/A,N/A,7219,297,8027,85,5039,10,396,563
Duarte Unified (Los Angeles),Los Angeles,Unified School District,3868,23.9,65.8,29,91.72,37,117,0,24.9,12,66779,N/A,N/A,N/A,8259,359,8485,75,5448,4,745,424
Los Angeles Unified (Los Angeles),Los Angeles,Unified School District,662140,27.3,74,30,66.63,36.8,13807,0,21,13,66851,N/A,N/A,N/A,10004,422,10738,198,6645,25,459,880
Mammoth Unified (Mono),Mono,Unified School District,1163,37.6,46.2,6,77.17,36.8,28,0,17.9,8,N/A,N/A,N/A,N/A,10080,393,11602,136,6458,0,916,702
Norwalk-La Mirada Unified (Los Angeles),Los Angeles,Unified School District,20208,17.2,68.6,24,92.43,36.8,531,0,24,14,72711,N/A,N/A,N/A,8458,333,8629,28,5459,7,398,590
Bonita Unified (Los Angeles),Los Angeles,Unified School District,9870,5.7,32.6,47,96.8,36.7,322,0,24.8,12,71583,N/A,N/A,N/A,7491,273,7858,99,4844,6,504,570
Long Beach Unified (Los Angeles),Los Angeles,Unified School District,83691,22.3,68.1,49,80.13,36.7,2070,0,24.9,16,77436,N/A,N/A,N/A,8501,196,8673,10,5665,77,351,633
Washington Unified (Yolo),Yolo,Unified School District,7574,20.5,70.3,54,84.96,36.7,169,0,20.3,9,58887,N/A,N/A,N/A,7748,326,8123,44,4826,0,629,623
Woodland Joint Unified (Yolo),Yolo,Unified School District,10255,27.1,63.8,35,87.85,36.6,245,0,22.5,12,62245,N/A,N/A,N/A,7580,321,8142,39,4577,14,485,788
West Contra Costa Unified (Contra Costa),Contra Costa,Unified School District,29883,32.7,63.9,52,75.72,36.5,615,0,20.9,10,55097,N/A,N/A,N/A,8764,389,9692,261,5411,5,524,907
Ventura Unified (Ventura),Ventura,Unified School District,17429,14.8,50.3,42,86.43,36.4,426,0,23.3,13,65405,N/A,N/A,N/A,7782,270,8117,49,4842,16,397,695
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,1506,8.8,36.1,34,80.72,36,50,0,24.5,10,67386,N/A,N/A,N/A,8345,356,8314,84,5046,0,806,898
Fresno Unified (Fresno),Fresno,Unified School District,74235,23.2,80,40,74.98,36,1488,0,21.7,15,65613,N/A,N/A,N/A,8547,391,9595,148,5598,15,352,796
Monterey Peninsula Unified (Monterey),Monterey,Unified School District,10956,29.5,60.4,51,84.19,35.8,247,0,19.9,9,58394,N/A,N/A,N/A,9676,644,9941,48,5907,24,555,695
Emery Unified (Alameda),Alameda,Unified School District,721,15.8,80.7,45,73.17,35.5,11,0,16.8,5,N/A,N/A,N/A,N/A,14558,412,15393,203,8170,0,1767,856
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,370,1.4,67.3,25,61.54,redacted,redacted,0,13.2,16,62512,N/A,N/A,N/A,12166,626,12426,317,7189,0,1112,1476
Rim of the World Unified (San Bernardino),San Bernardino,Unified School District,4128,10.2,48.4,34,78.43,35.3,101,0,22.8,15,62115,N/A,N/A,N/A,7826,291,8510,47,4964,28,502,904
Lodi Unified (San Joaquin),San Joaquin,Unified School District,30319,25.1,64,58,81.06,35.2,652,0,22,12,60967,N/A,N/A,N/A,8000,593,8301,29,5471,0,497,507
Yuba City Unified (Sutter),Sutter,Unified School District,13228,18.8,63.2,54,84.5,34.9,282,0,21.1,11,58221,N/A,N/A,N/A,7573,350,8041,62,4970,0,424,602
Dinuba Unified (Tulare),Tulare,Unified School District,6151,30.2,73.3,9,95.08,34.7,172,0,19.8,11,61792,N/A,N/A,N/A,7914,296,8787,94,5257,80,379,709
Riverside Unified (Riverside),Riverside,Unified School District,42403,16.3,62.8,42,81.84,34.6,1065,0,25.1,14,72235,N/A,N/A,N/A,7659,373,7968,61,5098,1,338,554
Durham Unified (Butte),Butte,Unified School District,1023,8.8,37.8,26,97.56,34.5,30,0,20.1,16,64405,N/A,N/A,N/A,8160,405,8274,144,5255,0,585,722
Tracy Joint Unified (San Joaquin),San Joaquin,Unified School District,17422,22.5,44.6,55,86.97,34.3,505,0,24,11,66435,N/A,N/A,N/A,7125,281,7633,65,4735,8,329,540
Santa Ana Unified (Orange),Orange,Unified School District,57250,51.3,75.7,8,85.24,34.2,1255,0,23.7,13,78135,N/A,N/A,N/A,9098,364,9206,85,6178,1,364,614
Scott Valley Unified (Siskiyou),Siskiyou,Unified School District,672,3.3,60.4,34,97.62,34.1,14,0,16.6,11,N/A,N/A,N/A,N/A,10438,970,12079,596,5848,0,989,1063
Hilmar Unified (Merced),Merced,Unified School District,2277,23.4,56.3,35,94.32,33.7,57,0,19.9,15,62070,N/A,N/A,N/A,7821,470,7976,140,5127,13,498,722
Gilroy Unified (Santa Clara),Santa Clara,Unified School District,11290,24.7,55.3,30,85.33,33.6,250,0,22.6,11,63338,N/A,N/A,N/A,7575,291,7852,78,4814,24,412,716
Napa Valley Unified (Napa),Napa,Unified School District,18078,20.5,42.5,46,87.54,33.4,383,0,22.7,11,65647,N/A,N/A,N/A,6609,286,7081,46,4315,2,181,576
Healdsburg Unified (Sonoma),Sonoma,Unified School District,1919,35.9,54.2,34,90.38,33.2,65,0,22.4,14,59467,N/A,N/A,N/A,8222,236,10516,20,5936,0,600,525
Mt. Diablo Unified (Contra Costa),Contra Costa,Unified School District,33987,21.1,37.9,52,81.15,33.1,796,0,22.2,11,63291,N/A,N/A,N/A,8466,343,8636,46,5731,18,315,867
Burbank Unified (Los Angeles),Los Angeles,Unified School District,16670,10.3,38.1,47,93.23,33,548,0,23.7,12,69847,N/A,N/A,N/A,7519,289,7697,58,4977,5,607,479
Firebaugh-Las Deltas Unified (Fresno),Fresno,Unified School District,2232,33.6,87.9,7,90.45,32.9,54,0,22.8,11,57205,N/A,N/A,N/A,7977,740,8449,129,4419,10,566,760
Fairfield-Suisun Unified (Solano),Solano,Unified School District,21577,13.2,53.3,67,87.59,32.8,432,0,24.5,12,64449,N/A,N/A,N/A,6945,217,7583,27,4334,5,443,488
Paso Robles Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,6747,20.3,46.7,40,85.94,32.8,160,0,22.5,14,67029,N/A,N/A,N/A,7953,279,8491,60,5285,6,474,831
Lincoln Unified (San Joaquin),San Joaquin,Unified School District,8981,15,53.5,59,88.37,32.7,198,0,22.8,12,61142,N/A,N/A,N/A,6850,326,7369,45,4758,2,389,459
Turlock Unified (Stanislaus),Stanislaus,Unified School District,13735,26.7,59,41,89.39,32.7,332,0,22.1,13,71078,N/A,N/A,N/A,7769,374,8400,58,5670,0,381,373
Carpinteria Unified (Santa Barbara),Santa Barbara,Unified School District,2337,36.4,61.2,28,87.88,32.4,56,0,21.7,12,N/A,N/A,N/A,N/A,9505,520,10253,321,5223,487,577,966
Downey Unified (Los Angeles),Los Angeles,Unified School District,22782,15.6,70.3,16,90.87,32.3,619,0,25.2,14,78891,N/A,N/A,N/A,7492,259,7757,21,5385,0,420,544
Visalia Unified (Tulare),Tulare,Unified School District,27268,16.5,58.4,38,86.81,32.3,594,0,25,13,62232,N/A,N/A,N/A,6846,359,8030,101,4528,0,285,482
Lake Tahoe Unified (El Dorado),El Dorado,Unified School District,3858,26.6,60.3,42,89.91,32,96,0,20.7,14,65697,N/A,N/A,N/A,8982,420,9189,102,5686,0,589,797
San Gabriel Unified (Los Angeles),Los Angeles,Unified School District,6728,28.9,56,46,89.16,32,247,0,24.1,8,66371,N/A,N/A,N/A,7819,344,8379,38,4880,0,664,675
San Juan Unified (Sacramento),Sacramento,Unified School District,47245,9.9,40.4,40,80.57,32,1220,0,22.6,13,71297,N/A,N/A,N/A,8415,372,8734,42,5501,32,372,598
San Leandro Unified (Alameda),Alameda,Unified School District,8870,25.2,64,59,83.09,31.9,209,0,22.1,10,75133,N/A,N/A,N/A,7745,228,7859,28,5353,0,285,496
Central Unified (Fresno),Fresno,Unified School District,14896,13.1,67.2,49,77.48,31.7,268,0,24,10,63313,N/A,N/A,N/A,7243,368,7495,87,4230,20,403,873
Imperial Unified (Imperial),Imperial,Unified School District,3695,24.2,40.9,24,93.9,31.7,63,0,23.5,9,72286,N/A,N/A,N/A,6961,282,7243,74,4569,0,404,650
Yucaipa-Calimesa Joint Unified (San Bernardino),San Bernardino,Unified School District,9655,10.3,48.3,37,88.92,31.6,236,0,23.2,11,71729,N/A,N/A,N/A,7822,230,8243,62,5002,0,483,728
Desert Sands Unified (Riverside),Riverside,Unified School District,29199,22.7,66.5,30,85.91,31.5,653,0,25.2,12,72938,N/A,N/A,N/A,8354,413,8879,145,5317,1,388,755
Alvord Unified (Riverside),Riverside,Unified School District,19741,41.6,75,25,78.52,31.3,361,0,26.5,12,76251,N/A,N/A,N/A,7488,234,7675,29,4970,0,375,521
Ripon Unified (San Joaquin),San Joaquin,Unified School District,3085,13.5,40.3,38,88.02,31.1,60,0,25.7,14,62188,N/A,N/A,N/A,6148,304,7274,29,4125,123,478,545
Simi Valley Unified (Ventura),Ventura,Unified School District,19430,10.2,31.3,41,85.61,31.1,432,0,23,13,68242,N/A,N/A,N/A,7901,211,7792,70,5337,22,407,530
Ceres Unified (Stanislaus),Stanislaus,Unified School District,12532,29.6,77.2,32,86.49,30.8,231,0,23.6,12,67131,N/A,N/A,N/A,7694,334,8376,34,4969,0,325,567
Laytonville Unified (Mendocino),Mendocino,Unified School District,400,4.8,59.8,33,92.31,redacted,redacted,0,16.7,11,55194,N/A,N/A,N/A,11415,498,12434,334,6429,37,1123,1748
Jurupa Unified (Riverside),Riverside,Unified School District,19884,34.8,74.5,20,82.13,30.7,399,0,24,13,74002,N/A,N/A,N/A,7756,332,8240,41,5301,1,275,624
Lindsay Unified (Tulare),Tulare,Unified School District,4168,51.8,74.7,10,73.84,30.7,73,0,23,7,57112,N/A,N/A,N/A,8825,566,10247,34,5337,17,681,957
Hughson Unified (Stanislaus),Stanislaus,Unified School District,2153,26.2,53.1,37,85.19,30.6,57,0,21.9,12,67014,N/A,N/A,N/A,7927,416,8899,549,5507,0,672,447
Lompoc Unified (Santa Barbara),Santa Barbara,Unified School District,9802,22.3,57.6,41,87.2,30.5,186,0,20.3,13,66811,N/A,N/A,N/A,8196,310,8211,118,5094,0,561,733
Mendota Unified (Fresno),Fresno,Unified School District,2873,77.2,93.6,0,87.42,30.5,40,0,24.4,9,58047,N/A,N/A,N/A,7749,629,8853,0,5394,0,629,455
Gonzales Unified (Monterey),Monterey,Unified School District,2368,44.2,85.8,5,87.95,30.3,47,0,22.8,10,63570,N/A,N/A,N/A,8087,416,9056,64,4881,0,783,765
Beaumont Unified (Riverside),Riverside,Unified School District,8660,13.9,55.8,46,86.93,30.2,153,0,25.6,9,66879,N/A,N/A,N/A,6901,288,7290,58,4293,3,481,555
Val Verde Unified (Riverside),Riverside,Unified School District,19613,25,71.9,28,89.52,30.1,434,0,25.3,8,69202,N/A,N/A,N/A,7538,299,8282,46,5312,0,531,623
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,321,22.4,68.5,39,73.33,redacted,redacted,0,14.7,10,53342,N/A,N/A,N/A,12186,865,14145,481,6463,0,1070,1593
Laton Joint Unified (Fresno),Fresno,Unified School District,695,43,74.4,0,81.63,30,12,0,16.9,9,52367,N/A,N/A,N/A,8029,766,9757,116,5614,0,749,257
Big Valley Joint Unified (Lassen),Lassen,Unified School District,210,4.8,85.2,21,94.74,redacted,redacted,0,14,14,50407,N/A,N/A,N/A,10472,741,11303,225,5365,0,1047,1108
Calexico Unified (Imperial),Imperial,Unified School District,9216,62.1,74.7,1,78.69,29.4,184,0,24.7,12,66138,N/A,N/A,N/A,7762,281,8524,105,4838,0,482,577
El Tejon Unified (Kern),Kern,Unified School District,1020,11,43.9,40,77.78,29.3,24,0,24.6,13,62988,N/A,N/A,N/A,8753,488,9608,452,4833,434,709,1106
Hacienda la Puente Unified (Los Angeles),Los Angeles,Unified School District,20849,19.2,74.7,22,89.73,29.2,445,0,22.3,11,67036,N/A,N/A,N/A,8286,363,9268,63,5116,3,519,544
Southern Humboldt Joint Unified (Humboldt),Humboldt,Unified School District,766,3.7,50.8,23,87.04,29.2,14,0,19.5,12,50608,N/A,N/A,N/A,10639,615,11816,62,6587,20,572,2466
Patterson Joint Unified (Stanislaus),Stanislaus,Unified School District,5834,33.1,63.5,33,81.46,29.1,104,0,24.4,9,60471,N/A,N/A,N/A,6753,387,7922,38,4540,23,464,530
West Covina Unified (Los Angeles),Los Angeles,Unified School District,15302,7.1,60.9,44,95.12,28.5,271,0,24.5,8,67617,N/A,N/A,N/A,7969,336,7951,48,4974,0,542,557
Marysville Joint Unified (Yuba),Yuba,Unified School District,9782,22.8,77.1,52,76.9,28.4,170,0,22.2,12,62968,N/A,N/A,N/A,8193,522,8864,26,5138,0,546,872
Upland Unified (San Bernardino),San Bernardino,Unified School District,11927,13.5,57.5,48,93.8,28.4,251,0,24.1,14,73620,N/A,N/A,N/A,7406,217,7401,33,5280,79,312,446
Vacaville Unified (Solano),Solano,Unified School District,12561,10,38.3,49,82.56,28.4,273,0,23,13,62163,N/A,N/A,N/A,7003,210,7326,30,4545,0,281,756
Kerman Unified (Fresno),Fresno,Unified School District,4749,28.1,82.3,20,84.39,28.3,73,0,25.3,10,N/A,N/A,N/A,N/A,6859,355,7490,78,4245,0,596,604
Middletown Unified (Lake),Lake,Unified School District,1697,7.3,44.5,29,89.61,28.2,40,0,20.8,13,57626,N/A,N/A,N/A,7897,361,8230,106,5292,0,555,1040
Silver Valley Unified (San Bernardino),San Bernardino,Unified School District,2435,3.5,53.1,52,85.34,28.2,31,0,18.3,7,58542,N/A,N/A,N/A,12609,692,12006,0,7019,4,1347,1253
Inglewood Unified (Los Angeles),Los Angeles,Unified School District,14275,25.1,72.2,35,76.22,28.1,255,0,26.2,11,65314,N/A,N/A,N/A,8258,342,8782,0,5031,7,533,572
Newman-Crows Landing Unified (Stanislaus),Stanislaus,Unified School District,2819,33,64.9,28,91.39,28,53,0,23.6,10,66846,N/A,N/A,N/A,7850,447,7979,106,5397,0,613,366
