District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
La Honda-Pescadero Unified (San Mateo),San Mateo,Unified School District,324,48.1,55.9,33,75,redacted,redacted,0,13.7,8,56087,N/A,N/A,N/A,14695,314,15987,174,8676,0,1655,787
Maricopa Unified (Kern),Kern,Unified School District,857,3.5,62.5,34,62.5,redacted,redacted,0,19.5,3,N/A,N/A,N/A,N/A,11730,646,12716,36,7487,50,1449,1026
Mattole Unified (Humboldt),Humboldt,Unified School District,724,0.7,49.6,24,67.68,redacted,redacted,0,14.3,6,N/A,N/A,N/A,N/A,20650,770,26472,0,11463,364,2723,1508
Owens Valley Unified (Inyo),Inyo,Unified School District,67,9,50.8,50,100,redacted,redacted,0,9.2,13,75078,N/A,N/A,N/A,23567,972,22153,0,14737,207,3115,724
Reef-Sunset Unified (Kings),Kings,Unified School District,2610,52.4,96.8,4,83.33,redacted,redacted,0,21.5,10,59820,N/A,N/A,N/A,8443,777,8447,16,5207,35,615,512
Round Valley Unified (Mendocino),Mendocino,Unified School District,407,7.1,95.3,33,55.56,redacted,redacted,0,16.4,9,53393,N/A,N/A,N/A,18161,909,19029,405,9123,0,2604,2572
Southern Trinity Joint Unified (Trinity),Trinity,Unified School District,118,0,81.4,17,83.33,redacted,redacted,0,12.4,10,51005,N/A,N/A,N/A,20191,1494,21361,527,10594,0,1782,3220
Stony Creek Joint Unified (Glenn),Glenn,Unified School District,113,0.9,46,40,77.78,redacted,redacted,0,12.6,4,N/A,N/A,N/A,N/A,18326,929,20399,525,8313,0,1835,3466
Trona Joint Unified (San Bernardino),San Bernardino,Unified School District,266,0,67.7,43,90.91,redacted,redacted,0,13,14,62693,N/A,N/A,N/A,15691,1047,24172,6,9551,273,1545,1403
Alpine County Unified (Alpine),Alpine,Unified School District,97,0,55.7,45,0,N/A,N/A,0,9.7,11,N/A,N/A,N/A,N/A,29993,1648,31842,39,12388,0,6020,4055
Desert Center Unified (Riverside),Riverside,Unified School District,20,0,90,39,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,27144,3150,28992,0,9311,0,3823,5806
Lammersville Joint Unified (San Joaquin),San Joaquin,Unified School District,2162,12.3,22.6,69,N/A,N/A,N/A,0,22,6,54927,N/A,N/A,N/A,6078,197,6692,6,4113,0,406,356
Sunol Glen Unified (Alameda),Alameda,Unified School District,264,5.3,9.1,46,N/A,N/A,N/A,0,22.4,4,N/A,N/A,N/A,N/A,7793,354,8820,256,4334,0,600,252
,,,,,,,,,,,,,,,,,,,,,,,,
