Calculation1,City,County/State/ Territory,Count,Gender,School,Pivot Field Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Unknown,A B MILLER HIGH SCHOOL,7
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Unknown,A B MILLER HIGH SCHOOL,20
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Unknown,A B MILLER HIGH SCHOOL,21
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Male,A B MILLER HIGH SCHOOL,6
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Male,A B MILLER HIGH SCHOOL,13
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Male,A B MILLER HIGH SCHOOL,16
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Female,A B MILLER HIGH SCHOOL,21
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Female,A B MILLER HIGH SCHOOL,35
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Female,A B MILLER HIGH SCHOOL,51
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,All,A B MILLER HIGH SCHOOL,34
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,All,A B MILLER HIGH SCHOOL,68
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,All,A B MILLER HIGH SCHOOL,88
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,11
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,13
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,21
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,22
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,26
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,40
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,33
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,39
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,All,ABRAHAM LINCOLN HIGH SCHOOL,61
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,43
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,64
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,116
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,45
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,67
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,125
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,89
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,132
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,All,ABRAHAM LINCOLN HIGH SCHOOL,242
