Calculation1,City,County/State/ Territory,Count,Gender,School,Pivot Field Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Male,A B MILLER HIGH SCHOOL,15
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Male,A B MILLER HIGH SCHOOL,30
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Male,A B MILLER HIGH SCHOOL,44
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Female,A B MILLER HIGH SCHOOL,19
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Female,A B MILLER HIGH SCHOOL,42
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Female,A B MILLER HIGH SCHOOL,57
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,All,A B MILLER HIGH SCHOOL,34
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,All,A B MILLER HIGH SCHOOL,72
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,All,A B MILLER HIGH SCHOOL,101
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,19
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,21
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,33
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,31
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,43
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,57
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,50
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,64
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,All,ABRAHAM LINCOLN HIGH SCHOOL,90
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,44
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,57
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,102
