Calculation1,City,County/State/ Territory,Count,Gender,School,Pivot Field Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Unknown,A B MILLER HIGH SCHOOL,6
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Unknown,A B MILLER HIGH SCHOOL,7
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Male,A B MILLER HIGH SCHOOL,8
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Male,A B MILLER HIGH SCHOOL,21
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Male,A B MILLER HIGH SCHOOL,27
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Female,A B MILLER HIGH SCHOOL,13
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Female,A B MILLER HIGH SCHOOL,29
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Female,A B MILLER HIGH SCHOOL,41
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,All,A B MILLER HIGH SCHOOL,22
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,All,A B MILLER HIGH SCHOOL,56
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,All,A B MILLER HIGH SCHOOL,75
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,5
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,7
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,19
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,15
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,27
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,43
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,20
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,34
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,All,ABRAHAM LINCOLN HIGH SCHOOL,62
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,52
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,76
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,116
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,49
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,73
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,131
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,103
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,151
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,All,ABRAHAM LINCOLN HIGH SCHOOL,250
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,9
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,22
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,38
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,17
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,36
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,62
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,26
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,58
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,All,ABRAHAM LINCOLN HIGH SCHOOL,100
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Enr,Male,ACAD FOR ACADEMIC EXCELLENCE,3
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,Male,ACAD FOR ACADEMIC EXCELLENCE,4
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,Male,ACAD FOR ACADEMIC EXCELLENCE,11
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Enr,Female,ACAD FOR ACADEMIC EXCELLENCE,4
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,Female,ACAD FOR ACADEMIC EXCELLENCE,7
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,Female,ACAD FOR ACADEMIC EXCELLENCE,11
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Enr,All,ACAD FOR ACADEMIC EXCELLENCE,7
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,All,ACAD FOR ACADEMIC EXCELLENCE,11
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,All,ACAD FOR ACADEMIC EXCELLENCE,22
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Male,ACADEMIA AVANCE CHARTER SCHOOL,3
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Male,ACADEMIA AVANCE CHARTER SCHOOL,9
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Female,ACADEMIA AVANCE CHARTER SCHOOL,5
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Female,ACADEMIA AVANCE CHARTER SCHOOL,9
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,All,ACADEMIA AVANCE CHARTER SCHOOL,4
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,All,ACADEMIA AVANCE CHARTER SCHOOL,8
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,All,ACADEMIA AVANCE CHARTER SCHOOL,18
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Male,ACADEMIC LEADERSHIP COMMUNITY,3
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Male,ACADEMIC LEADERSHIP COMMUNITY,8
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,Female,ACADEMIC LEADERSHIP COMMUNITY,11
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Female,ACADEMIC LEADERSHIP COMMUNITY,17
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Female,ACADEMIC LEADERSHIP COMMUNITY,24
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,All,ACADEMIC LEADERSHIP COMMUNITY,13
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,All,ACADEMIC LEADERSHIP COMMUNITY,20
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,All,ACADEMIC LEADERSHIP COMMUNITY,33
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Enr,Male,ACADEMY OF THE CANYONS,8
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Adm,Male,ACADEMY OF THE CANYONS,9
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,App,Male,ACADEMY OF THE CANYONS,12
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Enr,Female,ACADEMY OF THE CANYONS,21
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Adm,Female,ACADEMY OF THE CANYONS,28
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,App,Female,ACADEMY OF THE CANYONS,43
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Enr,All,ACADEMY OF THE CANYONS,29
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,Adm,All,ACADEMY OF THE CANYONS,37
ACADEMY OF THE CANYONS53262,Santa Clarita,Los Angeles,App,All,ACADEMY OF THE CANYONS,55
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,Adm,Male,ACADEMY OF THE REDWOODS,3
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,App,Male,ACADEMY OF THE REDWOODS,5
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,Enr,Female,ACADEMY OF THE REDWOODS,3
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,Adm,Female,ACADEMY OF THE REDWOODS,3
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,App,Female,ACADEMY OF THE REDWOODS,6
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,Enr,All,ACADEMY OF THE REDWOODS,5
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,Adm,All,ACADEMY OF THE REDWOODS,6
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,App,All,ACADEMY OF THE REDWOODS,11
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,Enr,Male,ACALANES HIGH SCHOOL,21
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,Adm,Male,ACALANES HIGH SCHOOL,42
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,App,Male,ACALANES HIGH SCHOOL,94
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,Enr,Female,ACALANES HIGH SCHOOL,26
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,Adm,Female,ACALANES HIGH SCHOOL,51
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,App,Female,ACALANES HIGH SCHOOL,89
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,Enr,All,ACALANES HIGH SCHOOL,47
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,Adm,All,ACALANES HIGH SCHOOL,93
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,App,All,ACALANES HIGH SCHOOL,183
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,Enr,Male,ADOLFO CAMARILLO HIGH SCHOOL,11
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,Adm,Male,ADOLFO CAMARILLO HIGH SCHOOL,19
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,App,Male,ADOLFO CAMARILLO HIGH SCHOOL,49
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,Enr,Female,ADOLFO CAMARILLO HIGH SCHOOL,25
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,Adm,Female,ADOLFO CAMARILLO HIGH SCHOOL,36
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,App,Female,ADOLFO CAMARILLO HIGH SCHOOL,66
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,Enr,All,ADOLFO CAMARILLO HIGH SCHOOL,36
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,Adm,All,ADOLFO CAMARILLO HIGH SCHOOL,55
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,App,All,ADOLFO CAMARILLO HIGH SCHOOL,115
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,Enr,Male,ADRIAN C WILCOX HIGH SCHOOL,28
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,Adm,Male,ADRIAN C WILCOX HIGH SCHOOL,53
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,App,Male,ADRIAN C WILCOX HIGH SCHOOL,73
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,Enr,Female,ADRIAN C WILCOX HIGH SCHOOL,30
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,Adm,Female,ADRIAN C WILCOX HIGH SCHOOL,45
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,App,Female,ADRIAN C WILCOX HIGH SCHOOL,63
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,Enr,All,ADRIAN C WILCOX HIGH SCHOOL,58
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,Adm,All,ADRIAN C WILCOX HIGH SCHOOL,99
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,App,All,ADRIAN C WILCOX HIGH SCHOOL,137
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,Enr,Male,AGOURA HIGH SCHOOL,20
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,Adm,Male,AGOURA HIGH SCHOOL,38
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,App,Male,AGOURA HIGH SCHOOL,68
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,Enr,Female,AGOURA HIGH SCHOOL,29
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,Adm,Female,AGOURA HIGH SCHOOL,52
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,App,Female,AGOURA HIGH SCHOOL,91
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,Enr,All,AGOURA HIGH SCHOOL,49
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,Adm,All,AGOURA HIGH SCHOOL,91
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,App,All,AGOURA HIGH SCHOOL,160
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,Enr,Male,ALAMEDA COMMUNITY LEARNING CTR,4
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,Adm,Male,ALAMEDA COMMUNITY LEARNING CTR,6
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,App,Male,ALAMEDA COMMUNITY LEARNING CTR,10
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,Enr,Female,ALAMEDA COMMUNITY LEARNING CTR,5
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,Adm,Female,ALAMEDA COMMUNITY LEARNING CTR,8
