Calculation1,City,County/State/ Territory,Count,Gender,School,Pivot Field Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Male,A B MILLER HIGH SCHOOL,9
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Male,A B MILLER HIGH SCHOOL,16
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Male,A B MILLER HIGH SCHOOL,31
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Female,A B MILLER HIGH SCHOOL,13
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Female,A B MILLER HIGH SCHOOL,26
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Female,A B MILLER HIGH SCHOOL,44
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,All,A B MILLER HIGH SCHOOL,22
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,All,A B MILLER HIGH SCHOOL,42
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,All,A B MILLER HIGH SCHOOL,76
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,20
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,25
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,39
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,16
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,24
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,43
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,36
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,49
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,All,ABRAHAM LINCOLN HIGH SCHOOL,82
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,36
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,45
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,90
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,35
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,55
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,94
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,71
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,100
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,All,ABRAHAM LINCOLN HIGH SCHOOL,184
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,8
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,18
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,33
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,11
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,27
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,45
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,19
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,45
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,App,All,ABRAHAM LINCOLN HIGH SCHOOL,78
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,Male,ACAD FOR ACADEMIC EXCELLENCE,4
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,Male,ACAD FOR ACADEMIC EXCELLENCE,11
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,Female,ACAD FOR ACADEMIC EXCELLENCE,4
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,Female,ACAD FOR ACADEMIC EXCELLENCE,12
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,Adm,All,ACAD FOR ACADEMIC EXCELLENCE,8
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,All,ACAD FOR ACADEMIC EXCELLENCE,23
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,Male,ACADEMIA AVANCE CHARTER SCHOOL,6
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Male,ACADEMIA AVANCE CHARTER SCHOOL,7
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Male,ACADEMIA AVANCE CHARTER SCHOOL,12
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Female,ACADEMIA AVANCE CHARTER SCHOOL,5
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,All,ACADEMIA AVANCE CHARTER SCHOOL,8
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,All,ACADEMIA AVANCE CHARTER SCHOOL,9
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,All,ACADEMIA AVANCE CHARTER SCHOOL,17
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Male,ACADEMIC LEADERSHIP COMMUNITY,3
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Male,ACADEMIC LEADERSHIP COMMUNITY,6
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Female,ACADEMIC LEADERSHIP COMMUNITY,4
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Female,ACADEMIC LEADERSHIP COMMUNITY,14
