Calculation1,City,County/State/ Territory,Count,Gender,School,Pivot Field Values
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,App,All,ACAD FOR ACADEMIC EXCELLENCE,27
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Male,ACADEMIA AVANCE CHARTER SCHOOL,4
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Male,ACADEMIA AVANCE CHARTER SCHOOL,12
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,Female,ACADEMIA AVANCE CHARTER SCHOOL,7
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,Female,ACADEMIA AVANCE CHARTER SCHOOL,19
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,Female,ACADEMIA AVANCE CHARTER SCHOOL,23
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Enr,All,ACADEMIA AVANCE CHARTER SCHOOL,9
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,Adm,All,ACADEMIA AVANCE CHARTER SCHOOL,23
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Los Angeles,App,All,ACADEMIA AVANCE CHARTER SCHOOL,35
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Male,ACADEMIC LEADERSHIP COMMUNITY,4
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Male,ACADEMIC LEADERSHIP COMMUNITY,6
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,Female,ACADEMIC LEADERSHIP COMMUNITY,4
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,Female,ACADEMIC LEADERSHIP COMMUNITY,7
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,App,Female,ACADEMIC LEADERSHIP COMMUNITY,12
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Enr,All,ACADEMIC LEADERSHIP COMMUNITY,6
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Los Angeles,Adm,All,ACADEMIC LEADERSHIP COMMUNITY,11
