Calculation1,City,County/State/ Territory,Count,Gender,School,Pivot Field Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Male,A B MILLER HIGH SCHOOL,12
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Male,A B MILLER HIGH SCHOOL,18
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Male,A B MILLER HIGH SCHOOL,29
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Female,A B MILLER HIGH SCHOOL,21
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Female,A B MILLER HIGH SCHOOL,35
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Female,A B MILLER HIGH SCHOOL,53
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,All,A B MILLER HIGH SCHOOL,33
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,All,A B MILLER HIGH SCHOOL,53
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,All,A B MILLER HIGH SCHOOL,82
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,21
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,27
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,45
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,38
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,46
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,76
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,59
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,Adm,All,ABRAHAM LINCOLN HIGH SCHOOL,73
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,App,All,ABRAHAM LINCOLN HIGH SCHOOL,121
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Male,ABRAHAM LINCOLN HIGH SCHOOL,31
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Male,ABRAHAM LINCOLN HIGH SCHOOL,39
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Male,ABRAHAM LINCOLN HIGH SCHOOL,57
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,Female,ABRAHAM LINCOLN HIGH SCHOOL,60
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Adm,Female,ABRAHAM LINCOLN HIGH SCHOOL,70
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,App,Female,ABRAHAM LINCOLN HIGH SCHOOL,100
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,Enr,All,ABRAHAM LINCOLN HIGH SCHOOL,91
