School Name,District Name (School),School Type (School),County Name (School)
Apple Valley High (Apple Valley Unified),Apple Valley Unified,High School,San Bernardino
Applied Technology Center (Montebello Unified),Montebello Unified,High School,Los Angeles
Aptos High (Pajaro Valley Unified),Pajaro Valley Unified,High School,Santa Cruz
Aragon High (San Mateo Union High),San Mateo Union High,High School,San Mateo
Arcadia High (Arcadia Unified),Arcadia Unified,High School,Los Angeles
Arcata High (Northern Humboldt Union High),Northern Humboldt Union High,High School,Humboldt
"Architecture, Construction & Engineering Charter High (ACE) (Oxnard Union High)",Oxnard Union High,High School,Ventura
Argonaut High (Amador County Unified),Amador County Unified,High School,Amador
ARISE High (Oakland Unified),Oakland Unified,High School,Alameda
Arleta High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Arlington High (Riverside Unified),Riverside Unified,High School,Riverside
Armijo High (Fairfield-Suisun Unified),Fairfield-Suisun Unified,High School,Solano
Arnold O. Beckman High (Tustin Unified),Tustin Unified,High School,Orange
Arroyo Grande High (Lucia Mar Unified),Lucia Mar Unified,High School,San Luis Obispo
Arroyo High (El Monte Union High),El Monte Union High,High School,Los Angeles
Arroyo High (San Lorenzo Unified),San Lorenzo Unified,High School,Alameda
Arroyo Paseo Charter High (San Diego Unified),San Diego Unified,High School,San Diego
Arroyo Valley High (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
Artesia High (ABC Unified),ABC Unified,High School,Los Angeles
Arthur A. Benjamin Health Professions High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
Arvin High (Kern High),Kern High,High School,Kern
Atascadero High (Atascadero Unified),Atascadero Unified,High School,San Luis Obispo
Atwater High (Merced Union High),Merced Union High,High School,Merced
Audeo Charter School III (Escondido Union High),Escondido Union High,High School,San Diego
Augustus F. Hawkins High A Critical Design and Gaming (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Augustus F. Hawkins High B Community Health Advocates (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Avenal High (Reef-Sunset Unified),Reef-Sunset Unified,High School,Kings
Azusa High (Azusa Unified),Azusa Unified,High School,Los Angeles
B. Roberto Cruz Leadership Academy (East Side Union High),East Side Union High,High School,Santa Clara
Baker High (Baker Valley Unified),Baker Valley Unified,High School,San Bernardino
Bakersfield High (Kern High),Kern High,High School,Kern
Balboa High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Baldwin Park High (Baldwin Park Unified),Baldwin Park Unified,High School,Los Angeles
Banning Academies of Creative and Innovative Sciences (BACIS) (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Banning High (Banning Unified),Banning Unified,High School,Riverside
Barstow High (Barstow Unified),Barstow Unified,High School,San Bernardino
Bassett Senior High (Bassett Unified),Bassett Unified,High School,Los Angeles
be.tech (Manteca Unified),Manteca Unified,High School,San Joaquin
Bear Creek High (Lodi Unified),Lodi Unified,High School,San Joaquin
Bear River High (Nevada Joint Union High),Nevada Joint Union High,High School,Nevada
Beaumont Senior High (Beaumont Unified),Beaumont Unified,High School,Riverside
Bell Gardens High (Montebello Unified),Montebello Unified,High School,Los Angeles
Bell Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Bella Vista High (San Juan Unified),San Juan Unified,High School,Sacramento
Bellflower High (Bellflower Unified),Bellflower Unified,High School,Los Angeles
Belmont Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Benicia High (Benicia Unified),Benicia Unified,High School,Solano
Berkeley High (Berkeley Unified),Berkeley Unified,High School,Alameda
Bert Corona Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Beverly Hills High (Beverly Hills Unified),Beverly Hills Unified,High School,Los Angeles
Big Bear High (Bear Valley Unified),Bear Valley Unified,High School,San Bernardino
Big Picture Educational Academy (Fresno County Office of Education),Fresno County Office of Education,High School,Fresno
Big Pine High (Big Pine Unified),Big Pine Unified,High School,Inyo
Big Valley Jr. Sr. High (Big Valley Joint Unified),Big Valley Joint Unified,High School,Lassen
Biggs High (Biggs Unified),Biggs Unified,High School,Butte
Birmingham Community Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Bishop Union High (Bishop Unified),Bishop Unified,High School,Inyo
Bitney Prep High (Nevada County Office of Education),Nevada County Office of Education,High School,Nevada
Bloomington High (Colton Joint Unified),Colton Joint Unified,High School,San Bernardino
Bolsa Grande High (Garden Grove Unified),Garden Grove Unified,High School,Orange
Bonita High (Bonita Unified),Bonita Unified,High School,Los Angeles
Bonita Vista Senior High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Bonsall High (Bonsall Unified),Bonsall Unified,High School,San Diego
Boron Junior-Senior High (Muroc Joint Unified),Muroc Joint Unified,High School,Kern
Borrego Springs High (Borrego Springs Unified),Borrego Springs Unified,High School,San Diego
"Boyle Heights Science, Technology, Engineering and Math Magnet (Los Angeles Unified)",Los Angeles Unified,High School,Los Angeles
Branham High (Campbell Union High),Campbell Union High,High School,Santa Clara
Brawley Union High (Brawley Union High),Brawley Union High,High School,Imperial
Brea-Olinda High (Brea-Olinda Unified),Brea-Olinda Unified,High School,Orange
Bret Harte Union High (Bret Harte Union High),Bret Harte Union High,High School,Calaveras
Bright Star Secondary Charter Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Buchanan High (Clovis Unified),Clovis Unified,High School,Fresno
Buena High (Ventura Unified),Ventura Unified,High School,Ventura
Buena Park High (Fullerton Joint Union High),Fullerton Joint Union High,High School,Orange
Buhach Colony High (Merced Union High),Merced Union High,High School,Merced
Bullard High (Fresno Unified),Fresno Unified,High School,Fresno
Burbank High (Burbank Unified),Burbank Unified,High School,Los Angeles
Burlingame High (San Mateo Union High),San Mateo Union High,High School,San Mateo
Burney Junior-Senior High (Fall River Joint Unified),Fall River Joint Unified,High School,Shasta
Burroughs High (Burbank Unified),Burbank Unified,High School,Los Angeles
Burroughs High (Sierra Sands Unified),Sierra Sands Unified,High School,Kern
Burton (Phillip and Sala) Academic High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Butte Valley High (Butte Valley Unified),Butte Valley Unified,High School,Siskiyou
Butterfield Charter (Porterville Unified),Porterville Unified,High School,Tulare
C. K. McClatchy High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
Cabrillo High (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Cabrillo High (Lompoc Unified),Lompoc Unified,High School,Santa Barbara
Cajon High (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
Calabasas High (Las Virgenes Unified),Las Virgenes Unified,High School,Los Angeles
Calaveras High (Calaveras Unified),Calaveras Unified,High School,Calaveras
Calexico High (Calexico Unified),Calexico Unified,High School,Imperial
California Academy of Mathematics and Science (Long Beach Unified),Long Beach Unified,High School,Los Angeles
California City High (Mojave Unified),Mojave Unified,High School,Kern
California High (Whittier Union High),Whittier Union High,High School,Los Angeles
California High (San Ramon Valley Unified),San Ramon Valley Unified,High School,Contra Costa
California Prep Sutter 8-12 (Meridian Elementary),Meridian Elementary,High School,Sutter
California School of the Arts - San Gabriel Valley (Duarte Unified),Duarte Unified,High School,Los Angeles
Calipatria High (Calipatria Unified),Calipatria Unified,High School,Imperial
Calistoga Junior/Senior High (Calistoga Joint Unified),Calistoga Joint Unified,High School,Napa
Camino Nuevo Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Camino Nuevo High #2 (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Campolindo High (Acalanes Union High),Acalanes Union High,High School,Contra Costa
Canoga Park Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Canyon Crest Academy (San Dieguito Union High),San Dieguito Union High,High School,San Diego
Canyon High (Orange Unified),Orange Unified,High School,Orange
Canyon High (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
Canyon Springs High (Moreno Valley Unified),Moreno Valley Unified,High School,Riverside
Capistrano Valley High (Capistrano Unified),Capistrano Unified,High School,Orange
