School Name,District Name (School),School Type (School),County Name (School)
East Nicolaus High (East Nicolaus Joint Union High),East Nicolaus Joint Union High,High School,Sutter
East Palo Alto Academy (Sequoia Union High),Sequoia Union High,High School,San Mateo
East Union High (Manteca Unified),Manteca Unified,High School,San Joaquin
East Valley Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Eastlake High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Eastside High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Edgewood High (West Covina Unified),West Covina Unified,High School,Los Angeles
Edison High (Fresno Unified),Fresno Unified,High School,Fresno
Edison High (Stockton Unified),Stockton Unified,High School,San Joaquin
Edison High (Huntington Beach Union High),Huntington Beach Union High,High School,Orange
Ednovate - Brio College Prep (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Ednovate - East College Prep (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Ednovate - Esperanza College Prep (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Ednovate - Legacy College Prep (Orange County Department of Education),Orange County Department of Education,High School,Orange
Ednovate - USC Hybrid High College Prep (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
EDUHSD Virtual Academy at Shenandoah (El Dorado Union High),El Dorado Union High,High School,El Dorado
Edward R. Roybal Learning Center (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Eisenhower Senior High (Rialto Unified),Rialto Unified,High School,San Bernardino
El Cajon Valley High (Grossmont Union High),Grossmont Union High,High School,San Diego
El Camino Fundamental High (San Juan Unified),San Juan Unified,High School,Sacramento
El Camino High (Oceanside Unified),Oceanside Unified,High School,San Diego
El Camino High (South San Francisco Unified),South San Francisco Unified,High School,San Mateo
El Camino Real Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
El Capitan High (Merced Union High),Merced Union High,High School,Merced
El Capitan High (Grossmont Union High),Grossmont Union High,High School,San Diego
El Cerrito High (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
El Diamante High (Visalia Unified),Visalia Unified,High School,Tulare
El Dorado High (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,High School,Orange
El Dorado High (El Dorado Union High),El Dorado Union High,High School,El Dorado
El Modena High (Orange Unified),Orange Unified,High School,Orange
El Molino High (West Sonoma County Union High),West Sonoma County Union High,High School,Sonoma
El Monte High (El Monte Union High),El Monte Union High,High School,Los Angeles
El Rancho High (El Rancho Unified),El Rancho Unified,High School,Los Angeles
El Segundo High (El Segundo Unified),El Segundo Unified,High School,Los Angeles
El Toro High (Saddleback Valley Unified),Saddleback Valley Unified,High School,Orange
Eleanor Roosevelt High (Corona-Norco Unified),Corona-Norco Unified,High School,Riverside
Elise P. Buckingham Charter Magnet High (Vacaville Unified),Vacaville Unified,High School,Solano
Elite Academic Academy - Adult Work Force Investment (Lucerne Valley Unified),Lucerne Valley Unified,High School,San Bernardino
Elk Creek Junior-Senior High (Stony Creek Joint Unified),Stony Creek Joint Unified,High School,Glenn
Elk Grove Charter (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Elk Grove High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Ellen Ochoa Prep Academy (El Rancho Unified),El Rancho Unified,High School,Los Angeles
Elsie Allen High (Santa Rosa High),Santa Rosa High,High School,Sonoma
Elsinore High (Lake Elsinore Unified),Lake Elsinore Unified,High School,Riverside
Emery Secondary (Emery Unified),Emery Unified,High School,Alameda
Empower Generations (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,High School,Los Angeles
Encore High School for the Arts - Riverside (Riverside Unified),Riverside Unified,High School,Riverside
Encore Jr./Sr. High School for the Performing and Visual Arts (Hesperia Unified),Hesperia Unified,High School,San Bernardino
Engineering and Technology Academy at Esteban E. Torres High No. 3 (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Enterprise High (Shasta Union High),Shasta Union High,High School,Shasta
Entrepreneur High (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
Environmental and Social Policy Magnet (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Environmental Charter High (Lawndale Elementary),Lawndale Elementary,High School,Los Angeles
Envision Academy for Arts & Technology (Alameda County Office of Education),Alameda County Office of Education,High School,Alameda
EPIC de Cesar Chavez (Nevada County Office of Education),Nevada County Office of Education,High School,Nevada
Erma Duncan Polytechnical High (Fresno Unified),Fresno Unified,High School,Fresno
Ernest Righetti High (Santa Maria Joint Union High),Santa Maria Joint Union High,High School,Santa Barbara
"Ernest S. McBride, Sr. High (Long Beach Unified)",Long Beach Unified,High School,Los Angeles
Escalon High (Escalon Unified),Escalon Unified,High School,San Joaquin
Escondido Charter High (Escondido Union High),Escondido Union High,High School,San Diego
Escondido High (Escondido Union High),Escondido Union High,High School,San Diego
"Escuela Popular/Center for Training and Careers, Family Learning (East Side Union High)",East Side Union High,High School,Santa Clara
Esparto High (Esparto Unified),Esparto Unified,High School,Yolo
Esperanza High (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,High School,Orange
Estancia High (Newport-Mesa Unified),Newport-Mesa Unified,High School,Orange
Esteban Torres East LA Performing Arts Magnet (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Etiwanda High (Chaffey Joint Union High),Chaffey Joint Union High,High School,San Bernardino
Etna Union High (Scott Valley Unified),Scott Valley Unified,High School,Siskiyou
Eunice Sato Academy of Math & Science (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Eureka Senior High (Eureka City Schools),Eureka City Schools,High School,Humboldt
Everest Public High (Sequoia Union High),Sequoia Union High,High School,San Mateo
Everett Alvarez High (Salinas Union High),Salinas Union High,High School,Monterey
Evergreen Valley High (East Side Union High),East Side Union High,High School,Santa Clara
Excelsior Charter (San Bernardino County Office of Education),San Bernardino County Office of Education,High School,San Bernardino
Excelsior Charter School Corona-Norco (Riverside County Office of Education),Riverside County Office of Education,High School,Riverside
Executive Preparatory Academy of Finance (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Exeter Union High (Exeter Unified),Exeter Unified,High School,Tulare
Fairfax Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Fairfield High (Fairfield-Suisun Unified),Fairfield-Suisun Unified,High School,Solano
Fall River Junior-Senior High (Fall River Joint Unified),Fall River Joint Unified,High School,Shasta
Fallbrook High (Fallbrook Union High),Fallbrook Union High,High School,San Diego
Family First Charter (Centinela Valley Union High),Centinela Valley Union High,High School,Los Angeles
Farmersville High (Farmersville Unified),Farmersville Unified,High School,Tulare
Felicitas and Gonzalo Mendez High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Ferndale High (Ferndale Unified),Ferndale Unified,High School,Humboldt
Fillmore Senior High (Fillmore Unified),Fillmore Unified,High School,Ventura
Firebaugh High (Firebaugh-Las Deltas Unified),Firebaugh-Las Deltas Unified,High School,Fresno
Five Keys Adult School (SF Sheriff's) (San Francisco Unified),San Francisco Unified,High School,San Francisco
Five Keys Charter (SF Sheriff's) (San Francisco Unified),San Francisco Unified,High School,San Francisco
Five Keys Independence HS (SF Sheriff's) (San Francisco Unified),San Francisco Unified,High School,San Francisco
Florin High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Folsom High (Folsom-Cordova Unified),Folsom-Cordova Unified,High School,Sacramento
Fontana A. B. Miller High (Fontana Unified),Fontana Unified,High School,San Bernardino
Fontana High (Fontana Unified),Fontana Unified,High School,San Bernardino
Foothill High (Pleasanton Unified),Pleasanton Unified,High School,Alameda
Foothill High (Tustin Unified),Tustin Unified,High School,Orange
Foothill High (Kern High),Kern High,High School,Kern
Foothill High (Twin Rivers Unified),Twin Rivers Unified,High School,Sacramento
Foothill High (Shasta Union High),Shasta Union High,High School,Shasta
Foothill Technology High (Ventura Unified),Ventura Unified,High School,Ventura
Foresthill High (Placer Union High),Placer Union High,High School,Placer
Fort Bragg High (Fort Bragg Unified),Fort Bragg Unified,High School,Mendocino
Fortuna Union High (Fortuna Union High),Fortuna Union High,High School,Humboldt
Fountain Valley High (Huntington Beach Union High),Huntington Beach Union High,High School,Orange
Fowler High (Fowler Unified),Fowler Unified,High School,Fresno
Franklin High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Frazier Mountain High (El Tejon Unified),El Tejon Unified,High School,Kern
Fred C. Beyer High (Modesto City High),Modesto City High,High School,Stanislaus
Freedom High (Liberty Union High),Liberty Union High,High School,Contra Costa
Fremont Academy of Engineering and Design (Pomona Unified),Pomona Unified,High School,Los Angeles
Fremont High (Oakland Unified),Oakland Unified,High School,Alameda
Fremont High (Fremont Union High),Fremont Union High,High School,Santa Clara
Fresno High (Fresno Unified),Fresno Unified,High School,Fresno
Frontier High (Kern High),Kern High,High School,Kern
Fullerton Union High (Fullerton Joint Union High),Fullerton Joint Union High,High School,Orange
Fusion Charter (Turlock Unified),Turlock Unified,High School,Stanislaus
Futures High (Twin Rivers Unified),Twin Rivers Unified,High School,Sacramento
Gabrielino High (San Gabriel Unified),San Gabriel Unified,High School,Los Angeles
Gahr (Richard) High (ABC Unified),ABC Unified,High School,Los Angeles
Galileo High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Galt High (Galt Joint Union High),Galt Joint Union High,High School,Sacramento
Ganesha High (Pomona Unified),Pomona Unified,High School,Los Angeles
Garden Grove High (Garden Grove Unified),Garden Grove Unified,High School,Orange
Gardena Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Garey High (Pomona Unified),Pomona Unified,High School,Los Angeles
Gateway College and Career Academy (Riverside County Office of Education),Riverside County Office of Education,High School,Riverside
Gateway High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Gateway to College Academy (Petaluma Joint Union High),Petaluma Joint Union High,High School,Sonoma
George Washington Carver School of Arts and Science (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
George Washington Preparatory High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Gilroy High (Gilroy Unified),Gilroy Unified,High School,Santa Clara
Glacier High School Charter (Yosemite Unified),Yosemite Unified,High School,Madera
Gladstone High (Azusa Unified),Azusa Unified,High School,Los Angeles
Glen A. Wilson High (Hacienda la Puente Unified),Hacienda la Puente Unified,High School,Los Angeles
Glendale High (Glendale Unified),Glendale Unified,High School,Los Angeles
Glendora High (Glendora Unified),Glendora Unified,High School,Los Angeles
Global Youth Charter (Center Joint Unified),Center Joint Unified,High School,Sacramento
Golden Sierra Junior Senior High (Black Oak Mine Unified),Black Oak Mine Unified,High School,El Dorado
Golden Valley High (Merced Union High),Merced Union High,High School,Merced
Golden Valley High (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
Golden Valley High (Kern High),Kern High,High School,Kern
Golden West High (Visalia Unified),Visalia Unified,High School,Tulare
Gonzales High (Gonzales Unified),Gonzales Unified,High School,Monterey
Grace M. Davis High (Modesto City High),Modesto City High,High School,Stanislaus
Granada High (Livermore Valley Joint Unified),Livermore Valley Joint Unified,High School,Alameda
Grand Terrace High School at the Ray Abril Jr. Educational Complex (Colton Joint Unified),Colton Joint Unified,High School,San Bernardino
Granite Bay High (Roseville Joint Union High),Roseville Joint Union High,High School,Placer
Granite Hills High (Grossmont Union High),Grossmont Union High,High School,San Diego
Granite Hills High (Apple Valley Unified),Apple Valley Unified,High School,San Bernardino
Granite Hills High (Porterville Unified),Porterville Unified,High School,Tulare
Grant Union High (Twin Rivers Unified),Twin Rivers Unified,High School,Sacramento
Great Oak High (Temecula Valley Unified),Temecula Valley Unified,High School,Riverside
Greenfield High (South Monterey County Joint Union High),South Monterey County Joint Union High,High School,Monterey
Greenville Junior/Senior High (Plumas Unified),Plumas Unified,High School,Plumas
Gridley High (Gridley Unified),Gridley Unified,High School,Butte
Grizzly ChalleNGe Charter (San Luis Obispo County Office of Education),San Luis Obispo County Office of Education,High School,San Luis Obispo
Grossmont High (Grossmont Union High),Grossmont Union High,High School,San Diego
Grossmont Secondary (SBE - Grossmont Secondary),SBE - Grossmont Secondary,High School,San Diego
Grove (Redlands Unified),Redlands Unified,High School,San Bernardino
Grover Cleveland Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Gunderson High (San Jose Unified),San Jose Unified,High School,Santa Clara
Gustine High (Gustine Unified),Gustine Unified,High School,Merced
Half Moon Bay High (Cabrillo Unified),Cabrillo Unified,High School,San Mateo
Hamilton High (Hemet Unified),Hemet Unified,High School,Riverside
Hamilton High (Hamilton Unified),Hamilton Unified,High School,Glenn
Hanford High (Hanford Joint Union High),Hanford Joint Union High,High School,Kings
Hanford Online Charter (Hanford Joint Union High),Hanford Joint Union High,High School,Kings
Hanford West High (Hanford Joint Union High),Hanford Joint Union High,High School,Kings
Happy Camp High (Siskiyou Union High),Siskiyou Union High,High School,Siskiyou
Harbor High (Santa Cruz City High),Santa Cruz City High,High School,Santa Cruz
Harmony Magnet Academy (Porterville Unified),Porterville Unified,High School,Tulare
Hawthorne High (Centinela Valley Union High),Centinela Valley Union High,High School,Los Angeles
Hawthorne Math and Science Academy (Hawthorne),Hawthorne,High School,Los Angeles
Hayfork High (Mountain Valley Unified),Mountain Valley Unified,High School,Trinity
Hayward High (Hayward Unified),Hayward Unified,High School,Alameda
Healdsburg High (Healdsburg Unified),Healdsburg Unified,High School,Sonoma
Health Careers Academy (Stockton Unified),Stockton Unified,High School,San Joaquin
Health Sciences High (San Diego Unified),San Diego Unified,High School,San Diego
Hector G. Godinez (Santa Ana Unified),Santa Ana Unified,High School,Orange
Helen Bernstein High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Helix High (Grossmont Union High),Grossmont Union High,High School,San Diego
Hemet High (Hemet Unified),Hemet Unified,High School,Riverside
Henry High (San Diego Unified),San Diego Unified,High School,San Diego
Henry J. Kaiser High (Fontana Unified),Fontana Unified,High School,San Bernardino
Henry M. Gunn High (Palo Alto Unified),Palo Alto Unified,High School,Santa Clara
Herbert Hoover High (Fresno Unified),Fresno Unified,High School,Fresno
Herbert Hoover High (Glendale Unified),Glendale Unified,High School,Los Angeles
Hercules High (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
Heritage High (Liberty Union High),Liberty Union High,High School,Contra Costa
Heritage High (Perris Union High),Perris Union High,High School,Riverside
Herlong High (Fort Sage Unified),Fort Sage Unified,High School,Lassen
Hesperia High (Hesperia Unified),Hesperia Unified,High School,San Bernardino
High Tech High (San Diego Unified),San Diego Unified,High School,San Diego
High Tech High Chula Vista (SBC - High Tech High),SBC - High Tech High,High School,San Diego
High Tech High International (San Diego Unified),San Diego Unified,High School,San Diego
High Tech High Media Arts (San Diego Unified),San Diego Unified,High School,San Diego
High Tech High Mesa (SBC - High Tech High),SBC - High Tech High,High School,San Diego
High Tech High North County (SBC - High Tech High),SBC - High Tech High,High School,San Diego
High Tech LA (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Highland High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Highland High (Kern High),Kern High,High School,Kern
Highlands High (Twin Rivers Unified),Twin Rivers Unified,High School,Sacramento
"Hilda L. Solis Learning Academy School of Technology, Business and Education (Los Angeles Unified)",Los Angeles Unified,High School,Los Angeles
Hillcrest High (Alvord Unified),Alvord Unified,High School,Riverside
Hillsdale High (San Mateo Union High),San Mateo Union High,High School,San Mateo
Hilltop Senior High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Hilmar High (Hilmar Unified),Hilmar Unified,High School,Merced
Hiram W. Johnson High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
Hollywood Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Holtville High (Holtville Unified),Holtville Unified,High School,Imperial
Homestead High (Fremont Union High),Fremont Union High,High School,Santa Clara
Hoopa Valley High (Klamath-Trinity Joint Unified),Klamath-Trinity Joint Unified,High School,Humboldt
Hoover High (San Diego Unified),San Diego Unified,High School,San Diego
Hueneme High (Oxnard Union High),Oxnard Union High,High School,Ventura
Hughson High (Hughson Unified),Hughson Unified,High School,Stanislaus
Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4 (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Humanities and Arts (HARTS) Academy of Los Angeles (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Huntington Beach High (Huntington Beach Union High),Huntington Beach Union High,High School,Orange
Huntington Park Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
ICEF View Park Preparatory High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Impact Academy of Arts & Technology (Hayward Unified),Hayward Unified,High School,Alameda
Imperial High (Imperial Unified),Imperial Unified,High School,Imperial
Imperial Pathways Charter (Imperial County Office of Education),Imperial County Office of Education,High School,Imperial
Independence High (Kern High),Kern High,High School,Kern
Independence High (East Side Union High),East Side Union High,High School,Santa Clara
Inderkum High (Natomas Unified),Natomas Unified,High School,Sacramento
Indian Springs High (San Bernardino City Unified),San Bernardino City Unified,High School,San Bernardino
Indio High (Desert Sands Unified),Desert Sands Unified,High School,Riverside
Inglewood High (Inglewood Unified),Inglewood Unified,High School,Los Angeles
Insight School of California (Maricopa Unified),Maricopa Unified,High School,Kern
Inspire School of Arts and Sciences (Chico Unified),Chico Unified,High School,Butte
Intellectual Virtues Academy (Los Angeles County Office of Education),Los Angeles County Office of Education,High School,Los Angeles
Invictus Academy of Richmond (Contra Costa County Office of Education),Contra Costa County Office of Education,High School,Contra Costa
Irvine High (Irvine Unified),Irvine Unified,High School,Orange
Irvington High (Fremont Unified),Fremont Unified,High School,Alameda
IvyTech Charter (Moorpark Unified),Moorpark Unified,High School,Ventura
James A. Garfield Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
James C. Enochs High (Modesto City High),Modesto City High,High School,Stanislaus
James Lick High (East Side Union High),East Side Union High,High School,Santa Clara
James Logan High (New Haven Unified),New Haven Unified,High School,Alameda
James Monroe High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Jefferson High (Jefferson Union High),Jefferson Union High,High School,San Mateo
Jesse M. Bethel High (Vallejo City Unified),Vallejo City Unified,High School,Solano
John A. Rowland High (Rowland Unified),Rowland Unified,High School,Los Angeles
John C. Fremont Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
John C. Kimball High (Tracy Joint Unified),Tracy Joint Unified,High School,San Joaquin
John F. Kennedy High (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
John F. Kennedy High (Anaheim Union High),Anaheim Union High,High School,Orange
John F. Kennedy High (Fremont Unified),Fremont Unified,High School,Alameda
John F. Kennedy High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
John F. Kennedy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
John H. Francis Polytechnic (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
John H. Glenn High (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,High School,Los Angeles
John H. Pitman High (Turlock Unified),Turlock Unified,High School,Stanislaus
John Henry High (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
John Marshall Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
John Muir Charter (Nevada County Office of Education),Nevada County Office of Education,High School,Nevada
John Muir High (Pasadena Unified),Pasadena Unified,High School,Los Angeles
John Swett High (John Swett Unified),John Swett Unified,High School,Contra Costa
John W. North High (Riverside Unified),Riverside Unified,High School,Riverside
Jordan High (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Joseph A. Gregori High (Modesto City High),Modesto City High,High School,Stanislaus
Juan Bautista de Anza (Borrego Springs Unified),Borrego Springs Unified,High School,San Diego
Julian High (Julian Union High),Julian Union High,High School,San Diego
Jurupa Hills High (Fontana Unified),Fontana Unified,High School,San Bernardino
Jurupa Valley High (Jurupa Unified),Jurupa Unified,High School,Riverside
Katella High (Anaheim Union High),Anaheim Union High,High School,Orange
Kearny College Connections (San Diego Unified),San Diego Unified,High School,San Diego
Kearny Digital Media & Design (San Diego Unified),San Diego Unified,High School,San Diego
Kearny Eng Innov & Design (San Diego Unified),San Diego Unified,High School,San Diego
Kearny School of Biomedical Science and Technology (San Diego Unified),San Diego Unified,High School,San Diego
Kelseyville High (Kelseyville Unified),Kelseyville Unified,High School,Lake
Kerman High (Kerman Unified),Kerman Unified,High School,Fresno
Kern Valley High (Kern High),Kern High,High School,Kern
Kern Workforce 2000 Academy (Kern High),Kern High,High School,Kern
King City High (South Monterey County Joint Union High),South Monterey County Joint Union High,High School,Monterey
King-Chavez Community High (San Diego Unified),San Diego Unified,High School,San Diego
Kingsburg High (Kingsburg Joint Union High),Kingsburg Joint Union High,High School,Fresno
KIPP King Collegiate High (San Lorenzo Unified),San Lorenzo Unified,High School,Alameda
KIPP Navigate College Prep (SBE - KIPP Navigate College Prep),SBE - KIPP Navigate College Prep,High School,Santa Clara
KIPP San Francisco College Preparatory (San Francisco Unified),San Francisco Unified,High School,San Francisco
KIPP San Jose Collegiate (East Side Union High),East Side Union High,High School,Santa Clara
Kit Carson International Academy (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
La Canada High (La Canada Unified),La Canada Unified,High School,Los Angeles
La Costa Canyon High (San Dieguito Union High),San Dieguito Union High,High School,San Diego
La Habra High (Fullerton Joint Union High),Fullerton Joint Union High,High School,Orange
La Jolla High (San Diego Unified),San Diego Unified,High School,San Diego
La Mirada High (Norwalk-La Mirada Unified),Norwalk-La Mirada Unified,High School,Los Angeles
La Puente High (Hacienda la Puente Unified),Hacienda la Puente Unified,High School,Los Angeles
La Quinta High (Garden Grove Unified),Garden Grove Unified,High School,Orange
La Quinta High (Desert Sands Unified),Desert Sands Unified,High School,Riverside
La Serna High (Whittier Union High),Whittier Union High,High School,Los Angeles
La Sierra High (Alvord Unified),Alvord Unified,High School,Riverside
La Sierra High (Tulare County Office of Education),Tulare County Office of Education,High School,Tulare
LA's Promise Charter High #1 (Los Angeles County Office of Education),Los Angeles County Office of Education,High School,Los Angeles
Laguna Beach High (Laguna Beach Unified),Laguna Beach Unified,High School,Orange
Laguna Creek High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Laguna Hills High (Saddleback Valley Unified),Saddleback Valley Unified,High School,Orange
Lakeside High (Lake Elsinore Unified),Lake Elsinore Unified,High School,Riverside
Lakeview Leadership Academy (Victor Valley Union High),Victor Valley Union High,High School,San Bernardino
Lakewood High (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Lancaster High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Las Lomas High (Acalanes Union High),Acalanes Union High,High School,Contra Costa
Las Plumas High (Oroville Union High),Oroville Union High,High School,Butte
Lassen High (Lassen Union High),Lassen Union High,High School,Lassen
Lathrop High (Manteca Unified),Manteca Unified,High School,San Joaquin
Latino College Preparatory Academy (East Side Union High),East Side Union High,High School,Santa Clara
Latitude 37.8 High (SBE - Latitude 37.8 High),SBE - Latitude 37.8 High,High School,Alameda
Laton High (Laton Joint Unified),Laton Joint Unified,High School,Fresno
Lawndale High (Centinela Valley Union High),Centinela Valley Union High,High School,Los Angeles
Laytonville High (Laytonville Unified),Laytonville Unified,High School,Mendocino
Le Grand High (Le Grand Union High),Le Grand Union High,High School,Merced
Leadership High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Leadership Public Schools - Hayward (Hayward Unified),Hayward Unified,High School,Alameda
Leadership Public Schools - San Jose (Santa Clara County Office of Education),Santa Clara County Office of Education,High School,Santa Clara
Leadership Public Schools: Richmond (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
Learning for Life Charter (Monterey Peninsula Unified),Monterey Peninsula Unified,High School,Monterey
Learning Works (Pasadena Unified),Pasadena Unified,High School,Los Angeles
Lee Vining High (Eastern Sierra Unified),Eastern Sierra Unified,High School,Mono
Leggett Valley High (Leggett Valley Unified),Leggett Valley Unified,High School,Mendocino
Leigh High (Campbell Union High),Campbell Union High,High School,Santa Clara
Leland High (San Jose Unified),San Jose Unified,High School,Santa Clara
Lemoore High (Lemoore Union High),Lemoore Union High,High School,Kings
Lemoore Middle College High (Lemoore Union High),Lemoore Union High,High School,Kings
Lemoore Online College Preparatory High (Lemoore Union High),Lemoore Union High,High School,Kings
"Lennox Mathematics, Science and Technology Academy (Lennox)",Lennox,High School,Los Angeles
Leuzinger High (Centinela Valley Union High),Centinela Valley Union High,High School,Los Angeles
Liberty High (Golden Valley Unified),Golden Valley Unified,High School,Madera
Liberty High (Kern High),Kern High,High School,Kern
Liberty High (Liberty Union High),Liberty Union High,High School,Contra Costa
Liberty Ranch High (Galt Joint Union High),Galt Joint Union High,High School,Sacramento
Life Learning Academy Charter (San Francisco Unified),San Francisco Unified,High School,San Francisco
Lighthouse Community Charter High (Oakland Unified),Oakland Unified,High School,Alameda
Lincoln (Abraham) High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Lincoln High (Lincoln Unified),Lincoln Unified,High School,San Joaquin
Lincoln High (San Diego Unified),San Diego Unified,High School,San Diego
Lincoln High (Western Placer Unified),Western Placer Unified,High School,Placer
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Linda Esperanza Marquez High B LIBRA Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Linda Esperanza Marquez High C School of Social Justice (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Linden High (Linden Unified),Linden Unified,High School,San Joaquin
Lindhurst High (Marysville Joint Unified),Marysville Joint Unified,High School,Yuba
Lindsay Senior High (Lindsay Unified),Lindsay Unified,High School,Tulare
Littlerock High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Live Oak High (Live Oak Unified),Live Oak Unified,High School,Sutter
Live Oak High (Morgan Hill Unified),Morgan Hill Unified,High School,Santa Clara
Livermore High (Livermore Valley Joint Unified),Livermore Valley Joint Unified,High School,Alameda
Livermore Valley Charter Preparatory High (Livermore Valley Joint Unified),Livermore Valley Joint Unified,High School,Alameda
Livingston High (Merced Union High),Merced Union High,High School,Merced
Loara High (Anaheim Union High),Anaheim Union High,High School,Orange
Lodi High (Lodi Unified),Lodi Unified,High School,San Joaquin
Lompoc High (Lompoc Unified),Lompoc Unified,High School,Santa Barbara
Lone Pine High (Lone Pine Unified),Lone Pine Unified,High School,Inyo
Los Alamitos High (Los Alamitos Unified),Los Alamitos Unified,High School,Orange
Los Altos High (Mountain View-Los Altos Union High),Mountain View-Los Altos Union High,High School,Santa Clara
Los Altos High (Hacienda la Puente Unified),Hacienda la Puente Unified,High School,Los Angeles
Los Amigos High (Garden Grove Unified),Garden Grove Unified,High School,Orange
Los Angeles County Online High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Los Angeles High School of the Arts (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Los Angeles International Charter High (Los Angeles County Office of Education),Los Angeles County Office of Education,High School,Los Angeles
Los Angeles Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Los Banos High (Los Banos Unified),Los Banos Unified,High School,Merced
Los Gatos High (Los Gatos-Saratoga Union High),Los Gatos-Saratoga Union High,High School,Santa Clara
Los Molinos High (Los Molinos Unified),Los Molinos Unified,High School,Tehama
Los Osos High (Chaffey Joint Union High),Chaffey Joint Union High,High School,San Bernardino
Lowell High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Lower Lake High (Konocti Unified),Konocti Unified,High School,Lake
Loyalton High (Sierra-Plumas Joint Unified),Sierra-Plumas Joint Unified,High School,Sierra
LPS Oakland R & D Campus (Oakland Unified),Oakland Unified,High School,Alameda
Lucerne Valley High (Lucerne Valley Unified),Lucerne Valley Unified,High School,San Bernardino
Luis Valdez Leadership Academy (East Side Union High),East Side Union High,High School,Santa Clara
Luther Burbank High (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
